"term","estimate","std.error","mcmc.error","statistic","p.value","congress"
"nonzero",-1.90882186509379,0.0349805277642687,0,-54.5681265290565,0,95
"nodecov.sum.nominate_dim1",-0.633762120612193,0.0267225959893809,0,-23.7163380707488,2.44606399315458e-124,95
"absdiff.sum.nominate_dim1",-0.646154218311939,0.0417012921427809,0,-15.4948248629701,3.75983926070993e-54,95
"nodefactor.sum.party.R",0.497843092804273,0.0176559917583925,0,28.1968353642684,6.39408955904511e-175,95
"nodematch.sum.party",0.145588243080303,0.019637675711092,0,7.41372070820329,1.22804400808023e-13,95
"nonzero",-1.78389116684675,0.0351689731487896,0,-50.7234362316929,0,96
"nodecov.sum.nominate_dim1",-0.474885458729435,0.030240349920985,0,-15.7037025024599,1.42666759076611e-55,96
"absdiff.sum.nominate_dim1",-0.295025189546461,0.0452250779102243,0,-6.5234865959128,6.86915536912905e-11,96
"nodefactor.sum.party.R",0.352314605165186,0.0196996132407848,0,17.8843412232975,1.56188248626185e-71,96
"nodematch.sum.party",0.179398805548164,0.0205385539963145,0,8.73473398275045,2.44230209137919e-18,96
"nonzero",-1.56527464134635,0.0357942216664773,0,-43.7298135976033,0,97
"nodecov.sum.nominate_dim1",-0.38709385872407,0.0356020744564521,0,-10.8727894268509,1.55376461810223e-27,97
"absdiff.sum.nominate_dim1",-0.392754267201954,0.0466535153881087,0,-8.41853532225057,3.81220236472755e-17,97
"nodefactor.sum.party.R",0.260715612190437,0.0231868963842563,0,11.2440926922613,2.47629698674178e-29,97
"nodematch.sum.party",0.241731377746644,0.0230252194290051,0,10.4985482762493,8.77187385507366e-26,97
"nonzero",-1.50065639713333,0.0369768679008313,0,-40.5836535738493,0,98
"nodecov.sum.nominate_dim1",-0.423873964948086,0.0333944694385025,0,-12.6929390427559,6.4711059915672e-37,98
"absdiff.sum.nominate_dim1",-0.442250971020863,0.0443198517998515,0,-9.97862025843563,1.8907761525443e-23,98
"nodefactor.sum.party.R",0.318422097192652,0.0219642861969238,0,14.4972658950897,1.26072380481825e-47,98
"nodematch.sum.party",0.210930576435525,0.023089025824237,0,9.13553382638201,6.50848693182237e-20,98
"nonzero",-1.69533802911668,0.0340933027035487,0,-49.7264240973702,0,99
"nodecov.sum.nominate_dim1",-0.587687342360484,0.0297496984708724,0,-19.7543966012254,7.35291461926163e-87,99
"absdiff.sum.nominate_dim1",-0.277104791089808,0.0398364873506971,0,-6.95605485118051,3.4993366217098e-12,99
"nodefactor.sum.party.R",0.416011552103487,0.0194072727753678,0,21.4358584494932,6.1882025773056e-102,99
"nodematch.sum.party",0.200783561754501,0.0202113032008845,0,9.93422144820993,2.95475054124288e-23,99
"nonzero",-1.68710656410381,0.033440842694108,0,-50.450479957584,0,100
"nodecov.sum.nominate_dim1",-0.812454244550543,0.0346208890662417,0,-23.4671687083494,8.83018845960768e-122,100
"absdiff.sum.nominate_dim1",-0.327683166181865,0.0445578568430082,0,-7.35410518814672,1.92210331288181e-13,100
"nodefactor.sum.party.R",0.417336477929331,0.0228278368197983,0,18.2819108627665,1.15314284947209e-74,100
"nodematch.sum.party",0.27869308050817,0.0214142809882798,0,13.0143561981231,1.01393224312521e-38,100
"nonzero",-1.61991608681064,0.0339253067033878,0,-47.7494898122432,0,101
"nodecov.sum.nominate_dim1",-0.688445102472257,0.0334170945583909,0,-20.6015846551026,2.65608127770597e-94,101
"absdiff.sum.nominate_dim1",-0.228116480507703,0.042532620286155,0,-5.36333005051087,8.17015213108878e-08,101
"nodefactor.sum.party.R",0.35627539054159,0.0217134403212533,0,16.4080581091916,1.6747697766867e-60,101
"nodematch.sum.party",0.378927322792461,0.0197013510776873,0,19.2335703931298,1.93814018516444e-82,101
"nonzero",-1.6365286497017,0.0340302204844753,0,-48.0904509698457,0,102
"nodecov.sum.nominate_dim1",-0.660396115023024,0.0329821554673993,0,-20.0228306993393,3.48356161456521e-89,102
"absdiff.sum.nominate_dim1",-0.348141958831078,0.0443731432896906,0,-7.84578087151115,4.30267681939393e-15,102
"nodefactor.sum.party.R",0.417441887227091,0.0215922076254705,0,19.3329878291218,2.83514050334625e-83,102
"nodematch.sum.party",0.364715656792177,0.0200654550029987,0,18.1762963629617,7.952673612289e-74,102
"nonzero",-1.50402432806162,0.0356306317531899,0,-42.2115537686747,0,103
"nodecov.sum.nominate_dim1",-0.601035155216757,0.0387696359961122,0,-15.5027288694954,3.32466180887917e-54,103
"absdiff.sum.nominate_dim1",-0.722889196867643,0.0537330944922863,0,-13.4533326937167,2.94302961099326e-41,103
"nodefactor.sum.party.R",0.410102767148624,0.025444388519582,0,16.1176114267006,1.91883714638777e-58,103
"nodematch.sum.party",0.242247765639585,0.0232596203815712,0,10.4149492410254,2.11910596731915e-25,103
"nonzero",-1.59792796331349,0.0386608870587533,0,-41.3319011766363,0,104
"nodecov.sum.nominate_dim1",-0.107426146097039,0.0390146810827671,0,-2.75348005201276,0.00589653634957294,104
"absdiff.sum.nominate_dim1",-0.64889265602891,0.0525607698678992,0,-12.3455698548512,5.14685204570576e-35,104
"nodefactor.sum.party.R",0.257681917828742,0.0270454452557899,0,9.52773804948091,1.60747439994637e-21,104
