"Downloaded on",03/04/2025,"18:29:41 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22100%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2922",https://www.congress.gov/bill/100th-congress/senate-bill/2922,"100th Congress (1987-1988)","A bill to promote international fairness in the underwriting and distribution of government securities, and for other purposes.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 10/21/1988)",Republican,10/21/1988,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",10/21/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Brokers,"Finance and Financial Sector","Foreign Trade and Investments","Foreign banks and banking","Foreign investments","Foreign Trade and International Finance","Government securities","International banking","International competitiveness",Reciprocity,Securities,"Securities and Investments","Securities industry","Securities regulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Government Securities Fair Competition Act of 1988 - Prohibits the Board of Governors of the Federal Reserve System and the Federal Reserve Bank of New York from designating any person of a foreign country as a primary dealer in governmental debt instruments if such country does not accord to U.S.  companies the same competitive opportunities in the underwriting and distribution of instruments issued by such country as are accorded to domestic companies. Exempts from such prohibition:  (1) any company designated as a primary dealer and acquired by a person of a foreign country before July 31, 1987; and (2) any person of a foreign country if such country, as of January 1, 1987, was negotiating, or had entered into, a bilateral free trade agreement with the United States. <p>Amends the Securities Exchange Act of 1934 to prohibit any person of a foreign country which does not accord to U.S. brokers and dealers the same competitive opportunities accorded to domestic brokers and dealers from acquiring any registered broker or dealer unless the Securities and Exchange Commission has been given 45 days' advance notice of the proposed acquisition and has not prohibited such acquisition.  Authorizes the Commission to deny any application for registration filed by any person of such country and to prohibit any acquisition of a broker or dealer by any person of such country.",,,,,,
"S. 2920",https://www.congress.gov/bill/100th-congress/senate-bill/2920,"100th Congress (1987-1988)","A bill to amend the Arms Export Control Act to authorize appropriations for programs for certain retired United States Government personnel to provide military training and advice on a volunteer basis to eligible countries.","Lugar, Richard G. [Sen.-R-IN] (Introduced 10/20/1988)",Republican,10/20/1988,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",10/20/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"American military assistance","Arms sales","Civil service retirement","Federal employees","Federal employees and officials","Foreign Trade and Investments","Foreign Trade and International Finance","International Affairs","Labor and Employment","Military advisers","Military agreements","Military training","Retired military personnel",Retirement,Treaties,"Volunteer workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>International Volunteer Military Training Act - Amends the Arms Export Control Act to authorize the President to enter into agreements with foreign governments purchasing defense articles under such Act by which the United States will make available certain Federal retirees to provide training and advice to such countries regarding the maintenance, management, or technology skills needed by the countries as a result of the acquisition of such articles. <p>Requires such programs to be implemented through existing procedures, including the use of Department of Defense and host country personnel in identifying and implementing such programs. <p>Requires each host country to pay the United States for the travel expenses, health insurance, and a per diem for each Government retiree utilized in such a program, together with a fee to cover the administrative expenses incurred with respect to such retiree by the sponsoring private and voluntary organization.  Allows certain credits allotted under such Act or certain funds made available under the Foreign Assistance Act of 1961 to such countries to be utilized in lieu of such payment. <p>Requires the Federal Government to reimburse each retiree the amounts paid or credited with respect to each such individual. <p>Authorizes the President to reimburse private and voluntary organizations for the expenses incurred in establishing and administering the retiree programs. <p>Authorizes appropriations.",,,,,,
"S. 2919",https://www.congress.gov/bill/100th-congress/senate-bill/2919,"100th Congress (1987-1988)","A bill to prevent the takeover of pre-1935 hydroelectric projects on non-navigable rivers.","McClure, James A. [Sen.-R-ID] (Introduced 10/20/1988)",Republican,10/20/1988,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",10/20/1988,"Nickles, Don [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Energy,"Energy facilities","Energy policy","Hydroelectric power",Licenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Hydroelectric Fairness Act of 1988 - Amends the Federal Power Act to prohibit the Federal Energy Regulatory Commission from issuing a license for the operation of any existing hydroelectric project located on non-navigable waters and unimproved since August 26, 1935, to anyone but the project's owner.",,,,,,
"S. 2913",https://www.congress.gov/bill/100th-congress/senate-bill/2913,"100th Congress (1987-1988)","A bill to amend the Congressional Budget and Impoundment Control Act of 1974 to modify the calculation of Federal deficits and maximum deficit amounts under the Balanced Budget and Emergency Deficit Control Act of 1985 and to modify the maximum deficit amounts set by the Balanced Budget and Emergency Deficit Control Act of 1985.","Heinz, John [Sen.-R-PA] (Introduced 10/18/1988)",Republican,10/18/1988,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",10/18/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Budget deficits","Economics and Public Finance","Federal budgets","Government spending reductions","Government trust funds","Off-budget expenditures","Old age, survivors and disability insurance","Social security finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends Congressional Budget and Impoundment Control Act of 1974 provisions concerning the way in which Federal Old-Age and Survivors Insurance Trust Fund and Federal Disability Trust Fund receipts and outlays are treated when making Federal deficit determinations for FY 1990 through 1993.  Includes in such calculations the excess of receipts and taxes over disbursements of the trust funds for FY 1989. <p>Increases the permissible maximum deficit amounts for FY 1989 through 1993.  Establishes allowable maximum deficits for FY 1994 and 1995, to reach zero with respect to FY 1996.",,,,,,
"S. 2910",https://www.congress.gov/bill/100th-congress/senate-bill/2910,"100th Congress (1987-1988)","A bill for the relief of Lea Gelb, Chaim Morris Gelb, and Sidney Gelb.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 10/18/1988)",Republican,10/18/1988,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",10/18/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Deems specified claims of three named individuals, for purposes of the Czechoslovakian Claims Settlement Act of 1981, to be claims for losses resulting from the nationalization of property by the Government of the Czechoslovak Socialist Republic on August 9, 1958.  Directs the Foreign Claims Settlement Commission of the United States to redetermine the validity of the claims.",,,,,,
"S. 2908",https://www.congress.gov/bill/100th-congress/senate-bill/2908,"100th Congress (1987-1988)","A bill to prevent retroactive change in tax treatment of a qualified intermodal cargo container of a United States person and to clarify existing tax law by providing a general rule of nondiscriminatory application for investment tax credit and cost recovery purposes.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 10/18/1988)",Republican,10/18/1988,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/18/1988,"Pryor, David H. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Administrative procedure","Air cargo",Aircraft,Aviation,Containerization,"Depreciation and amortization","Foreign Trade and International Finance",Freight,"Income tax","Intermodal transportation","Investment tax credit",Lighterage,"Marine transportation",Ships,"Ships and shipping","Tax administration","Tax credits","Tax deductions",Taxation,"Transportation and Travel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Prohibits the retroactive application of any interpretation or recordkeeping requirement pursuant to the Internal Revenue Code in connection with any investment tax credit or cost recovery deduction claimed by a taxpayer with respect to a qualified intermodal cargo container. <p>Treats such containers as used in the transportation of property to and from the United States. <p>Permits changes in the tax treatment of such containers only by future regulations that must:  (1) apply prospectively only; and (2) treat these containers at least as favorably as other specified types of equipment used in international transportation.",,,,,,
"S. 2907",https://www.congress.gov/bill/100th-congress/senate-bill/2907,"100th Congress (1987-1988)","A bill to amend title 5, United States Code, to provide relief from certain inequities remaining in the crediting of National Guard technician service in connection with civil service retirement, and for other purposes.","Thurmond, Strom [Sen.-R-SC] (Introduced 10/18/1988)",Republican,10/18/1988,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",10/18/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Business and commerce","Civil service retirement","Federal employees","Federal employees and officials","Government employees' health insurance","Government employees' life insurance","Government Operations and Politics",Health,"Health insurance",Insurance,"National Guard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Eliminates post-1968 service in the National Guard as a prerequisite to civil service retirement credit for former National Guard technicians. <p>Amends the National Guard Technicians Act of 1968 to eliminate post-1968 service as a prerequisite for National Guard technicians to receiving credit in the determination of length of Federal civil service for purposes of leave, Federal employees' death and disability compensation, group life and health insurance, severance pay, tenure, and status. <p>Sets forth rules for applying provisions of this Act to affected individuals.",,,,,,
"S. 2905",https://www.congress.gov/bill/100th-congress/senate-bill/2905,"100th Congress (1987-1988)","A bill to authorize the exchange of certain public lands in California and Nevada.","Hecht, Chic [Sen.-R-NV] (Introduced 10/14/1988)",Republican,10/14/1988,"Senate - Energy and Natural Resources","Referred to Subcommittee on Public Lands, National Parks.",10/17/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Arizona,Bridges,California,"Economics and Public Finance","Electric power","Electric power transmission",Energy,"Federal-city relations","Government trust funds","Land transfers","National recreation areas",Nevada,"Parks and Natural Areas","Public Lands and Real Property","Public Lands and Natural Resources","Recreation and Recreational Facilities","Recreation areas",Reservoirs,Right-of-way,"Roads and highways","Waste disposal sites","Water quality","Wilderness areas","Wildlife management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the National Parks and Recreation Act of 1978 to authorize the exchange of certain Federal lands in California and Nevada for lands owned by the city of Los Angeles, California. <p>Establishes a right-of-way corridor along the existing Navajo-McCullough electrical transmission line, to be designated and administered by the Secretary of the Interior.  Authorizes the Secretary to grant rights-of-way for non-Federal electric transmission lines. <p>Directs the Secretary of the Interior and the Secretary of Agriculture to immediately complete negotiations for the exchange of lands, execute the exchange, and report to specified congressional committees.  Declares that such exchange shall not be subject to the preliminary injunction entered by the U.S. District Court, District of Columbia, on December 4, 1985, as amended. <p>Provides for the  filing of legal descriptions and maps of lands exchanged and the right-of-way corridor by the city of Los Angeles with the Secretary of the Interior and the Secretary of Agriculture, who shall file such information with the designated congressional committees.  Makes such legal descriptions and maps available for public inspection. <p>Declares that the Sunrise Wilderness Study Area has been adequately studied for wilderness designation and is no longer subject to the requirement that the Secretary of the Interior manage such Area in a manner so as not to impair the suitability of such area for preservation as wilderness. <p>Directs the Secretary of the Interior to transfer certain lands to the National Park System as an addition to the Lake Mead National Recreation Area. Withdraws such lands, subject to valid existing rights, from:  (1) disposition under the public land laws; (2) entry or appropriation under U.S. mining laws; (3) the operation of U.S. mineral leasing laws; and (4) the operation of the Geothermal Steam Act of 1970. <p>Requires the city of Los Angeles and the Secretary of Agriculture to immediately establish a trust fund for the purpose of acquiring lands for addition to or enhancing recreational and wildlife habitat management in Forest Service Region V of Southern California. Directs the Forest Service to administer such trust fund.  Requires the city of Los Angeles to pay specified sums into the trust fund annually. <p>Directs the Secretary of the Interior to enter into negotiations on a funding participation agreement with Nevada, Arizona, and any other affected parties for construction of the Colorado River bridge crossing at Black Canyon and to report to specified congressional committees on the status of such negotiations. <p>Directs the city of Los Angeles to pay in trust a specified amount to a corporate fiduciary in Nevada for the purposes of acquiring environmentally sensitive lands in Nevada to be conveyed to Federal agencies and to enhance, preserve, restore, and manage certain Nevada lands. Restricts the acquisition of certain lands affecting electric power plants. <p>Reserves to the United States the option to purchase or reacquire by exchange of Federal land the lands acquired by the city of Los Angeles pursuant to this exchange in Steptoe Valley, White Pine County, Nevada. <p>Directs that certain lands acquired by the city of Los Angeles in the vicinity of Lopez Canyon in Los Angeles County, California, shall not be used for disposal of municipal waste. <p>Directs that certain lands acquired by the Secretary of Agriculture in the vicinity of Bouquet Canyon in Los Angeles County, California, shall be managed in a manner which will protect the water quality of Bouquet Reservoir. Prohibits the Forest Service from allowing the construction or operation of any facility on said acquired lands which may adversely affect the water quality of Bouquet Reservoir.",,,,,,
"S. 2903",https://www.congress.gov/bill/100th-congress/senate-bill/2903,"100th Congress (1987-1988)","A bill to amend the Lanham Trademark Act regarding gray market goods.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 10/14/1988)",Republican,10/14/1988,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/14/1988,"Mikulski, Barbara A. [Sen.-D-MD]","Bradley, Bill [Sen.-D-NJ]","DeConcini, Dennis [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Commerce,"Courts and Civil Procedure",Damages,"Foreign Trade and Investments","Foreign Trade and International Finance","Gray market imports","Import restrictions",Imports,"Patents, Trademarks, and Copyrights",Trademarks,"Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Trademark Protection Act of 1988 - Amends the Lanham Trademark Act to prohibit the importation or sale within the United States of goods manufactured outside the United States and bearing a trademark that is identical to a trademark owned by a U.S. citizen, corporation, or other entity and registered under U.S. trademark laws unless such owner consents to the importation for sale. <p>Directs the Secretary of the Treasury to exclude such goods from entry into the United States upon the request of a U.S. trademark owner who has filed a trademark registered certificate with the Secretary. <p>Authorizes the trademark owner to bring an action against importers in any Federal district court to enjoin such importation and to obtain money damages and lost profits for the wrongful use of a trademark. <p>Authorizes the Secretary to promulgate regulations to enforce this Act.",,,,,,
"S. 2902",https://www.congress.gov/bill/100th-congress/senate-bill/2902,"100th Congress (1987-1988)","A bill to amend title XVIII of the Social Security Act to allow payment for ambulance service where other methods of transportation are either unavailable or such other methods are medically inappropriate, and for other purposes.","Durenberger, Dave [Sen.-R-MN] (Introduced 10/14/1988)",Republican,10/14/1988,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/14/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Ambulances,"Emergency medical services",Health,"Health facilities",Medicare,"Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Medicare Ambulance Service Improvement Act of 1988 - Amends title XVIII (Medicare) of the Social Security Act to cover ambulance services where other methods of transportation are either unavailable or medically inappropriate. <p>Requires the Office of Technology Assessment to: (1) conduct a study and report to the Congress, within six months of this Act's enactment, on ambulance service costs and charges; and (2) develop a recommended fee schedule for such services.",,,,,,
