"Downloaded on",03/04/2025,"18:30:33 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22101%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3270",https://www.congress.gov/bill/101st-congress/senate-bill/3270,"101st Congress (1989-1990)","A bill to promote competition in the natural gas maeketplace by eliminating discrimination against domestic natural gas.","Domenici, Pete V. [Sen.-R-NM] (Introduced 10/27/1990)",Republican,10/27/1990,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",10/27/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Energy,"Energy policy","Energy prices","Foreign Trade and International Finance","Gas industry","Gas pipelines","Import relief","Natural gas","Restrictive trade practices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Natural Gas Competition Act of 1990 - Requires, upon issuing a certificate for construction or operation of natural gas importation facilities, the Federal Energy Regulatory Commission immediately to: (1) determine if the rates and practices of domestic pipelines confer a competitive disadvantage upon domestic producers of natural gas; and (2) establish by Commission order rates and practices which do not confer such competitive disadvantage upon such producers if it finds that a competitive disadvantage does in fact exist.",,,,,,
"S. 3269",https://www.congress.gov/bill/101st-congress/senate-bill/3269,"101st Congress (1989-1990)","A bill to direct the Federal Communications Commission to proscribe indecent material transmitted by means of interstate communications by amending sections 223 of the Communications Act of 1934.","Specter, Arlen [Sen.-R-PA] (Introduced 10/27/1990)",Republican,10/27/1990,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",10/27/1990,"Helms, Jesse [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics",Pornography,Telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Communications Act of 1934 to define ""indecent communication"" as any communication in which any discussion or reference is made to the genitals, breasts, or buttocks, actual or simulated sexual intercourse or contact, bestiality, masturbation, or sado-masochistic sexual abuse which is patently offensive as measured by contemporary community standards. <p>Requires common carriers to make available, to the extent technically feasible, a separate, easily distinguishable telephone prefix number for providers who offer access to specified indecent or obscene communications and require every provider to designate which prefix corresponds to the type of messages it proposes to provide.  Specifies that any provider who offers access to such a communication through any telephone number other than one within the prefix assigned is in violation of such Act.",,,,,,
"S. 3267",https://www.congress.gov/bill/101st-congress/senate-bill/3267,"101st Congress (1989-1990)","A bill to improve enforcement of the Employee Retirement Income Security Act of 1974, and for other purposes.","Dole, Robert J. [Sen.-R-KS] (Introduced 10/27/1990)",Republican,10/27/1990,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",10/27/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Accounting,Auditing,"Employee benefit plans","Excise tax","Expert witnesses","Fines (Penalties)","Government paperwork",Informers,"Judicial review","Labor and Employment","Legal fees","Pension funds","Stockholders' voting",Taxation,"Trusts and trustees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5972,,,CRS,,,"10/27/1990 Referred to the House Committee on Ways and Means.",,,"<p> Employee Retirement Income Security Act Amendments of 1990 - Amends the Employee Retirement Income Security Act of 1974 (ERISA) to require each multiple employer welfare arrangement (MEWA) to file with the Secretary of Labor (the Secretary) an annual registration statement beginning in 1991.  Requires that copies of such statements be transmitted to the Insurance Commissioners of States in which the MEWA currently conducts, or intends to conduct, business.  Makes specified persons responsible for such filing. <p> Repeals the limited scope audit exemption for plan years beginning on or after January 1, 1992. <p> Requires under conditions for being considered a qualified public accountant for ERISA purposes, after January 1, 1994, that such a person has undergone a peer review of his or her accounting and auditing practice with respect to employee benefit plans during the three-year period immediately preceding an engagement to conduct an audit under specified ERISA provisions. <p> Requires the following to have a written policy governing the voting of any securities held by the plan and to provide a copy of such policy to the plan administrator: (1) investment managers (for the securities they manage); (2) named fiduciaries who have the authority to direct a trustee in matters related to the exercise of any such voting rights; and (3) trustees, to the extent they retain the power to exercise any such voting rights. Requires plan administrators, upon request of any participant or beneficiary and for a reasonable charge, to furnish a copy of the voting policy of any person responsible for exercising, or directing the exercise of, any voting rights of securities held by the plan. <p> Requires a court, in a civil action brought by a participant or beneficiary with respect to certain benefit claims, to review the fiduciary's decision without according any deference to any of the fiduciary's findings or conclusions, if the action involves a matter previously decided by a named fiduciary who has a significant interest which would be adversely affected by a decision in favor of the participant or beneficiary.  Allows deference to be accorded such findings and conclusions to the extent that they affirm those of a party who did not have such an interest. <p> Requires the court, in any action brought by a participant, beneficiary, or fiduciary under fiduciary responsibility provisions of ERISA in which a judgment is awarded in his or her favor, to award such a plaintiff reasonable attorney and expert witness fees and costs. Makes such requirement inapplicable to actions arising from claims for failure to pay benefits or to approve requests for clarification of rights to future benefits.  Allows the court in its discretion to award fees and costs to a party who is not entitled to such mandatory fees and costs. <p> Amends both ERISA and the Internal Revenue Code to double (from five percent to ten percent) the amount of the civil penalty and excise tax for a plan's engaging in a prohibited transaction. <p> Authorizes the Secretary of Labor to make a discretionary award of up to ten percent of the civil penalty collected to persons who provide information leading to the initiation of an investigation or the bringing of an action which resulted in the collection of any civil penalties for violations by fiduciaries under ERISA.",,,,,,
"S. 3264",https://www.congress.gov/bill/101st-congress/senate-bill/3264,"101st Congress (1989-1990)","A bill to amend the Federal Water Pollution Control Act to provide for the use of biomonitoring and whole effluent toxicity testing in connection with publicly owned treatment works, and for other purposes.","Garn, E. J. (Jake) [Sen.-R-UT] (Introduced 10/27/1990)",Republican,10/27/1990,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",10/27/1990,"Hatch, Orrin G. [Sen.-R-UT]","Armstrong, William L. [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Environmental Protection",Licenses,Standards,"Water pollution measurement","Water quality","Water treatment plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5878,,,CRS,House,,"10/19/1990 Referred to the House Committee on Public Works + Transportation.",,,"<p>Publicly Owned Treatment Works Biomonitoring Use Act - Amends the Federal Water Pollution Control Act to provide that if the Administrator of the Environmental Protection Agency determines that, in the control of toxicity it is necessary to include biological monitoring, testing, or assessment methods as a condition of a permit issued to a publicly owned treatment works, the failure of a single whole effluent toxicity test shall not result in a finding of violation.  Makes it a violation of this Act if the treatment works fails to comply with a schedule or other permit condition to identify and control toxic discharges.",,,,,,
"S. 3263",https://www.congress.gov/bill/101st-congress/senate-bill/3263,"101st Congress (1989-1990)","A bill to establish a replacement fuels and alternative fuels program, and for other purposes.","Jeffords, James M. [Sen.-R-VT] (Introduced 10/27/1990)",Republican,10/27/1990,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",10/27/1990,"Domenici, Pete V. [Sen.-R-NM]","McClure, James A. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Air quality","Alcohol as fuel","Alternative energy sources","Automobile fuel consumption","Congressional reporting requirements","Diesel motor",Energy,"Energy policy","Environmental assessment","Environmental Protection",Gasoline,"Government paperwork","Motor vehicle pollution control","Natural gas","Petroleum industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Directs the Secretary of Energy to establish a replacement fuels development program which:  (1) promotes the replacement of gasoline as a motor fuel with alternative motor fuels; (2) ensures the availability of replacement and alternative motor fuels; and (3) will have the greatest impact in improving air quality in urban areas, along transportation corridors, and nationwide.  Prescribes program guidelines. <p>Requires the Secretary to establish optimal replacement and alternative motor fuel production goals for 1996 and 1997 and to report to the Congress about program status.  Prescribes minimum percentages of domestically produced replacement fuel to be sold in specified calendar years.  Sets a deadline by which the Secretary must prescribe the minimum percentage of domestically produced replacement and alternative fuel which must be contained in the total annual gasoline sales by refiners for motor fuel use in certain years. <p>Requires refiners and manufacturers to report annually to the Secretary regarding the amount of domestically produced replacement and alternative fuel sold. Requires the Secretary to promulgate regulations by a specified deadline regarding the exchange of marketable credits among:  (1) refiners; (2) manufacturers of replacement fuels; and (3) distributors of alternative motor fuels sold in commerce for transportation purposes. <p>Amends the Motor Vehicle Information and Cost Savings Act with respect to average fuel economy standards to require the Secretary to not consider the fuel economy of alcohol powered automobiles or natural gas powered automobiles, and to consider dual energy automobiles and natural gas dual energy automobiles operated on gasolines and diesel fuel, to the extent that alternative motor fuel sales indicate that such fuels are being used to displace the use of gasoline and diesel fuel as a transportation fuel. <p>Establishes civil penalties for violations of this Act.  Authorizes appropriations.  Requires the Secretary to issue regulations requiring gasoline retailers to have replacement motor fuels and nonpetroleum motor fuels to sell for the transportation needs of consumers. <p>Requires the Administrator of the Environmental Protection Agency to report to the Congress on the environmental impact potential of developing replacement fuels and nonpetroleum motor fuels.",,,,,,
"S. 3261",https://www.congress.gov/bill/101st-congress/senate-bill/3261,"101st Congress (1989-1990)","A bill to amend title 23, United States Code, to assist in the development of travel and tourism as a multi-purpose land use of public lands for travel and tourism purposes, and for other purposes.","Burns, Conrad R. [Sen.-R-MT] (Introduced 10/26/1990)",Republican,10/26/1990,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",10/26/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bicycles,Bikeways,"Federal aid highway program","Federal aid to transportation","Forest roads","Indian lands",Lakes,"Land use","Parking facilities",Pedestrians,Planning,"Public Lands and Natural Resources","Recreation areas","Roads and highways","Rural economic development","Tourist trade",Trails,"Transportation and Public Works",Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p> Federal Rural Tourism and Recreational Development Initiative Act of 1990 - Declares it a national goal to improve and provide safe access to public lands to encourage the development of travel and tourism opportunities in support of rural area development. <p> Authorizes the use of funds under the Federal lands highways program for purposes such as:  (1) transportation planning for tourism and recreational travel; (2) interpretive signage and development of public road facilities for areas of historical, archeological, cultural, and scenic interests; (3) construction and reconstruction of roadside rest areas; and (4) other appropriate facilities as determined by the Secretary of Transportation. Specifies that funds available for forest development roads and trails may be made available for such purposes, as well. <p> Requires the Secretary to authorize Federal aid highway projects for pedestrian and bicycle facilities to encourage alternative modes of transportation for tourism and recreational purposes. <p> Authorizes the motorized use of trails and walkways, subject to State and local regulations.  (Under current law, motorized vehicles are prohibited except for maintenance purposes and, when snow conditions and State or local regulations permit, snowmobiles.) <p> Directs the Secretary to: (1) annually allocate sums authorized to be appropriated for access highways to public recreation areas on certain lakes; and (2) establish and carry out a tourism and recreational travel technical assistance program in non-urbanized areas. <p> Requires that each State using funds provided in this Act have a multipurpose land use statewide driving and recreation travel plan. <p> Authorizes appropriations.",,,,,,
"S. 3260",https://www.congress.gov/bill/101st-congress/senate-bill/3260,"101st Congress (1989-1990)","A bill to amend the Internal Revenue Code of 1986 to impose an excise tax on insurance companies not meeting certain coverage and rating standards with respect to health insurance provided to small companies.","Durenberger, Dave [Sen.-R-MN] (Introduced 10/26/1990)",Republican,10/26/1990,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Accident insurance","Excise tax","Government paperwork",Health,"Health insurance","Insurance companies","Insurance premiums","Small business",Standards,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Small Employer Health Benefit Reform Act of 1990 - Amends the Internal Revenue Code to impose an excise tax on insurance companies which do not meet requirements concerning coverage, rating, or disclosure and recordkeeping with respect to accident and health insurance provided to small employers.",,,,,,
"S. 3259",https://www.congress.gov/bill/101st-congress/senate-bill/3259,"101st Congress (1989-1990)","A bill to amend title 38, United States Code, to revise the formula for payments to States for care furnished to veterans in State homes.","D'Amato, Alfonse [Sen.-R-NY] (Introduced 10/26/1990)",Republican,10/26/1990,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans.",10/26/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security",Grants-in-aid,"Nursing homes","Soldiers' homes","Veterans' medical care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5879,,,CRS,,,"10/19/1990 Referred to the House Committee on Veterans' Affairs.",,,"<p>Revises the formula for payments made by the Secretary of Veterans Affairs to States for nursing home, domiciliary, and hospital care furnished to veterans who are eligible to receive such care in a facility of the Department of Veterans Affairs, but who instead receive such care in a State home.",,,,,,
"S. 3258",https://www.congress.gov/bill/101st-congress/senate-bill/3258,"101st Congress (1989-1990)","A bill to amend chapter 3 of title 11, United States Code, to modify the compensation for private bankruptcy trustees.","Thurmond, Strom [Sen.-R-SC] (Introduced 10/26/1990)",Republican,10/26/1990,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/26/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bankruptcy,Fees,"Finance and Financial Sector","Trusts and trustees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Bankruptcy Administration Improvements Act of 1990 - Amends the Federal Bankruptcy Code to revise the compensation formula for private bankruptcy trustees.",,,,,,
"S. 3256",https://www.congress.gov/bill/101st-congress/senate-bill/3256,"101st Congress (1989-1990)","A bill to amend the Internal Revenue Code of 1986 to provide a special valuation of sensitive environmental areas for estate tax purposes, and for other purposes.","Jeffords, James M. [Sen.-R-VT] (Introduced 10/26/1990)",Republican,10/26/1990,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/1990,"Symms, Steven D. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Conservation of natural resources",Easements,"Environmental Protection","Estate tax","Open space lands",Taxation,"Urban areas",Valuation,"Wetland conservation",Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Wetlands and Green Space Preservation Assistance Act of 1990 - Amends the Internal Revenue Code to provide for determining the environmental use value of sensitive environmental areas for estate tax purposes.  Requires the estate to grant an environmental preservation easement for a period of ten years after the death of the decedent.  Imposes an additional estate tax if an heir fails to maintain the easement.",,,,,,
