"Downloaded on",03/04/2025,"18:32:14 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22103%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2569",https://www.congress.gov/bill/103rd-congress/senate-bill/2569,"103rd Congress (1993-1994)","A bill to prohibit the United States from entering into any international agreement which would prevent full implementation of the United Nations moratorium on large-scale driftnet fishing on the high seas.","Stevens, Ted [Sen.-R-AK] (Introduced 12/01/1994)",Republican,12/01/1994,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",12/01/1994,"Murkowski, Frank H. [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agriculture and Food","Driftnet fishing",Fisheries,"Fishery agreements","Fishery products","Foreign Trade and International Finance","International Affairs","International fishery management","Marine and coastal resources, fisheries","Public Lands and Natural Resources","Trade agreements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>High Seas Driftnet Fishing Moratorium Protection Act - Prohibits the United States from entering into any international agreement with respect to fisheries, marine resources, the use of the high seas, or trade in fish or fish products that would prevent full implementation of the global moratorium on large-scale driftnet fishing on the high seas, as such moratorium is expressed in a certain United Nations (U.N.) resolution. <p>Directs the Secretary of State to seek to enhance the implementation and effectiveness of U.N. resolutions and decisions regarding the moratorium on large-scale driftnet fishing on the high seas through appropriate international agreements and organizations. <p>Requires the President to utilize appropriate assets of the Federal government to detect, monitor, and prevent violations of such U.N. moratoriums.",,,,,,
"S. 2568",https://www.congress.gov/bill/103rd-congress/senate-bill/2568,"103rd Congress (1993-1994)","A bill to enhance the management of public lands, reduce Federal expenditures associated with such lands, and empower states with respect to the ownership and control over lands that are or have been part of the public domain, and for other purposes.","Wallop, Malcolm [Sen.-R-WY] (Introduced 12/01/1994)",Republican,12/01/1994,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",12/01/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Environmental Protection","Federal-state relations","Government liability","Government Operations and Politics","Government paperwork","Hazardous waste disposal","Land transfers",Law,"Liability for toxic substances pollution damages","Public Lands and Natural Resources","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Public Land Emancipation and Management Improvement Act - Vests all U.S.  interests in real property in the State in which such property is located, subject only to specified limitations and any valid existing rights, effective January 1, 1998. <p>Excludes from the definition of ""real property"" under this Act: (1) any lands or interests therein owned by the United States as of such date within the exterior boundaries of any unit of the National Park Service (NPS lands) which the United States holds title to in trust for the benefit of a federally recognized Indian tribe, a member thereof, or an individual allottee (Indian lands) and which the Governor of the State in which such lands are located does not wish to have transferred, as identified in writing to the President prior to such date as not subject to transfer (unwanted lands); and (2) such lands as the President identifies for continued Federal retention, except that the total of all lands identified, when combined with any other U.S. lands (excluding Indian lands and unwanted lands), may not exceed 20 percent of the total acreage within any given State. <p>Directs the President, by January 1, 1997, to prepare a comprehensive inventory of all real property owned by the Federal Government within each of the States and transmit such list to each Governor, accompanied by an identification of NPS and Indian lands or which have been identified for continued Federal retention. <p>Authorizes each Governor to bring an action in any Federal district court within the State to modify the list if the real property identified for continued Federal retention exceeds 20 percent of the total acreage within the State.  Limits review to whether the acreage exceeds 20 percent (and if the court concludes that it does, the court shall exclude such acreage as necessary to reduce the total to no more than 20 percent). Specifies that the acreage to be excluded shall be based solely on a priority list furnished by the Governor and that the list shall be final and not subject to review or modification. <p>Makes the Federal Government strictly liable for the costs of any cleanup associated with hazardous materials or contamination associated with any lands transferred pursuant to this Act.",,,,,,
"S. 2567",https://www.congress.gov/bill/103rd-congress/senate-bill/2567,"103rd Congress (1993-1994)","A bill to amend the Internal Revenue Code of 1986 to extend the exemption for commercial aviation from the transportation fuels tax","Gorton, Slade [Sen.-R-WA] (Introduced 12/01/1994)",Republican,12/01/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/01/1994,"McCain, John [Sen.-R-AZ]","Bryan, Richard H. [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Aviation fuels","Commercial aircraft","Excise tax","Tax exemption","Tax rates",Taxation,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Commercial Aviation Fuel Tax Exemption Extension Act - Amends the Internal Revenue Code to extend the fuel tax exemption for commercial aviation until September 30, 1998.",,,,,,
"S. 2566",https://www.congress.gov/bill/103rd-congress/senate-bill/2566,"103rd Congress (1993-1994)","A bill to amend the Federal Water Pollution Control Act to restore State control over the allocation and granting of water rights and FERC control over the licensing of hydroelectric projects, and for other purposes.","Wallop, Malcolm [Sen.-R-WY] (Introduced 11/30/1994)",Republican,11/30/1994,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",11/30/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Energy,"Energy policy","Environmental Protection","Federal preemption","Government Operations and Politics","Hydroelectric power","Interstate compacts",Law,Licenses,Standards,"State laws","Supreme Court decisions","Water allocation (Policy)","Water pollution control","Water quality","Water Resources Development","Water rights","Water supply","Water use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Federal Water Pollution Control Act to prohibit the authority of each State to allocate quantities of water within its jurisdiction from being superseded, abrogated, or otherwise impaired. (Currently, it is the policy of the Congress that such authority not be superseded, abrogated, or impaired.) <p>Provides that nothing in such Act authorizes:  (1) the regulation of quantities of water or impairs or affects any State authority with respect to the allocation of water; (2) an action that affects any water right established by a State law, an interstate water compact, or a Supreme Court decree; and (3) an action with respect to other matters, including aesthetics not directly related to water quality. <p>Declares that discharges into navigable waters will comply with narrative and numeric water quality criteria based on designated uses adopted in water quality standards.  Prohibits State certifications with respect to discharges from regulating water use or quantities. <p>Revises existing State authorities to incorporate the amendments made by this Act.",,,,,,
"S. 2565",https://www.congress.gov/bill/103rd-congress/senate-bill/2565,"103rd Congress (1993-1994)","A bill to amend the Fair Labor Standards Act of 1938 to exempt employees who perform certain court reporting duties from the compensatory time requirements applicable to certain public agencies, and for other purposes.","Pressler, Larry [Sen.-R-SD] (Introduced 11/30/1994)",Republican,11/30/1994,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",11/30/1994,"Kassebaum, Nancy Landon [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Court reporting","Government Operations and Politics","Labor and Employment",Law,"Local officials and employees",Overtime,"State courts","State officials and employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Court Reporter Fair Labor Standards Act of 1994 - Amends the Fair Labor Standards Act of 1938 to allow an exemption from certain Federal wage and hour requirements for State and local official court reporters while they are performing transcription duties for a private party outside of normal working hours, provided there is an understanding between the court reporters and their State or local court employer.",,,,,,
"S. 2564",https://www.congress.gov/bill/103rd-congress/senate-bill/2564,"103rd Congress (1993-1994)","A bill to delay the required implementation date for enhanced vehicle inspection and maintenance programs under the Clean Air Act and to require the Administrator of the Environmental Protection Agency to reissue the regulations relating to the programs, and for other purposes.","Gregg, Judd [Sen.-R-NH] (Introduced 11/30/1994)",Republican,11/30/1994,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",11/30/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative procedure","Automobile repair","Environmental Protection Agency","Environmental Protection","Government Operations and Politics","Judicial review of administrative acts",Law,"Motor vehicle pollution control","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Provides that States will not be required to implement enhanced vehicle inspection and maintenance programs under the Clean Air Act prior to March 1, 1996. <p>Directs the Administrator of the Environmental Protection Agency to immediately rescind regulations relating to the operation of such programs on a centralized basis and issue new regulations to allow the operation of such programs on a centralized or decentralized basis at the option of each State. <p>Prohibits, until the Administrator carries out such requirements, the imposition of sanctions for failures by States to implement such programs or specified adverse actions against States by the Administrator or the Administrator of the Federal Highway Administration. <p>Requires the Administrator to:  (1) deem that emissions reductions calculated by States for inspection and maintenance under State implementation plans would be achieved as if the planned program had been implemented; or (2) consider the operation of the program on a decentralized basis as equivalent to operation on a centralized basis if the State demonstrates that such equivalency is reasonable.",,,,,,
"S. 2561",https://www.congress.gov/bill/103rd-congress/senate-bill/2561,"103rd Congress (1993-1994)","A bill to provide for the extension of the Farmers Home Administration program under section 515 of the Housing Act of 1949 and other programs relating to housing and community development.","Bond, Christopher S. [Sen.-R-MO] (Introduced 10/08/1994)",Republican,10/08/1994,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",10/08/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Apartment houses",Arizona,"Block grants",Boundaries,California,Counseling,Disabled,"Economics and Public Finance","Federal aid to community development","Federal aid to housing",Foreclosure,"Home ownership","Housing and Community Development","Housing for the handicapped","Housing subsidies","Latin America","Low-income housing",Mexico,"Mortgage guaranty insurance","New Mexico","Nonprofit organizations","Public housing","Rent subsidies","Rental housing","Rural housing","Secondary mortgage market",Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Housing Programs Extension Act of 1994 - Authorizes section 8 housing contract extensions and related displaced tenant assistance. Authorizes appropriations. <p>Amends the Housing and Community Development Act of 1987 to extend funding for the low-income housing preservation and ownership program. <p>Amends the National Housing Act to extend authority to use rental assistance amounts for flexible subsidies. <p>Amends the Housing and Urban Development Act of 1968 to extend authority for housing counseling programs. <p>Amends the United States Housing Act of 1937 to extend set-asides for reconstruction of public housing for disabled families. <p>Amends the Housing Act of 1949 to extend rural housing set asides for:  (1) underserved areas; and (2) rental housing funds for nonprofit entities.  Makes rural multifamily rental housing loan authority permanent. <p>Amends the Housing and Community Development Act of 1992 to extend authority for the multifamily mortgage risk-sharing pilot program. <p>Amends the Cranston-Gonzalez National Affordable Housing Act to extend community development block grant set-asides for colonias.",,,,,,
"S. 2558",https://www.congress.gov/bill/103rd-congress/senate-bill/2558,"103rd Congress (1993-1994)","A bill to provide for the World War II Home Front Council to reissue the World War II ""E"" award to the original recipients to commemorate the role of World War II Home Front veterans, including women, minorities, labor, and industry, and for other purposes.","Stevens, Ted [Sen.-R-AK] (Introduced 10/08/1994)",Republican,10/08/1994,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",10/08/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Anniversaries,"Armed Forces and National Security","Associations, institutions, etc.","Awards, medals, prizes",Commemorations,Commerce,Congress,"Congressional reporting requirements","Defense industries",Flags,Gifts,History,"Industrial production","Industrial productivity","Military history","Veterans in Congress","World War II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>World War II Home Front Commemorative Act - Authorizes the World War II Home Front Council to reissue the World War II ""E"" Award for Excellence in Industrial Production to individuals, firms, and businesses to which they were originally awarded in celebration of the 50th anniversary of the Allied victory in World War II. <p>Directs the Council to:  (1) establish the ""Excellence in Production Award Account"" to receive all proceeds derived from its activities to commemorate Home Front efforts; (2) implement Home Front education and commemoration programs; (3) establish a volunteer advisory committee; and (4) submit semi-annual status reports to the Congress.  Authorizes appropriations.",,,,,,
"S. 2557",https://www.congress.gov/bill/103rd-congress/senate-bill/2557,"103rd Congress (1993-1994)","A bill to amend the Internal Revenue Code of 1986 to reinstate the 80-percent limitation on the deductible portion of meal expenses.","Simpson, Alan K. [Sen.-R-WY] (Introduced 10/08/1994)",Republican,10/08/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/08/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food",Commerce,"Income tax",Recreation,"Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Internal Revenue Code to revise the deductibility of meal and entertainment expenses and items to allow a deduction of 80 percent of the amount of such expenses, or 50 percent of the amount of such items.",,,,,,
"S. 2556",https://www.congress.gov/bill/103rd-congress/senate-bill/2556,"103rd Congress (1993-1994)","A bill to provide for the portability of validly executed advance directives, to provide patients with a better understanding of their health care choices, and to promote study of the quality of care for the gravely or terminally ill or injured, and for other purposes.","Danforth, John C. [Sen.-R-MO] (Introduced 10/08/1994)",Republican,10/08/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/08/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commemorations,"Communication in medicine",Congress,"Congressional reporting requirements",Epidemiology,"Federal preemption","Government Operations and Politics","Government paperwork",Health,"Informed consent (Medical law)","Interstate relations","Kidney diseases",Law,Medicaid,"Medical ethics","Medical research",Medicare,"Public assistance programs","Right to die","Science, Technology, Communications","Social Welfare","State laws","Terminal care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Provides for the portability among States of validly executed advance directives under Medicare and Medicaid provisions of the Social Security Act. <p>Amends title XVIII (Medicare) and title XIX (Medicaid) of the Social Security Act to require written policies and procedures of service providers to provide for effective communication with individuals regarding relevant aspects of health care decisions affecting such individual, including obtaining informed consent, individual prognosis and treatment decisions, and the formulation of advance directives. <p>Requires a report to the Congress on a study of issues relating to care at the end of life, including how to determine the application of medically necessary or appropriate care for gravely or terminally ill or injured persons.  Authorizes appropriations.",,,,,,
