"Downloaded on",03/04/2025,"18:36:36 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22107%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3175",https://www.congress.gov/bill/107th-congress/senate-bill/3175,"107th Congress (2001-2002)","A bill to amend the Internal Revenue Code of 1986 to reduce the tax on beer to its pre-1991 level.","Santorum, Rick [Sen.-R-PA] (Introduced 11/19/2002)",Republican,11/19/2002,"Senate - Finance","Read twice and referred to the Committee on Finance.",11/19/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food","Alcohol tax",Beer,"Tax cuts","Tax rates",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1305,,,,CRS,,,"03/29/2001 Referred to the House Committee on Ways and Means.",,,,"Amends the Internal Revenue Code to reduce from $18 to $9 (its pre-1991 level) the per-barrel tax on beer.",,,,,,
"S. 3174",https://www.congress.gov/bill/107th-congress/senate-bill/3174,"107th Congress (2001-2002)","A bill to permanently reenact chapter 12 of title 11, United States Code, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 11/19/2002)",Republican,11/19/2002,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",11/19/2002,"Leahy, Patrick J. [Sen.-D-VT]","Feingold, Russell D. [Sen.-D-WI]","Landrieu, Mary L. [Sen.-D-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Agricultural credit","Trusts and trustees",Aquaculture,Bankruptcy,Commerce,Debt,"Debtor and creditor","Economics and Public Finance",Families,"Family enterprises","Family farms","Farm income",Farmers,"Finance and Financial Sector",Fisheries,"Fishing boats","Government lending","Indexing (Economic policy)",Law,"Marine and coastal resources, fisheries","Agriculture and Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Protection of Family Farmers and Family Fishermen Act of 2002 - Amends the Federal Bankruptcy Code to reenact Chapter 12, Adjustment of Debts of a Family Farmer with Regular Annual Income (thus reinstating permanently family farmer bankruptcy relief).<p>Provides periodic adjustments for inflation of the debt limit for family farmers.<p>Cites circumstances under which the claim of a governmental unit that arises from the disposition of a farm asset used in the debtor's farming operation shall be treated as an unsecured claim not entitled to priority.<p>Increases from $1.5 million to $3.237 million the maximum aggregate debt that permits a farming operation to qualify as a family farming operation for debt adjustment purposes. Decreases from 80 percent to 50 percent the minimum percentage of aggregate, noncontingent liquidated debts arising out of such a farming operation.<p>Repeals the requirement that a family farmer and spouse receive over 50 percent of income from farming operations in the year before a bankruptcy petition is filed.<p>Prohibits: (1) retroactive assessment of disposable income; and (2) post-confirmation modification of a bankruptcy plan that would increase the amount of payments that were due before such modification. Requires debtor's consent for post-confirmation increase in payments.<p>Extends Chapter 12 coverage to family fishermen whose aggregate debts do not exceed $1.5 million, of which at least 80 percent of aggregate noncontingent, liquidated debts arise out of a commercial fishing operation.",,,,,,
"S. 3172",https://www.congress.gov/bill/107th-congress/senate-bill/3172,"107th Congress (2001-2002)","A bill to improve the calculation of the Federal subsidy rate with respect to certain small business loans, and for other purposes.","Bond, Christopher S. [Sen.-R-MO] (Introduced 11/15/2002)",Republican,11/15/2002,"House - Budget, Small Business","Referred to the Committee on the Budget, and in addition to the Committee on Small Business, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/19/2002,"Domenici, Pete V. [Sen.-R-NM]","Harkin, Tom [Sen.-D-IA]","Kerry, John F. [Sen.-D-MA]","Conrad, Kent [Sen.-D-ND]","Burns, Conrad R. [Sen.-R-MT]","Snowe, Olympia J. [Sen.-R-ME]","Landrieu, Mary L. [Sen.-D-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Government and business","Finance and Financial Sector","International Affairs","Small business",Terrorism,Appropriations,Commerce,Congress,"Congressional reporting requirements","Crime and Law Enforcement","Disaster loans","Economic forecasting","Economics and Public Finance","Emergency Management","Federally-guaranteed loans","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Authorizes the Director of the Office of Management and Budget (OMB), in calculating the Federal cost for guaranteeing small business loans under the Small Business Act during FY 2003, to use: (1) the most recently approved subsidy cost model and methodology in conjunction with the program and economic assumptions; and (2) historical data included in the FY 2003 budget. Requires the Small Business Administration (SBA), after written notification to Congress, to implement the validated, OMB-approved rate for FY 2003.<p>Amends the Department of Defense and Emergency Supplemental Appropriations for Recovery from and Response to Terrorist Attacks on the United States Act, 2002 to allow funds appropriated to the SBA for emergency expenses to also be used for such loan guarantee subsidies.",,,,,,
"S. 3171",https://www.congress.gov/bill/107th-congress/senate-bill/3171,"107th Congress (2001-2002)","A bill to amend the impact aid program under the Elementary and Secondary Education Act of 1965 to improve the delivery of payments under the program to local educational agencies.","Inhofe, James M. [Sen.-R-OK] (Introduced 11/15/2002)",Republican,11/15/2002,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/15/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Entitlements,"Elementary education","Impact aid","Indian children","Military dependents",Minorities,"School buildings","Secondary education","Social Welfare","Armed Forces and National Security","Building construction","Construction costs","Economics and Public Finance",Education,"Elementary and secondary education",Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Amends the Elementary and Secondary Education Act of 1965 to entitle certain local educational agencies (LEAs) to certain payment amounts under Impact Aid programs: (1) relating to Federal acquisition of real property; and (2) for basic support for eligible federally-connected children. (Current law makes such LEAs eligible for such payments up to specified maximum amounts.)<p>Revises the formula for calculating weighted student units for Impact Aid payments to LEAs for federally-connected children.<p>Extends the authorization of appropriations for: (1) construction and school modernization payments for certain LEAs, including ones with high percentages of children living on Indian lands or children of military parents; and (2) facilities maintenance payments for certain schools located on military bases and serving military dependent children.<p>Makes appropriations for payments in each fiscal year to LEAs under Impact Aid programs: (1) relating to Federal acquisition of real property; and (2) for basic support for eligible federally-connected children.",,,,,,
"S. 3167",https://www.congress.gov/bill/107th-congress/senate-bill/3167,"107th Congress (2001-2002)","A bill to provide grants to States and outlying areas to encourage the States and outlying areas to enhance existing or establish new statewide coalitions among institutions of higher education, communities around the institutions, and other relevant organization or groups, including anti-drug or anti-alcohol coalitions, to reduce underage drinking and illicit drug-use by students, both on and off campus.","DeWine, Mike [Sen.-R-OH] (Introduced 11/14/2002)",Republican,11/14/2002,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/14/2002,"Lieberman, Joseph I. [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Federal aid to higher education",Education,"Government Operations and Politics","Government publicity","Higher education","Nonprofit organizations","Social Welfare","Student activities","Alcohol and youth","Alcoholism counseling","College administration","College discipline","College students",Colleges,"Drug abuse","Drug abuse counseling","Drugs and youth","Economics and Public Finance","Federal aid to substance abuse programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Communities Combating College Drinking and Drug Use Act - Directs the Secretary of Education to make matching grant allotments to applicant States to enhance or establish statewide coalitions to reduce the usage of drugs and alcohol by college students both on campus and in the surrounding community at large.<p>Requires such a statewide coalition to be formed in cooperation with at least half of the institutions of higher education within the State, and with local communities, nonprofit groups, community anti-drug or anti-alcohol coalitions, and other substance abuse prevention groups within the State.",,,,,,
"S. 3166",https://www.congress.gov/bill/107th-congress/senate-bill/3166,"107th Congress (2001-2002)","A bill to amend the Higher Education Act of 1965 to provide loan forgiveness for attorneys who represent low-income families or individuals involved in the family or domestic relations court systems.","DeWine, Mike [Sen.-R-OH] (Introduced 11/14/2002)",Republican,11/14/2002,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/14/2002,"Rockefeller, John D., IV [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Administration of juvenile justice",Adoption,"Child abuse",Congress,"Congressional reporting requirements","Domestic relations","Economics and Public Finance",Education,"Educational finance",Families,"Family courts","Family violence","Federal aid to higher education","Federally-guaranteed loans","Finance and Financial Sector","Higher education","Juvenile courts",Law,"Legal assistance to the poor","Legal education","Legal services",Poor,Scholarships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Amends the Higher Education Act of 1965 to establish a demonstration program of student loan forgiveness for highly qualified attorneys who: (1) work for State or local government, or nonprofit private, entities on behalf of low-income families or individuals in the family or domestic relations court systems; and (2) have trained and worked in areas including juvenile justice, truancy, child abuse or neglect, adoption, domestic relations, child support, paternity, or others which State law determines to be in the field of family or domestic relations law.",,,,,,
"S. 3165",https://www.congress.gov/bill/107th-congress/senate-bill/3165,"107th Congress (2001-2002)","A bill to provide loan forgiveness to social workers who work for child protective agencies.","DeWine, Mike [Sen.-R-OH] (Introduced 11/14/2002)",Republican,11/14/2002,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/14/2002,"Rockefeller, John D., IV [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Child safety","Student loan funds",Congress,"Congressional reporting requirements","Economics and Public Finance",Education,"Evaluation research (Social action programs)",Families,"Federal aid to child welfare","Federal aid to higher education","Federally-guaranteed loans","Finance and Financial Sector","Government lending","Higher education",Interest,Scholarships,"Social Welfare","Social workers","Child welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Amends the Higher Education Act of 1965 to authorize the Secretary of Education to carry out a demonstration program of student loan forgiveness for child welfare workers employed by child protection agencies.",,,,,,
"S. 3164",https://www.congress.gov/bill/107th-congress/senate-bill/3164,"107th Congress (2001-2002)","A bill to amend the Higher Education Act of 1965 to improve the loan forgiveness program for child care providers, including preschool teachers, and for other purposes.","DeWine, Mike [Sen.-R-OH] (Introduced 11/14/2002)",Republican,11/14/2002,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/14/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Authorization,Teachers,"Congressional reporting requirements","Day care","Economics and Public Finance",Education,"Education of disadvantaged children","Educational finance","Elementary and secondary education",Families,"Federal aid to higher education","Federally-guaranteed loans","Finance and Financial Sector","Government lending","Government Operations and Politics","Government paperwork","Head Start programs","Higher education",Licenses,"Preschool education",Scholarships,"Social Welfare","Student loan funds","Teacher education","Teacher supply and demand",Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Paul Wellstone Early Educator Loan Forgiveness Act - Amends the Higher Education Act of 1965 to revise the student loan forgiveness program for child care providers to include preschool teachers. Requires such teachers to: (1) have received at least an associate's degree, and be working toward or have already received a bachelor's degree, in early childhood education; and (2) work for an eligible preschool program provider to prepare the children for transition to kindergarten.",,,,,,
"S. 3163",https://www.congress.gov/bill/107th-congress/senate-bill/3163,"107th Congress (2001-2002)","A  bill to establish a grant program to enable institutions of higher education to improve schools of education.","DeWine, Mike [Sen.-R-OH] (Introduced 11/14/2002)",Republican,11/14/2002,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",11/14/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Language and languages","Social Welfare",Law,Licenses,Mathematics,Mentoring,"Political science","Recruiting of employees",Scholarships,"Science, Technology, Communications","Scientific education","Special education","Student loan funds","Teacher education","Teacher supply and demand",Teaching,"Educational planning","Elementary and secondary education","Elementary education",Engineering,Engineers,Families,"Federal aid to higher education","Government Operations and Politics","Government publicity","Higher education",History,Infrastructure,"Labor and Employment","Academic performance","Class size",Disabled,"Economics and Public Finance",Education,"Education of disadvantaged children","Educational accountability","Educational innovations","Secondary education","Language arts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Ready to Educate All Children Act of 2002 - Authorizes the Secretary of Education to award competitive matching grants to institutions of higher education (IHEs) to establish partnerships with high poverty local educational agencies or high poverty schools (local partners) to establish or enhance a clinically-based elementary or secondary school teacher training program.<p>Requires an IHE receiving such a grant to: (1) establish a partnership with a local partner to establish or enhance such a program; (2) facilitate a partnership among the IHE's departments to ensure that future teachers are prepared to teach; and (3) implement a project-based assessment. Requires such IHE also to use grant funds for at least three activities listed.<p>Makes a student who participates in a program funded under this Act eligible for student assistance under title IV of the Higher Education Act of 1965 during the student's fifth year of study for a teaching degree (if such clinically-based program is a teaching-degree study requirement).",,,,,,
"S. 3157",https://www.congress.gov/bill/107th-congress/senate-bill/3157,"107th Congress (2001-2002)","A bill to expand the boundaries of the Fort Donelson National Battlefield, to authorize the acquisition of land associated with the campaign that resulted in the capture of Fort Donelson in 1862, and for other purposes.","Bunning, Jim [Sen.-R-KY] (Introduced 11/14/2002)",Republican,11/14/2002,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",11/14/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security",Tennessee,Boundaries,"Cemeteries and funerals","Civil War",Commemorations,History,Kentucky,"Land transfers","Military history","Military parks","National parks","National recreation areas","Public Lands and Natural Resources","Army posts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"Fort Donelson National Battlefield Expansion Act of 2002 - Revises the boundary of Fort Donelson National Battlefield to include Fort Donelson National Cemetery in Stewart County, Tennessee, and Fort Heiman and any associated land in Calloway County, Kentucky.<p>Authorizes the Secretary of the Interior to acquire from a willing seller eligible land for inclusion in the Battlefield. Limits the total area of the Battlefield to 2,000 acres.<p>Directs the Secretary and the Secretary of Agriculture to enter into a memorandum of understanding to provide for the cooperative protection and interpretation of Fort Henry and any other Civil War resources in the Land Between the Lakes National Recreation Area that are associated with the campaign to capture Fort Donelson.",,,,,,
