"Downloaded on",03/05/2025,"13:19:31 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22congress%22%3A%5B%22108%22%5D%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3035",https://www.congress.gov/bill/108th-congress/senate-bill/3035,"108th Congress (2003-2004)","A bill to amend the Oil Pollution Act of 1990 to prevent oil spills and increase liability limits, and for other purposes.","Lautenberg, Frank R. [Sen.-D-NJ] (Introduced 12/08/2004)",Democratic,12/08/2004,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S12069-12070)",12/08/2004,"Corzine, Jon S. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Environmental Protection",Freight,"Government Operations and Politics","Governmental investigations",Harbors,"Indexing (Economic policy)",Law,"Liability for environmental damages","Marine safety","Marine terminals","Oil pollution",Tankers,"Transportation and Public Works","Economics and Public Finance","Transportation of hazardous substances","Department of Homeland Security",Damages,"Congressional reporting requirements",Congress,"Coast guard","Administrative procedure","Economic impact statements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5431,,,,,,,,,,,,,,,,,,,,,,,CRS,,,"12/07/2004 Referred to the House Committee on Transportation and Infrastructure.",,,,,,,," <p>Oil Spill Prevention and Liability Act of 2004 - Amends the Oil Pollution Act of 1990 to double liability limits associated with oil spills for double-hull tank vessels, other vessels, offshore facilities (except deepwater ports), and onshore facilities and deepwater ports.</p> <p> Gradually phases out (over six years) liability limits for single-hull vessels. </p> <p>Authorizes the Secretary of the department in which the Coast Guard is operating to establish separate liability limits for the transportation of oil by vessel to deepwater ports.</p> <p>Amends the Ports and Waterways Safety Act to require the Secretary to promulgate regulations under which port owners or operators may request that the Secretary place restrictions on the entry of tank vessel shipments presenting a risk of severe harm to the environment, economy, or public safety of the port or port region. </p> <p>Requires single-hull tank vessels that are more than 15 years old to undergo annual inspections.</p> <p>Directs the Commandant of the Coast Guard to contract with the National Academy of Sciences for a study assessing the total economic cost of oil spills, and the types of costs resulting from such spills, and to report the findings to Congress.</p>",,,,,,
"S. 3034",https://www.congress.gov/bill/108th-congress/senate-bill/3034,"108th Congress (2003-2004)","A bill for the relief of Susan Overton Huey.","Pryor, Mark L. [Sen.-D-AR] (Introduced 12/08/2004)",Democratic,12/08/2004,,"Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Unanimous Consent. (consideration: CR S12018; text as passed Senate: CR S12018)",12/08/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation","Federal employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Deems an annuity payable to Susan Overton Huey.</p>",,,,,,
"S. 3030",https://www.congress.gov/bill/108th-congress/senate-bill/3030,"108th Congress (2003-2004)","A bill to establish an Office of Consumer Advocacy and Outreach within the Federal Trade Commission to protect consumers from certain unfair or deceptive acts or practices, and for other purposes.","Nelson, Bill [Sen.-D-FL] (Introduced 12/07/2004)",Democratic,12/07/2004,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,"Science, Technology, Communications","Consumer protection","Crime and Law Enforcement","Data banks","Deceptive advertising","Executive reorganization","Federal Trade Commission",Fraud,"Government Operations and Politics","Independent regulatory commissions",Informers,"Public service advertising","Restrictive trade practices","Consumer complaints",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Federal Trade Commission Consumer Advocacy Act - Establishes within the Federal Trade Commission (FTC) an Office of Consumer Advocacy and Outreach to protect minority consumers, disabled consumers, and other targeted consumers from unfair or deceptive acts or practices.</p> <p>Requires the head of the Office to: (1) assist law enforcement personnel in investigating unfair or deceptive acts or practices that affect such consumers and in increasing the amount of information available about such conduct through the Consumer Sentinel or equivalent database system; (2) provide such consumers with information regarding the detection of unfair or deceptive acts or practices; (3) administer a program permitting the anonymous reporting of information concerning unfair or deceptive acts or practices that affect such consumers; (4) carry out a program of monetary rewards for reports of such conduct if such reports result in civil penalties; and (5) carry out a public awareness campaign in Spanish.</p>",,,,,,
"S. 3024",https://www.congress.gov/bill/108th-congress/senate-bill/3024,"108th Congress (2003-2004)","A bill to establish the National Center for Transportation Solutions, and for other purposes.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 11/20/2004)",Democratic,11/20/2004,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",11/20/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advice and consent of the Senate","Transportation safety","Economics and Public Finance","Executive reorganization","Federal aid to research","Government Operations and Politics","Government publicity","Intermodal transportation","Northeastern States","Presidential appointments","Regional planning","Research and development","Research centers","Research grants","Science, Technology, Communications","Traffic congestion","Transportation and Public Works","Transportation planning","Transportation research",Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>National Center for Transportation Solutions Act of 2004 - Establishes the National Center for Transportation Solutions, consisting of the National Center for Transportation Solutions Board and the Director of National Transportation Research.</p> <p></p> <p>Directs the Center to develop and encourage the execution of a long-term national policy for the promotion of research and development related to multimodal transportation.</p> <p></p> <p>Requires the Director to award grants to establish regional centers for transportation solutions located in each of four regions established by the Board for the northeast, northwest, southeast, and southwest regions of the United States.</p>",,,,,,
"S. 3023",https://www.congress.gov/bill/108th-congress/senate-bill/3023,"108th Congress (2003-2004)","A bill to improve funeral home, cemetery, and crematory inspection systems, to establish consumer protections relating to funeral service contracts, and for other purposes.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 11/20/2004)",Democratic,11/20/2004,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",11/20/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative fees","Administrative procedure",Advertising,"Business records","Cemeteries and funerals","Civil actions and liability",Commerce,Congress,"Congressional reporting requirements","Consumer complaints","Consumer education","Consumer protection",Contracts,Damages,"Deceptive advertising","Department of Health and Human Services","Economics and Public Finance","Employee training","Evidence (Law)","Executive reorganization","Federal Trade Commission","Federal officials","Federal preemption","Finance and Financial Sector",Fraud,"Government Operations and Politics","Government paperwork","Governmental investigations",Grants-in-aid,"Independent regulatory commissions",Interest,"Intergovernmental fiscal relations","Labor and Employment",Law,Licenses,"Local laws","Recruiting of employees","Restrictive trade practices","Sales promotion",Standards,"State employees","State laws",Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Federal Death Care Inspection and Disclosure Act - Establishes within the Department of Health and Human Services the position of Coordinator of Funeral, Burial, and Disposition Services, to: (1) survey existing State laws pertaining to the death care industry; and (2) formulate standards specifying the elements of an effective system for registering, inspecting, and monitoring the handling and disposition of human remains by funeral homes and other death care providers.<p>Requires the Coordinator to: (1) award Federal assistance grants to State agencies that regulate death care providers; and (2) establish minimum standards and requirements governing State regulation of funeral homes and other death care providers.<p>Sets forth deceptive trade practices, including funeral provider practices that: (1) fail to make timely price disclosures regarding funeral goods and services; (2) fail to give an itemized written statement for retention to a purchaser of funeral goods or funeral services at the conclusion of the discussion related to such goods and services and prior to providing any services beyond taking possession of a deceased human body for authorized embalming; (3) make specified misrepresentations; (4) condition goods and services upon the purchase of other goods and services; and (5) provide embalming services without prior approval.<p>Prohibits unsolicited telephone offers or door-to-door direct offers to sell funeral goods, services, crematory services, interment rights, or other cemetery and memorialization goods and services.<p>Sets forth consumer protections with respect to certain cash advance prohibitions and requirements, and preneed and prepaid funeral service transactions.",,,,,,
"S. 3020",https://www.congress.gov/bill/108th-congress/senate-bill/3020,"108th Congress (2003-2004)","A bill to establish protections against compelled disclosure of sources, and news or information, by persons providing services for the news media.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 11/19/2004)",Democratic,11/19/2004,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR 11/20/2004 S11648)",11/19/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Freedom of the press","Evidence (Law)",Law,Periodicals,Photography,"Press organizations","Reporters and reporting","Science, Technology, Communications",Subpoena,"Video tape recording","Broadcast journalism","Civil Rights and Liberties, Minority Issues","Confidential communications","Crime and Law Enforcement","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Free Speech Protection Act of 2004 - Prohibits judicial, legislative, or executive branch entities of the Federal Government with the power to issue subpoenas or provide other compulsory process from compelling any person who engages in news or information gathering for dissemination to the public (covered person) through the news media to disclose: (1) the source of news or information, or any information that would tend to identify the source, whether or not the source has been promised confidentiality; or (2) any news or information procurred while providing services to the news media that is not itself communicated to the news media. Extends this protection to supervisors, employers, or other persons assisting a covered person.</p> <p>Renders inadmissible in any Federal action, proceeding, or hearing news or information obtained in violation of this Act.</p> <p>Creates an exception from the prohibition on compelled disclosure for news or information not communicated to the news media if a court finds that the requesting party has established by clear and convincing evidence that: (1) disclosure is critical and necessary to the resolution of a significant legal issue; (2) the news or information could not be obtained by alternative means; and (3) there is an overriding public interest in disclosure.</p> <p>States that publication by the news media, or dissemination by a person while providing services for the news media, of a source of news or information shall not constitute a waiver of the protections provided by this Act.</p>",,,,,,
"S. 3017",https://www.congress.gov/bill/108th-congress/senate-bill/3017,"108th Congress (2003-2004)","A bill to provide for the settlement of the claims of Swain County, North Carolina, against the United States under the agreement dated July 30, 1943.","Edwards, John [Sen.-D-NC] (Introduced 11/19/2004)",Democratic,11/19/2004,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",11/19/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Reservoirs,"Public Lands and Natural Resources","North Carolina",Law,Infrastructure,"Road construction",Dams,"Compensation (Law)","Transportation and Public Works",Claims,"Water Resources Development","Government liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Swain County Settlement Act of 2004 - Requires the Secretary of the Treasury to: (1) offer to compensate Swain County, North Carolina, for a road along the north shore of the Fontana Resevoir not being built in an amount determined by the parties to a specified agreement dated July 30, 1943, taking into consideration the estimated cost of the proposed road; and (2) pay to the County the amount of compensation determined.</p> <p>Declares that acceptance by the County of such payment by the Secretary constitutes full settlement of the claims of the County against the United States, the Department of the Interior, and the Tennessee Valley Authority (TVA) under the agreement.</p>",,,,,,
"S. 3015",https://www.congress.gov/bill/108th-congress/senate-bill/3015,"108th Congress (2003-2004)","A bill for the relief of Fatuka Kaikumba Flake.","Bayh, Evan [Sen.-D-IN] (Introduced 11/19/2004)",Democratic,11/19/2004,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",11/19/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5372,,,,,,,,,,,,,,,,,,,,,,,CRS,,,"11/19/2004 Referred to the Subcommittee on Immigration, Border Security, and Claims.",,,,,,,," <p>Declares Fatuka Kaikumba Flake to be eligible for issuance of an immigrant visa or for adjustment of status to that of an alien lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.</p>",,,,,,
"S. 3012",https://www.congress.gov/bill/108th-congress/senate-bill/3012,"108th Congress (2003-2004)","A bill to ensure a balanced survey of taxpayers in any system of precertification for the earned income tax credit.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 11/19/2004)",Democratic,11/19/2004,"Senate - Finance","Read twice and referred to the Committee on Finance.",11/19/2004,"Lieberman, Joseph I. [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Income tax","Metropolitan areas","Social Welfare",Taxation,"Urban affairs","Earned income tax credit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5406,,,,,,,,,,,,,,,,,,,,,,,CRS,,,"11/19/2004 Referred to the House Committee on Ways and Means.",,,,,,,," <p>Prohibits more than five percent of the total participants in any system of precertification for the earned income tax credit from being residents of the same metropolitan statistical area. </p>",,,,,,
"S. 3011",https://www.congress.gov/bill/108th-congress/senate-bill/3011,"108th Congress (2003-2004)","A bill to amend title XVIII of the Social Security Act to provide payments to Medicare ambulance suppliers of the full cost or furnishing such services, to provide payments to rural ambulance providers, and suppliers to account for the cost of serving areas with low population density, and for other purposes.","Dayton, Mark [Sen.-D-MN] (Introduced 11/19/2004)",Democratic,11/19/2004,"Senate - Finance","Read twice and referred to the Committee on Finance.",11/19/2004,"Lott, Trent [Sen.-R-MS]","Warner, John [Sen.-R-VA]","Sessions, Jeff [Sen.-R-AL]","Coleman, Norm [Sen.-R-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Travel costs",Congress,"Congressional reporting requirements","Governmental investigations",Health,"Housing and Community Development","Medical fees","Transportation and Public Works","Rural health",Medicare,Ambulances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5415,,,,,,,,,,,,,,,,,,,,,,,CRS,,,"12/01/2004 Referred to the Subcommittee on Health.",,,,,,,," <p>Medicare Ambulance Payment Reform and Rural Equity Act of 2004 - Amends title XVIII (Medicare) of the Social Security Act to: (1) revise ambulance payment rates; and (2) provide additional payments for providers furnishing ambulance services in rural areas. </p> <p>Directs the Secretary of Health and Human Services to review the system for adjusting payments for rural ambulance services to determine their adequacy and appropriateness.</p> <p>Amends SSA title XVIII with respect to a Secretary-specified uniform coding system identifying furnished ambulance services for purposes of a fee schedule. Directs the Secretary to establish a system or systems for the coding of claims for ambulance services for which payment is made, including a code set specifying the medical condition of the individual who is transported and the level of service that is appropriate for the transportation of an individual with that medical condition. Requires the code set to take into account the list of medical conditions developed in the course of the negotiated rulemaking process. (Current law authorizes the Secretary to require the claim for any ambulance services to include a code (or codes) under a uniform coding system specified by the Secretary, but does not require the establishment of such a coding system.)</p>",,,,,,
