"Downloaded on",03/05/2025,"13:18:52 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22congress%22%3A%5B%22109%22%5D%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 4119",https://www.congress.gov/bill/109th-congress/senate-bill/4119,"109th Congress (2005-2006)","A bill to clarify the tax treatment of certain payments made to homeowners by the Louisiana Recovery Authority and the Mississippi Development Authority.","Landrieu, Mary L. [Sen.-D-LA] (Introduced 12/08/2006)",Democratic,12/08/2006,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/08/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Losses,"Disaster relief",Mississippi,"Residential rehabilitation","Tax deductions","Tax exclusion",Taxation,"Income tax",Hurricanes,"Hurricane aftermath legislation","Housing finance","Housing and Community Development","Home repair and improvement","Flood damage","Emergency Management",Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Sets forth a special rule for the tax treatment of amounts received by a taxpayer from the Louisiana Recovery Authority or the Mississippi Development Authority for the repair or reconstruction of such taxpayer's primary residence due to hurricane damage in 2005.</p>",,,,,,
"S. 4118",https://www.congress.gov/bill/109th-congress/senate-bill/4118,"109th Congress (2005-2006)","A bill to amend the Emergency Planning and Community Right-to-Know Act of 1986 to strike a provision relating to modifications in reporting frequency.","Lautenberg, Frank R. [Sen.-D-NJ] (Introduced 12/08/2006)",Democratic,12/08/2006,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S11747)",12/08/2006,"Boxer, Barbara [Sen.-D-CA]","Menendez, Robert [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Law,"Government paperwork","Government Operations and Politics","Environmental Protection","Environmental Protection Agency",Commerce,Chemicals,"Administrative procedure","Industrial pollution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6219,,,,,,,,,,,,CRS,,,"10/02/2006 Referred to the Subcommittee on Environment and Hazardous Materials.",,,,,,,,,,," <p>Toxic Right-to-Know Protection Act - Amends the Emergency Planning and Community Right-to-Know Act of 1986 to repeal provisions authorizing the Administrator of the Environmental Protection Agency (EPA) to modify the frequency of submitting toxic chemical release forms.</p> <p>Requires the Administrator to establish the eligibility threshold regarding the use of a form A certification statement under the Toxic Release Inventory Program at not greater than 500 pounds for nonpersistent bioaccumulative and toxic chemicals. Prohibits the use of such form with respect to any chemical of special concern identified by the Administrator. Prohibits the Administrator from implementing the proposed rule dated October 4, 2005, to revise requirements under such Program. </p>",,,,,,
"S. 4117",https://www.congress.gov/bill/109th-congress/senate-bill/4117,"109th Congress (2005-2006)","A bill to repeal title II of the REAL ID Act of 2005, to reinstitute the section 7212 of the Intelligence Reform and Terrorism Prevention Act of 2004, which provides States additional regulatory flexibility and funding authorization to more rapidly produce tamper- and counterfeit-resistant driver's licenses and to protect privacy and civil liberties by providing interested stakeholders on a negotiated rulemaking with guidance to achieve improved 21st century licenses to improve national security.","Akaka, Daniel K. [Sen.-D-HI] (Introduced 12/08/2006)",Democratic,12/08/2006,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S11745-11746)",12/08/2006,"Sununu, John E. [Sen.-R-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Economics and Public Finance","Federal-state relations",Fraud,"Government Operations and Politics",Grants-in-aid,"Identification devices",Law,Photography,"Right of privacy","Security measures",Standards,"Transportation and Public Works","Department of Homeland Security","Crime and Law Enforcement",Counterfeiting,"Civil Rights and Liberties, Minority Issues","Administrative procedure","Driver licenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Identification Security Enhancement Act of 2006 - Repeals title II of the Real ID Act of 2005.</p> <p>Directs the Secretary of Homeland Security to: (1) establish by regulation minimum standards for acceptance of state-issued driver's licenses and personal identification cards by federal agencies; (2) establish a negotiated rulemaking process before publishing such standards; and (3) award grants to states to assist them in conforming to such standards. </p> <p>Prohibits federal agencies from accepting state-issued driver's licenses and personal identification cards after specified deadlines unless such identification conforms to the minimum standards promulgated under this Act.</p>",,,,,,
"S. 4116",https://www.congress.gov/bill/109th-congress/senate-bill/4116,"109th Congress (2005-2006)","A bill to amend the Federal Deposit Insurance Act, to clarify the scope of provisions relating to applicable rates of interest and other charge limitations.","Lincoln, Blanche L. [Sen.-D-AR] (Introduced 12/08/2006)",Democratic,12/08/2006,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/08/2006,"Pryor, Mark L. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Finance charges","Finance and Financial Sector","Consumer credit",Commerce,Checks,"Interest rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Federal Deposit Insurance Act with respect to applicable rates of interest and other charge limitations in connection with interstate bank mergers.</p> <p>Sets 17% per annum, or such lower limit as the state legislature may impose, on the maximum interest, discount points, finance charges or fees that may be charged in a state, until judgment, in any loan or credit sale or on any note or other evidence of debt issued to or acquired by any person (other than an insured depository institution) engaged in the business of lending, or of selling or financing the sale of personal property, upon establishment in the state of a branch of any out-of-state insured depository institution.</p> <p>Includes among such persons any person or entity engaged in the business of providing cash advances or loans to a consumer in exchange for the consumer's personal check or share draft, or personal authorization to debit the consumer's transaction acount, in the amount of the advance plus a fee. Includes also any such person or entity that provides such a cash advance or loan in exchange for holding title or means of access to personal property pending repayment of the obligation.</p>",,,,,,
"S. 4114",https://www.congress.gov/bill/109th-congress/senate-bill/4114,"109th Congress (2005-2006)","A bill to amend title XVIII of the Social Security Act to require the use of generic drugs under the Medicare part D prescription drug program when available unless the brand name drug is determined to be medically necessary.","Kohl, Herb [Sen.-D-WI] (Introduced 12/08/2006)",Democratic,12/08/2006,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/08/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Social Welfare","Prescription pricing",Medicare,Health,"Generic drugs",Drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Generics First Act of 2006 - Amends part D (Voluntary Prescription Drug Benefit Program) of title XVIII (Medicare) of the Social Security Act to exclude from coverage under the Medicare part D prescription drug program all nongeneric (brand name) drugs unless no generic drug has been approved, and the brand name drug is determined to be medically necessary.</p>",,,,,,
"S. 4112",https://www.congress.gov/bill/109th-congress/senate-bill/4112,"109th Congress (2005-2006)","A bill to treat payments by charitable organizations with respect to certain firefighters as exempt payments.","Feinstein, Dianne [Sen.-D-CA] (Introduced 12/08/2006)",Democratic,12/08/2006,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S11742)",12/08/2006,"Craig, Larry E. [Sen.-R-ID]","Boxer, Barbara [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Taxation,"Tax exemption","Tax penalties",California,Charities,"Excise tax",Families,"Fire fighters",Foundations,"Income tax","Labor and Employment","Social Welfare","Survivors' benefits","Tax exclusion","Tax-exempt organizations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6429,,,,,,,,,,,,CRS,,,"12/21/2006 Became Public Law No: 109-445.",,,,,,,,,,," <p>Fallen Firefighters Assistance Tax Clarification Act of 2006 - Treats payments made before June 1, 2007, by a charitable organization by reason of the death, injury, wounding, or illness of any firefighter in the October 2006 Esperanza Incident in southern California as related to such organization&#146;s exempt function (and thus tax-exempt) if such payments are made in good faith using a reasonable and objective formula which is consistently applied. Protects private foundation making such payments from the penalty tax on self-dealing.</p> <p>Excludes payments for firefighters made by charities or foundations under this Act (or by federal, state, or local governments) from the gross income of the recipient.</p>",,,,,,
"S. 4111",https://www.congress.gov/bill/109th-congress/senate-bill/4111,"109th Congress (2005-2006)","A bill to provide for certain water resources projects in the State of Louisiana.","Landrieu, Mary L. [Sen.-D-LA] (Introduced 12/08/2006)",Democratic,12/08/2006,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",12/08/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Habitat conservation",Harbors,"Hurricane aftermath legislation",Hurricanes,"Intracoastal waterways",Lakes,"Land subsidence",Louisiana,"Maintenance and repair","Marine and coastal resources, fisheries","Marine terminals","Mississippi River",Navigation,"Public Lands and Natural Resources",Reforestation,Relocation,"Restoration ecology","Revolving funds","River basin commissions",Rivers,"Science, Technology, Communications",Sedimentation,"Shore protection","Soil erosion",Tourism,"Transportation and Public Works","Water Resources Development",Watersheds,Waterways,Wetlands,Arkansas,"Barrier islands","Biological diversity",Canals,"Coastal engineering","Coastal zone",Congress,Animals,"Congressional oversight","Congressional reporting requirements","Construction costs","Disaster insurance","Disaster relief",Drainage,Dredging,"Economic development","Economics and Public Finance","Ecosystem management","Emergency Management","Environmental degradation","Environmental Protection","Environmental technology",Estuaries,"Farm lands","Federal advisory bodies","Federal aid to water resources development","Finance and Financial Sector","Fishery management","Flood control","Flood damage prevention",Floods,"Forest management",Geology,"Government Operations and Politics","Government trust funds","Gulf of Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Louisiana Water Resources Projects Act of 2006 - Authorizes the Secretary of the Army to carry out: (1) the Bayou Sorrel Lock and, conditional on a favorable report, the Port of Iberia, Louisiana, navigation projects; (2) the Morganza to the Gulf of Mexico, Louisiana, hurricane and storm damage reduction project; and (3) a program for ecosystem restoration, Louisiana Coastal Area, including modifications needed to five critical ecosystem restoration features due to the impact of Hurricanes Katrina and Rita.</p> <p>Establishes: (1) the Coastal Louisiana Ecosystem Protection and Restoration Task Force; and (2) a Louisiana Water Resources Council within the Mississippi River Commission.</p> <p> Directs the Secretary to: (1) develop a plan for protecting, preserving, and restoring the coastal Louisiana ecosystem; (2) establish a coastal Louisiana ecosystem science and technology program; (3) study, design, and construct a type A regional visitors center in the vicinity of Morgan City, Louisiana; and (4) conduct a study to determine the feasibility of carrying out a project for navigation improvement at Vidalia, Louisiana.</p> <p>Authorizes appropriations to: (1) support the relocation of Port of New Orleans deep draft facilities; and (2) the Assistant Secretary to provide relocation assistance to private businesses.</p> <p>Modifies a flood control project for the Ouachita River and tributaries and directs that the Ouachita River Levees remain a component of the Mississippi River and Tributaries Project.</p> <p>Modifies: (1) the public access feature of the Atchafalaya Basin Floodway System, Louisiana project; and (2) projects at Red River Waterway, the Calcasieu River and Pass, and East Baton Rouge Parish, Louisiana.</p>",,,,,,
"S. 4109",https://www.congress.gov/bill/109th-congress/senate-bill/4109,"109th Congress (2005-2006)","A bill to amend title 49, United States Code, to prohibit the operation of certain aircraft not complying with stage 3 noise levels.","Lautenberg, Frank R. [Sen.-D-NJ] (Introduced 12/07/2006)",Democratic,12/07/2006,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S11505)",12/07/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Infrastructure,"Environmental Protection",Airports,Noise,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Aircraft Noise Reduction Act of 2006 - Prohibits the operation of any civil subsonic turbojet of 75,000 pounds or less operating out of airports in the continental United States unless such aircraft complies with stage three noise levels as determined by the Secretary of Transportation. Allows an opt-out of such requirement for any aircraft operator at an airport who notifies the Secretary of intent to continue the operation of noncompliant aircraft. Requires notices of such opt-outs to be made accessible to the public.</p>",,,,,,
"S. 4108",https://www.congress.gov/bill/109th-congress/senate-bill/4108,"109th Congress (2005-2006)","A bill to amend the Colorado River Storage Project Act and Public Law 87-483, to authorize the construction and rehabilitation of water infrastructure in Northwestern New Mexico, to authorize the use of the reclamation fund to fund the Reclamation Water Settlements Fund, to authorize the conveyance of certain Reclamation land and infrastructure, to authorize the Commissioner of Reclamation to provide for the delivery of water, and for other purposes.","Bingaman, Jeff [Sen.-D-NM] (Introduced 12/07/2006)",Democratic,12/07/2006,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",12/07/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government trust funds","Water allocation (Policy)","Habitat conservation","Hydroelectric power",Hydrology,"Indian lands","Water conservation","Water Resources Development","Water storage","Water supply","Water treatment plants","Water use",Watersheds,Wells,"Agriculture and Food",Animals,Arizona,"Colorado River development","Construction costs",Contracts,Dams,"Economics and Public Finance",Energy,"Environmental assessment","Environmental Protection","Federal aid to water resources development","Government liability","Government Operations and Politics","Indian water rights",Infrastructure,"Interstate compacts",Irrigation,"Land transfers",Law,Leases,"Maintenance and repair",Minorities,"New Mexico",Pipelines,"Power marketing administrations","Public Lands and Natural Resources",Reservoirs,"Restoration ecology",Rivers,Subcontractors,"Transportation and Public Works",Groundwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6436,,,,,,,,,,,,CRS,,,"12/08/2006 Referred to the House Committee on Resources.",,,,,,,,,,," <p>Northwestern New Mexico Rural Water Projects Act - Amends the Colorado River Storage Project Act to authorize the Secretary of the Interior to construct, operate, and maintain the Northwestern New Mexico Rural Water Supply Project. </p> <p>Establishes in the Treasury a Reclamation Water Settlements Fund. Authorizes the Secretary to request a transfer from the Fund to implement a congressionally approved settlement agreement that requires the Bureau of Reclamation to plan, design, and construct: (1) water supply infrastructure; or (2) a project to rehabilitate a water delivery system to conserve water or a project to improve environmental conditions associated with or affected by an existing reclamation project.</p> <p>Authorizes the Secretary to design, construct, operate, and maintain the Project in substantial accordance with the draft environmental impact statement prepared by the Bureau for the Project. Authorizes the Secretary to construct, operate, and maintain specified Project facilities to provide for the delivery of San Juan River water to the city of Gallup, New Mexico, the Navajo Nation, and the Jicarilla Apache Nation.</p> <p>Approves the agreement among New Mexico, the Navajo Nation, and the United States setting forth a stipulated and binding agreement signed on April 19, 2005. Directs the Secretary to: (1) enter into that agreement to the extent that it does not conflict with this Act; and (2) prepare a hydrographic survey to identify and quantify any historic or existing diversion or use of water by the Navajo Nation from the San Juan River Basin. Establishes in the Treasury the Navajo Nation Water Resources Development Trust Fund. </p>",,,,,,
"S. 4107",https://www.congress.gov/bill/109th-congress/senate-bill/4107,"109th Congress (2005-2006)","A bill to amend the Internal Revenue Code of 1986 to replace the Hope and Lifetime Learning credits with a partially refundable college opportunity credit.","Kerry, John F. [Sen.-D-MA] (Introduced 12/07/2006)",Democratic,12/07/2006,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S11503-11504)",12/07/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"College costs","Cost of living adjustments","Economics and Public Finance",Education,"Graduate education",Taxation,"Income tax","Indexing (Economic policy)","Minimum tax","Tax credits","Tax refunds","Higher education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>College Opportunity Tax Credit Act of 2006 - Amends the Internal Revenue Code to replace the Hope Scholarship and Lifetime Learning Tax Credits with an increased, partially refundable college opportunity tax credit to cover up to four years (currently, limited to two years) of the tuition and related expenses of full or part-time postsecondary and graduate students.</p>",,,,,,
