"Downloaded on",03/04/2025,"18:40:15 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22110%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3741",https://www.congress.gov/bill/110th-congress/senate-bill/3741,"110th Congress (2007-2008)","A bill to amend the Clean Air Act to prohibit regulation of certain emissions from agricultural production.","Thune, John [Sen.-R-SD] (Introduced 12/11/2008)",Republican,12/11/2008,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",12/11/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Nitrogen oxides",Methane,"Environmental Protection","Carbon dioxide","Air pollution control","Agriculture and Food","Agricultural pollution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Clean Air Act to: (1) prohibit the Administrator of the Environmental Protection Agency (EPA) from regulating under such Act emissions of carbon dioxide, nitrogen oxide, or methane resulting from agricultural production; and (2) exclude such emissions from the definition of &quot;air pollutant.&quot;</p>",,,,,,
"S. 3740",https://www.congress.gov/bill/110th-congress/senate-bill/3740,"110th Congress (2007-2008)","A bill to ensure access to basic broadcast television after the Digital Television Transition, and for other purposes.","Sanders, Bernard [Sen.-I-VT] (Introduced 12/11/2008)",Independent,12/11/2008,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/11/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Law,"Consumer protection","Consumer education",Commerce,Antennas,"Television programs","Television broadcasting","Federal Communications Commission","Government Operations and Politics","Government publicity","Independent regulatory commissions","Economics and Public Finance","Science, Technology, Communications",Subsidies,Telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Digital TV Transition Fairness Act - Requires the Department of Commerce to implement and administer a program to obtain coupons that can be applied toward: (1) the cost to install a digital-to-analog converter box; (2) the purchase and installation of an indoor or outdoor antenna, or both if needed, to facilitate the reception and display of signals of channels broadcast in digital television service; and (3) the cost to install, or the cost of any other equipment needed to receive and display, basic broadcast television service.</p> <p>Sets forth consumer and product eligibility criteria.</p> <p>Provides for a website and telephone hotline to provide relevant information to assist consumers that have degraded or lost signals or channels as a result of the full power transition from analog to digital television that is to occur on February 17, 2009.</p> <p>Requires the Federal Communications Commission (FCC) to promulgate rules requiring that each multichannel video programming distributor providing broadcast television for a local market provide to eligible consumers in that local market access to basic broadcast television service.</p> <p>Directs the FCC to carry out an education and outreach campaign to inform and educate consumers on the availability, benefits, and advantages of the programs and requirements established under this Act.</p>",,,,,,
"S. 3734",https://www.congress.gov/bill/110th-congress/senate-bill/3734,"110th Congress (2007-2008)","A bill to ratify a water settlement agreement affecting the Pyramid Lake Paiute Tribe, and for other purposes.","Ensign, John [Sen.-R-NV] (Introduced 12/11/2008)",Republican,12/11/2008,"Senate - Indian Affairs","Read twice and referred to the Committee on Indian Affairs.",12/11/2008,"Reid, Harry [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Indian claims","Indian water rights","Water Resources Development","Native Americans",Nevada,Minorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Pyramid Lake Paiute Tribe Fish Springs Ranch Settlement Act - Ratifies the Fish Springs Ranch Water Rights Settlement Agreement dated May 20, 2007.</p> <p>Sets forth provisions governing the waiver and retention of claims by the Pyramid Lake Paiute Tribe of Indians and the Secretary of the Interior.</p>",,,,,,
"S. 3733",https://www.congress.gov/bill/110th-congress/senate-bill/3733,"110th Congress (2007-2008)","A bill to require the Federal Energy Regulatory Commission to hold at least 1 public hearing before issuance of a permit affecting public or private land use in a locality.","Specter, Arlen [Sen.-R-PA] (Introduced 12/11/2008)",Republican,12/11/2008,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",12/11/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Public Lands and Natural Resources","Public meetings","Electric power transmission",Energy,Licenses,"Gas companies","Government Operations and Politics","Land use",Law,"Energy facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Federal Power Act and the Natural Gas Act to direct the Federal Energy Regulatory Commission (FERC) to hold at least one public hearing in each affected county and locality before issuing any authorization for action that may affect public or private land use (other than federal land). </p>",,,,,,
"S. 3728",https://www.congress.gov/bill/110th-congress/senate-bill/3728,"110th Congress (2007-2008)","A bill to direct the Secretary of Transportation to waive non-Federal share requirements for certain transportation programs and activities through September 30, 2009.","Sanders, Bernard [Sen.-I-VT] (Introduced 12/10/2008)",Independent,12/10/2008,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",12/10/2008,"Leahy, Patrick J. [Sen.-D-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Federal-local relations","Federal-state relations","Government Operations and Politics","Highway finance","Transportation engineering","Economics and Public Finance","Federal aid to transportation","Intergovernmental fiscal relations","Transportation and Public Works",Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7340,,,,,,,,,,CRS,,,"12/11/2008 Referred to the Subcommittee on Highways and Transit.",,,,,,,,,," <p>Directs the Secretary of Transportation to waive, through FY2009, any requirement that would otherwise require a state or local government to contribute non-federal funds toward the cost of a covered transportation program or activity authorized by the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA-LU) or an amendment made by that Act.</p><p>Declares, however, that nothing in this Act shall be construed to prohibit a state or local government from contributing non-federal funds toward the cost of a covered transportation program or activity.</p>",,,,,,
"S. 3721",https://www.congress.gov/bill/110th-congress/senate-bill/3721,"110th Congress (2007-2008)","A bill to prohibit the use of funds to transfer individuals detained by the United States at Naval Station, Guantanamo Bay, Cuba, to the United States Disciplinary Barracks, Fort Leavenworth, Kansas.","Brownback, Sam [Sen.-R-KS] (Introduced 12/08/2008)",Republican,12/08/2008,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services. (text of measure as introduced: CR S10815)",12/08/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Economics and Public Finance",Kansas,"Latin America","Military bases",Prisoners,Prisons,Appropriations,"Armed Forces and National Security","Caribbean area",Cuba,"Detention of persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7272,,,,,,,,,,CRS,,,"11/19/2008 Referred to the House Committee on Armed Services.",,,,,,,,,," <p>Prohibits federal funds from being used to transfer any individual detained by the United States at Naval Station Guantanamo Bay, Cuba, to the United States Disciplinary Barracks, Fort Leavenworth, Kansas.</p>",,,,,,
"S. 3720",https://www.congress.gov/bill/110th-congress/senate-bill/3720,"110th Congress (2007-2008)","A bill to amend the Internal Revenue Code of 1986 to suspend the minimum required pension distribution rules for 2008 and 2009.","Specter, Arlen [Sen.-R-PA] (Introduced 12/08/2008)",Republican,12/08/2008,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/08/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Income tax","Individual retirement accounts",Taxation,"Tax exclusion","Tax-deferred compensation plans","Labor and Employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.7293,H.R.7315,S.3719,,,,,,,,CRS,,,"11/19/2008 Referred to the House Committee on Ways and Means.","12/09/2008 Referred to the House Committee on Ways and Means.","12/08/2008 Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S10813-10814)",,,,,,,," <p>Amends the Internal Revenue Code to suspend in 2008 and 2009 requirements for minimum distributions from tax-deferred retirement plans. Permits taxpayers who have already received a minimum distribution to recontribute such distribution to their retirement plans. </p>",,,,,,
"S. 3719",https://www.congress.gov/bill/110th-congress/senate-bill/3719,"110th Congress (2007-2008)","A bill to amend the Internal Revenue Code of 1986 to suspend the minimum required pension distribution rules for 2008, 2009, and 2010.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 12/08/2008)",Republican,12/08/2008,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S10813-10814)",12/08/2008,"Hatch, Orrin G. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Labor and Employment","Individual retirement accounts","Income tax",Taxation,"Tax-deferred compensation plans","Tax exclusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.7293,H.R.7315,S.3720,,,,,,,,CRS,,,"11/19/2008 Referred to the House Committee on Ways and Means.","12/09/2008 Referred to the House Committee on Ways and Means.","12/08/2008 Read twice and referred to the Committee on Finance.",,,,,,,," <p>Retirement Account Distribution Improvement Act of 2008 - Amends the Internal Revenue Code to suspend in 2008, 2009, and 2010 requirements for minimum distributions from tax-deferred retirement plans. Permits taxpayers who have already received a minimum distribution in 2008 to recontribute such distribution to their retirement plans by July 1, 2009.</p>",,,,,,
"S. 3718",https://www.congress.gov/bill/110th-congress/senate-bill/3718,"110th Congress (2007-2008)","A bill to amend the Internal Revenue Code of 1986 to suspend the taxation of unemployment compensation for 2 years.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 12/08/2008)",Republican,12/08/2008,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S10813)",12/08/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Tax exclusion","Unemployment insurance",Taxation,"Labor and Employment","Income tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6844,,,,,,,,,,CRS,,,"09/09/2008 Referred to the House Committee on Ways and Means.",,,,,,,,,," <p>Unemployment Benefit Tax Suspension Act of 2008 - Amends the Internal Revenue Code to suspend, for taxable years beginning after December 31, 2007, and before January 1, 2010, the taxation of unemployment compensation.</p>",,,,,,
"S. 3705",https://www.congress.gov/bill/110th-congress/senate-bill/3705,"110th Congress (2007-2008)","A bill to amend the Small Business Act and the Small Business Investment Act of 1958 to stop the small business credit crunch, and for other purposes.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 11/19/2008)",Republican,11/19/2008,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S10666-10670)",11/19/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Authorization,Taxation,"Depreciation and amortization","Depressed areas","Economic stabilization","Economics and Public Finance","Federally-guaranteed loans",Fees,"Finance and Financial Sector","Financial crises","Government lending","Government Operations and Politics","Government publicity","Housing and Community Development","Income tax",Losses,"Rural economic development","Small business",Standards,"Tax deductions",Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>10 Steps for a Main Street Economic Recovery Act of 2008 - Amends the Small Business Act concerning 7(a) loans (general small business loans) made by the Small Business Administration (SBA) to: (1) increase certain loan amounts; (2) direct the SBA Administrator to establish an optional business size standard for 7(a) loan applicants and for development company loan applicants under title V of the Small Business Investment Act of 1958; and (3) revise provisions concerning the pooling of SBA loans for sale on the secondary market.</p> <p>Establishes a community express program under which the Administrator may guarantee the payment of principal and interest on loans of up to $150,000 made to small businesses owned and controlled by women, Indian tribes, socially and economically disadvantaged individuals, veterans and reserve members, small businesses located in low- or moderate-income areas or in a special market initiative, and HUBZone (heavily underutilized business zone) small businesses.</p> <p>Directs the Administrator to: (1) carry out a rural lender and new lender outreach program and guarantee small business loans of up to $500,000 made by such lenders; and (2) establish an online underwriting program guide to develop the lending capacity of such lenders.</p> <p>Revises provisions concerning the 504 program (SBA financings to small businesses through certified development companies [CDCs]) to: (1) increase maximum loan amounts; (2) include as a program goal the expansion of businesses in low-income communities; (3) allow CDC financings to include a limited amount of other-debt refinancing; and (4) allow the Administrator to guarantee repayment of a limited amount of third party financing obtained by loan pool assemblers, and to issue trust certificates representing all or a part of such guaranteed amount.</p> <p>Direct the Administrator, during FY2009-FY2010, to collect no lending fees, and reduce other fees, in connection with certain 7(a) and 504 loan programs.</p> <p>Authorizes appropriations for FY2009-FY2010 for the Microloan program (SBA start-up, acquisition, and expansion loans to very small businesses).</p> <p>Increases maximum leverage amounts available to small business investment companies.</p> <p>Directs the Administrator to develop an emergency small business lending advertising strategy to inform small businesses of the availability of loans through lenders participating in SBA programs.</p> <p>Amends the Internal Revenue Code to revise or add small business tax provisions, including providing for: (1) an extension of a temporary increase in limitations on expensing certain depreciable business assets; (2) a five-year carryback of certain net operating losses; and (3) the temporary suspension of the 90% limit on certain net operating loss carrybacks and carryovers.</p> <p>Amends the Emergency Economic Stabilization Act of 2008 to include certain trust certificates issued by the Administrator under the 7(a) and 504 loan programs as &quot;troubled assets&quot; (thereby qualifying them under such Act's troubled assets relief program).</p>",,,,,,
