"Downloaded on",03/04/2025,"18:42:46 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22111%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 4057",https://www.congress.gov/bill/111th-congress/senate-bill/4057,"111th Congress (2009-2010)","A bill to provide for an earlier start for State health care coverage innovation waivers under the Patient Protection and Affordable Care Act, and for other purposes.","Sanders, Bernard [Sen.-I-VT] (Introduced 12/22/2010)",Independent,12/22/2010,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/22/2010,"Leahy, Patrick J. [Sen.-D-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,"State and local government operations","Health care coverage and access","Health care costs and insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>State Leadership in Health Care Act - Amends the Patient Protection and Affordable Care Act (PPACA) to allow states to apply for a waiver of specified requirements under PPACA with respect to health insurance coverage within that state due to implementation of a state plan that provides comparable coverage for plan years beginning in 2014 (currently, 2017).. Permits the Secretary of Health and Human Services (HHS) or the Secretary of the Treasury to deny waivers only if: (1) the state plan does not meet requirements for granting a waiver; (2) the Secretary of HHS or Treasury notifies the state in writing of the requirements that the state plan did not meet and provides the state with information used in making such a determination; and (3) the state is given an opportunity to appeal.</p> <p>Requires the Secretary of HHS or Treasury to reconsider the determination in the event of an appeal.</p>",,,,,,
"S. 4047",https://www.congress.gov/bill/111th-congress/senate-bill/4047,"111th Congress (2009-2010)","A bill to establish the Federal Acceleration of State Technologies Deployment Program and for related purposes.","Bennett, Robert F. [Sen.-R-UT] (Introduced 12/17/2010)",Republican,12/17/2010,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/17/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Manufacturing,"Intellectual property","Government information and archives","Economic development","Department of Commerce","Business investment and capital","Advanced technology and technological innovations","Administrative law and regulatory procedures","Research administration and funding","Research and development","Science, Technology, Communications","Technology transfer and commercialization","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Federal Acceleration of State Technologies Deployment Act of 2009 or the FAST Deployment Act of 2010 - Directs the Assistant Secretary of Commerce for Economic Development to establish a Federal Acceleration of State Technologies (FAST) Deployment Program to distribute matching federal funds to qualifying states. </p> <p>Requires each qualified state to use FAST grant funds exclusively for making assistance grants to small manufacturing enterprises for approved technology development projects.</p> <p>Establishes a national manufacturing technology database to disseminate to U.S. manufacturers information related to new U.S. manufacturing technologies.</p> <p>Requires an annual assessment of small manufacturing technology needs and information from such assessment to be incorporated into the database.</p>",,,,,,
"S. 4030",https://www.congress.gov/bill/111th-congress/senate-bill/4030,"111th Congress (2009-2010)","A bill to amend the Food, Conservation, and Energy Act of 2008 to establish a community-supported agriculture promotion program.","Sanders, Bernard [Sen.-I-VT] (Introduced 12/15/2010)",Independent,12/15/2010,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",12/15/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agricultural marketing and promotion","Agricultural practices and innovations","Agriculture and Food","Employee benefits and pensions","Worker safety and health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Food, Conservation, and Energy Act of 2008 to direct the Secretary of Agriculture (USDA) to carry out a program, to be known as the Community-Supported Agriculture Promotion Program, to promote community-supported agriculture (CSA).</p> <p>Defines the term &quot;CSA&quot; to mean a farm operated in a manner consistent with community-supported agriculture, as defined by the Secretary.<br> </p> <p>States that the purposes of the program are to: (1) increase domestic consumption of agricultural commodities by improving and expanding, or assisting in the improvement or expansion of, domestic CSA programs; (2) aid in the development of new CSA programs; and (3) increase participation in CSA in low-income areas or food deserts.</p> <p>Makes nonprofit corporations, agricultural cooperatives, producer networks, local governments, and public benefit corporations eligible to receive grants under the program.</p> <p>Directs the Secretary to establish criteria and guidelines for the submission, evaluation, and funding of proposed projects under the program.</p>",,,,,,
"S. 4020",https://www.congress.gov/bill/111th-congress/senate-bill/4020,"111th Congress (2009-2010)","A bill to protect 10th Amendment rights by providing special standing for State government officials to challenge proposed regulations, and for other purposes.","Wicker, Roger F. [Sen.-R-MS] (Introduced 12/09/2010)",Republican,12/09/2010,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/09/2010,"Barrasso, John [Sen.-R-WY]","Coburn, Tom [Sen.-R-OK]","Hatch, Orrin G. [Sen.-R-UT]","Cochran, Thad [Sen.-R-MS]","Grassley, Chuck [Sen.-R-IA]","Shelby, Richard C. [Sen.-R-AL]","Hutchison, Kay Bailey [Sen.-R-TX]","Inhofe, James M. [Sen.-R-OK]","Roberts, Pat [Sen.-R-KS]","Sessions, Jeff [Sen.-R-AL]","Bunning, Jim [Sen.-R-KY]","Crapo, Mike [Sen.-R-ID]","Voinovich, George V. [Sen.-R-OH]","Chambliss, Saxby [Sen.-R-GA]","Graham, Lindsey [Sen.-R-SC]","Vitter, David [Sen.-R-LA]","Burr, Richard [Sen.-R-NC]","DeMint, Jim [Sen.-R-SC]","Johanns, Mike [Sen.-R-NE]","Risch, James E. [Sen.-R-ID]","LeMieux, George S. [Sen.-R-FL]","McConnell, Mitch [Sen.-R-KY]","McCain, John [Sen.-R-AZ]","Bond, Christopher S. [Sen.-R-MO]","Gregg, Judd [Sen.-R-NH]","Brownback, Sam [Sen.-R-KS]","Cornyn, John [Sen.-R-TX]","Thune, John [Sen.-R-SD]","Isakson, Johnny [Sen.-R-GA]","Brown, Scott P. [Sen.-R-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,"Jurisdiction and venue",Law,"State and local government operations","Administrative law and regulatory procedures","Administrative remedies","Constitution and constitutional amendments","Federal district courts","Intergovernmental relations","Judicial review and appeals","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4946,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/26/2010 Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties.",,,,,,,,,,,,,,,,,,,,,,,," <p>Restoring the 10th Amendment Act - Authorizes a designated state official to file with the head of a federal agency proposing a rule, during the period when the proposed rule is required to be open for public comment, a legal brief challenging the constitutionality of the rule under the Tenth Amendment. </p> <p>Directs the agency head: (1) to notify the designated official of each state within 15 days after such a brief is filed; (2) to post prominently on the agency's primary Web page a link to the brief; and (3) within 15 days after posting such link, to certify in writing that such rulemaking does not violate the Tenth Amendment and post the certification prominently on the front page of the agency's website, unless the agency determines it will not put the proposed rule into effect.</p> <p>Authorizes a state official who decides to challenge a federal rule on the grounds that it violates the Tenth Amendment to elect to file a legal action in U.S. district court for the district in which the official's place of business is located. Directs the relevant U.S. Court of Appeals, at the request of a designated state official, to grant expedited review of a decision by a district court in such a case.</p>",,,,,,
"S. 4017",https://www.congress.gov/bill/111th-congress/senate-bill/4017,"111th Congress (2009-2010)","A bill to amend the CDBG service cap.","LeMieux, George S. [Sen.-R-FL] (Introduced 12/08/2010)",Republican,12/08/2010,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/08/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Housing and Community Development","Housing and community development funding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Housing and Community Development Act of 1974 with respect to the use of community development block grant (CDBG) funds to provide public services, including those concerned with employment, crime prevention, child care, health, drug abuse, education, energy conservation, welfare, or recreation needs.</p> <p>Increases from 15% to 25% for FY2011 and FY2012 the limit on the amount of CDBG assistance that may be used for such public services by a unit of general local government. Increase from 15% to 25%, also, for such fiscal years the statewide limit on the use of CDGB assistance by nonentitled communities.</p>",,,,,,
"S. 4015",https://www.congress.gov/bill/111th-congress/senate-bill/4015,"111th Congress (2009-2010)","A bill to provide for the establishment, on-going validation, and utilization of an official set of data on the historical temperature record, and for other purposes.","Vitter, David [Sen.-R-LA] (Introduced 12/08/2010)",Republican,12/08/2010,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/08/2010,"Barrasso, John [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government information and archives","Environmental assessment, monitoring, research","Climate change and greenhouse gases","Census and government statistics","Science, Technology, Communications","Atmospheric science and weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Public Access to Historical Records Act - Directs the Administrator of the National Aeronautics and Space Administration (NASA) to establish an official dataset on the historical temperature record. </p> <p>Requires NASA to utilize the raw data related to temperature that is collected by applicable stations and vessels and to quantify the statistical uncertainty of each temperature observation and any subsequent products based on that observation. </p> <p>Requires the gaps that exist in temperature station and temperature reading data to be clearly and fully identified. </p> <p>Creates a panel to assist the Administrator in the establishment of the dataset. </p> <p>Requires the Administrator of NASA, at least once every three years, to contract with an appropriate independent entity to perform a verification and validation of the dataset and requires the publication of any algorithms utilized, and any determinations made, in verifying and validating the dataset. </p> <p>Requires persons and entities engaged in global climate research funded by the federal government to utilize the dataset as a source of data on the historical temperature record. </p> <p>Directs the Secretary of Commerce to provide for the immediate release of: (1) all raw temperature station data from cooperative observers and automated stations collected by the National Climatic Data Center; and (2) an analysis of the differences between raw and final temperature datasets collected by the Center. </p>",,,,,,
"S. 4009",https://www.congress.gov/bill/111th-congress/senate-bill/4009,"111th Congress (2009-2010)","A bill to provide an alternate distribution of education jobs funds for Texas.","Hutchison, Kay Bailey [Sen.-R-TX] (Introduced 12/04/2010)",Republican,12/04/2010,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/04/2010,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Elementary and secondary education","Intergovernmental relations",Education,"Education programs funding","State and local finance",Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Fairness for Texas Schools Act of 2010 - Allows the Secretary of Education to allocate funds from the Education Jobs Fund to entities in Texas other than the state government if the Secretary cannot provide such funds to the state government because of its failure to provide certain assurances regarding the distribution of such funds and the level of state support for elementary and secondary education.</p>",,,,,,
"S. 4006",https://www.congress.gov/bill/111th-congress/senate-bill/4006,"111th Congress (2009-2010)","A bill to provide for the use of unobligated discretionary stimulus dollars to address AIDS Drug Assistance Program waiting lists and other cost containment measures impacting State ADAP programs.","Burr, Richard [Sen.-R-NC] (Introduced 12/03/2010)",Republican,12/03/2010,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 672.",12/04/2010,"Coburn, Tom [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Health,"Health care costs and insurance",HIV/AIDS,"Drug therapy",Appropriations,"Prescription drugs","Health programs administration and funding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3401,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/24/2010 Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",,,,,,,,,,,,,,,,,,,,,,,," <p>Addressing Cost Containment Measures To Ensure the Sustainability and Success of ADAP Act or the ACCESS ADAP Act - Requires specified funds to be transferred to the Secretary of Health and Human Services (HHS) from discretionary amounts appropriated under the American Recovery and Reinvestment Act that remain unobligated, to be obligated during the FY2010 grant period under the AIDS Drug Assistance Program to provide assistance in reducing waiting lists and to address other cost containment measures that state AIDS Drug Assistance Programs implement after January 1, 2009. Requires amounts transferred under this Act to be used by states in a manner consistent with their state programs.</p> <p> Requires the Secretary, in allocating such funds, to: (1) give special consideration to the total scope and the basis of a state's needs, including the total number of patients on a waiting list, eligibility requirements, and other cost containment measures; and (2) ensure that funds be used only to provide treatments to individuals who were eligible to participate in the state program on the date of enactment of this Act or who would have been eligible to participate in the state program&nbsp; but were not so eligible because of the implementation of cost-containment measures after January 1, 2009.</p>",,,,,,
"S. 4004",https://www.congress.gov/bill/111th-congress/senate-bill/4004,"111th Congress (2009-2010)","A bill to amend section 798 of title 18, United States Code, to provide penalties for disclosure of classified information related to certain intelligence activities and for other purposes.","Ensign, John [Sen.-R-NV] (Introduced 12/02/2010)",Republican,12/02/2010,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/02/2010,"Lieberman, Joseph I. [Sen.-ID-CT]","Brown, Scott P. [Sen.-R-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Crime and Law Enforcement","Criminal investigation, prosecution, interrogation","Drug trafficking and controlled substances","Intelligence activities, surveillance, classified information","Organized crime",Terrorism,"Arms control and nonproliferation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6506,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/20/2010 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",,,,,,,,,,,,,,,,,,,,,,,," <p>Securing Human Intelligence and Enforcing Lawful Dissemination Act or the SHIELD Act - Amends the federal criminal code to expand the prohibition against disclosure of classified information to include: (1) disclosures of classified information that benefit a transnational threat; and (2) any classified information concerning the human intelligence activities of the United States or any foreign government or concerning the identity of a classified source or informant of an element of the U.S. intelligence community. </p> <p>Defines &quot;transnational threat&quot; as: (1) any activity, including international terrorism, narcotics trafficking, the proliferation of weapons of mass destruction and the delivery systems for such weapons, or organized crime, that threatens the national security of the United States; or (2) any individual or group that engages such activity.</p>",,,,,,
"S. 4003",https://www.congress.gov/bill/111th-congress/senate-bill/4003,"111th Congress (2009-2010)","A bill to authorize the International Trade Commission to develop and recommend legislation for temporarily suspending duties and for other purposes.","DeMint, Jim [Sen.-R-SC] (Introduced 12/02/2010)",Republican,12/02/2010,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/02/2010,"McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tariffs,"Public participation and lobbying","Foreign Trade and International Finance","U.S. International Trade Commission","Inflation and prices","Administrative law and regulatory procedures","Congressional oversight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Duty Suspension Facilitation Act of 2010 - Directs the International Trade Commission (ITC) to propose to Congress temporary duty suspensions or duty reductions under the Harmonized Tariff Schedule of the United States (HTS).</p>  <p>Prohibits the ITC from recommending any suspension or reduction in duty if: (1) an interested federal agency determines it is not in the U.S. interest and that determination is included in the agency public hearing record; (2) a domestic producer objects to the suspension or reduction, demonstrating that there is domestic production of the article concerned in commercially available quantities; (3) the loss in revenue to the United States from the duty suspension or reduction exceeds $500,000 annually (adjusted for inflation); or (4) the duty suspension or reduction is for more than three years.</p> ",,,,,,
