"Downloaded on",03/05/2025,"13:57:07 EST"
"Search URL",https://www.congress.gov/advanced-search?raw=%5B%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22congress%22%2C%22operator%22%3A%22multi%22%2C%22value%22%3A%5B%22118%22%2C%22117%22%2C%22116%22%2C%22112%22%2C%22111%22%5D%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22chamber%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Senate%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22containsAll%22%2C%22value%22%3A%22Finance%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22sponsor-party%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Democratic%22%7D%7D%5D%7D%5D&q=%7B%22type%22%3A%22bills%22%2C%22congress%22%3A%22112%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3714",https://www.congress.gov/bill/112th-congress/senate-bill/3714,"112th Congress (2011-2012)","A bill to alleviate the fiscal cliff, and for other purposes.","Manchin, Joe, III [Sen.-D-WV] (Introduced 12/30/2012)",Democratic,12/30/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Budget deficits and national debt","Budget process","Capital gains tax","Congressional oversight","Income tax rates","Interest, dividends, interest rates","Legislative rules and procedure",Medicare,"Tax reform and tax simplification",Taxation,"Transfer and inheritance taxes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Cliff Alleviation at Last Minute Act or the CALM Act - Amends the Internal Revenue Code to: (1) provide for a phased increase in income and capital gain tax rates beginning in 2013 through 2015, and (2) establish a permanent maximum estate tax rate of 45% and a unified estate and gift tax credit of $3.5 million.</p> <p>Amends the Balanced Budget and Emergency Deficit Control Act of 1985 to authorize the Office of Management and Budget (OMB) to determine which defense and nondefense accounts will be reduced in FY2013-FY2021 to meet deficit reduction requirements and to report to Congress on its recommendations. Sets forth a congressional disapproval procedure for overriding OMB's recommendations.</p> <p>Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services to implement reforms under Medicare that result in reduced expenditures equal to $40 billion in each of FY2014-FY2023.</p> <p>Expresses the sense of the Senate that Congress should address comprehensive tax reform in the 113th Congress.</p>",,,,,,
"S. 3705",https://www.congress.gov/bill/112th-congress/senate-bill/3705,"112th Congress (2011-2012)","A bill to establish a commission to develop a national strategy and recommendations for reducing fatalities resulting from child abuse and neglect.","Baucus, Max [Sen.-D-MT] (Introduced 12/21/2012)",Democratic,12/21/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/21/2012,"Kerry, John F. [Sen.-D-MA]","Conrad, Kent [Sen.-D-ND]","Snowe, Olympia J. [Sen.-R-ME]","Collins, Susan M. [Sen.-R-ME]","Cardin, Benjamin L. [Sen.-D-MD]","Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Advisory bodies",Appropriations,"Child care and development","Child health","Child safety and welfare","Domestic violence and child abuse",Families,"Family relationships","Government studies and investigations","Health information and medical records","Poverty and welfare assistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6655,,,,,,,,,,,,CRS,,"01/14/2013 Became Public Law No: 112-275.",,,,,,,,,,,," <p>Protect Our Kids Act of 2012 - Establishes the Commission to Eliminate Child Abuse and Neglect Fatalities to: (1) study the use of child protective services and child welfare services under titles IV and XX (Block Grants to States for Social Services) of the Social Security Act (SSA) to reduce fatalities from child abuse and neglect; (2) develop recommendations to reduce such fatalities for federal, state, and local agencies, and private sector and nonprofit organizations, including recommendations to implement a comprehensive national strategy for such purpose; and (3) develop guidelines for the type of information that should be tracked to improve interventions to prevent such fatalities. </p> <p>Requires any federal agency affected by a recommendation to report to Congress its response and plans to address it.</p> <p>Amends SSA title IV part A (Temporary Assistance for Needy Families) (TANF) to make an adjustment to the Contingency Fund for State Welfare Programs with respect to deposits for FY2013-FY2014, reserving a specified amount for Commission activities.</p>",,,,,,
"S. 3700",https://www.congress.gov/bill/112th-congress/senate-bill/3700,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to protect employees in the building and construction industry who are participants in multiemployer plans, and for other purposes.","McCaskill, Claire [Sen.-D-MO] (Introduced 12/20/2012)",Democratic,12/20/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Building construction","Employee benefits and pensions","Income tax deferral",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Vested Employee Pension Benefit Protection Act - Amends the Internal Revenue Code to allow employees in the building and construction industry to make distributions from their tax-exempt employer pension plans at age 55 if they are not separated from service at the time of such distributions and were participants in such plan on or before January 1, 2013. </p>",,,,,,
"S. 3699",https://www.congress.gov/bill/112th-congress/senate-bill/3699,"112th Congress (2011-2012)","A bill to amend title XVIII of the Social Security Act to include information on the coverage of intensive behavioral therapy for obesity in the Medicare and You Handbook, to provide written notification to beneficiaries and providers regarding new Medicare coverage of intensive behavioral therapy for obesity, and to provide for the coordination of programs to prevent and treat obesity, and for other purposes.","Carper, Thomas R. [Sen.-D-DE] (Introduced 12/20/2012)",Democratic,12/20/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government information and archives",Health,"Health information and medical records","Health personnel","Health promotion and preventive care",Medicare,"Nutrition and diet","Physical fitness and lifestyle","Prescription drugs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Treat and Reduce Obesity Act of 2012 -	Amends title XVIII (Medicare) of the Social Security Act (SSA) to include information on the coverage of intensive behavioral therapy for obesity in the &quot;Medicare and You Handbook.&quot;</p> <p>Directs the Secretary of Health and Human Services (HHS) to give Medicare beneficiaries, primary care physicians, and other appropriate service providers and suppliers distinct, written notification regarding the coverage of intensive behavioral therapy for obesity under Medicare as an additional preventive service.</p>  <p>Directs the Secretary to develop and implement a plan to coordinate the efforts of all HHS offices and agencies to treat, reduce, and prevent obesity and overweight in the adult population.</p> <p>Authorizes the Secretary, in addition to qualified primary care physicians and other primary care practitioners, to allow other appropriate health care providers, instructors trained in lifestyle counseling programs such as the Diabetes Prevention Program, and programs recognized by the Centers for Disease Control and Prevention (CDC) to provide intensive behavioral therapy for obesity.</p> <p>Authorizes the Secretary to cover chronic weight management drugs under SSA title XVIII part D (Voluntary Prescription Drug Benefit Program) if the Secretary determines that such coverage is appropriate.</p>",,,,,,
"S. 3684",https://www.congress.gov/bill/112th-congress/senate-bill/3684,"112th Congress (2011-2012)","A bill to amend title XVIII of the Social Security Act to provide for advanced illness care coordination services for Medicare beneficiaries, and for other purposes.","Warner, Mark R. [Sen.-D-VA] (Introduced 12/17/2012)",Democratic,12/17/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Congressional oversight","Government information and archives","Government studies and investigations",Health,"Health care quality","Health facilities and institutions","Health information and medical records","Health personnel","Health programs administration and funding","Health promotion and preventive care","Hospital care","Long-term, rehabilitative, and terminal care",Medicaid,Medicare,Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3364,,,,,,,,,,,,CRS,,"11/04/2011 Referred to the Subcommittee on Health.",,,,,,,,,,,," <p>Senior Navigation and Planning Act of 2012 - Amends titles XVIII (Medicare) and XIX (Medicaid) of the Social Security Act (SSA) to provide for Medicare and Medicaid coverage of advanced illness care coordination services.</p> <p>Amends the Public Health Services Act to direct the Secretary of Health and Human Services (HHS), directly or through grants, to conduct a national public education campaign to: (1) raise public awareness of the importance of planning for care through the life cycle and as illness progress; (2) explain the need for readily available legal documents and medical orders that express an individual's wishes through advance directives and other planning tools; and (3) educate the public about the availability of advanced illness care, palliative care, and hospice care. </p> <p>Directs the Secretary to provide for multiple, innovative communications resources, including a toll-free information line, that the public and health care professionals may access to find out state-specific information regarding advance directives and end-of-life decisions.</p> <p>Includes advanced care planning materials in the &quot;Medicare and You Handbook.&quot;</p> <p>Directs the Secretary to establish the Senior Navigation Advisory Board.</p> <p>Requires that a service provider, Medicare+Choice organization, or prepaid or eligible organization maintain written policies and procedures with respect to all adult individuals receiving medical care by or through them to provide each individual with the opportunity to discuss issues relating to the information provided to that individual on the individual's rights with an appropriately trained professional. </p> <p>Requires a service provider, Medicare Advantage organization, or prepaid or eligible organization to give effect to an advance directive or order validy executed outside the state in which such directive is presented (portability).</p> <p>Imposes similar requirements for facilities.</p> <p>Directs the Secretary to study the extent to which the assessment of individuals by hospitals, skilled nursing facililties, hospice programs, home health agencies, and applicable providers of advanced illlness care coordination services accurately reflects the actual diagnosis and care plan, including care coordination, of the individual at the time of discharge. </p> <p>Provides incentive payments to hospitals for accreditation and certification in hospice and palliative care.</p> <p>Directs the Secretary to conduct a pilot program under Medicare to test the use of the Centers for Medicare and Medicaid Services discharge checklist.</p> <p>Directs the Secretary to establish and maintain a website that provides information, online training, and instructional materials for entities on advance care planning. </p> <p>Authorizes the Secretary to award grants to entities to develop and provide services for terminally ill individuals who are receiving hospice care in their own homes.</p> <p>Directs the Secretary to study state and regional activities with respect to storing advance directives and Physician Orders for Life-Sustaining Treatment, and the Comptroller General (GAO) to study the provisions of this Act and their asociated quality and costs (such as individual and family experience, individual understanding of treatment choices, and any decrease in avoidable hospital admissions).</p>",,,,,,
"S. 3680",https://www.congress.gov/bill/112th-congress/senate-bill/3680,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to modify and extend the making work pay credit.","Harkin, Tom [Sen.-D-IA] (Introduced 12/13/2012)",Democratic,12/13/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/13/2012,"Sanders, Bernard [Sen.-I-VT]","Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Income tax credits",Taxation,"Wages and earnings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>2013 Making Working Pay Credit Act - Amends the Internal Revenue Code to: (1) revive in calendar year 2013 the making work pay tax credit, (2) establish the amount of such credit as the lesser of 6.0% of earned income or $800 in a taxable year ($1,600 for married couples filing jointly), and (3) require a reduction of such credit for taxpayers whose modified adjusted gross income exceeds $60,000 ($90,000 for married couples filing jointly).</p>",,,,,,
"S. 3667",https://www.congress.gov/bill/112th-congress/senate-bill/3667,"112th Congress (2011-2012)","A bill to rename section 219(c) of the Internal Revenue Code of 1986 as the Kay Bailey Hutchison Spousal IRA.","Mikulski, Barbara A. [Sen.-D-MD] (Introduced 12/10/2012)",Democratic,12/10/2012,"House - Ways and Means | Senate - Finance","Referred to the House Committee on Ways and Means.",12/30/2012,"Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Congressional tributes","Employee benefits and pensions","Income tax deferral","Marriage and family status","Members of Congress",Senate,"Tax treatment of families",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6647,,,,,,,,,,,,CRS,,"12/11/2012 Referred to the House Committee on Ways and Means.",,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Amends the Internal Revenue Code to rename the section heading of Internal Revenue Code provisions relating to the individual retirement accounts (IRAs) of married individuals as the Kay Bailey Hutchison Spousal IRA. </p>",,,,,,
"S. 3660",https://www.congress.gov/bill/112th-congress/senate-bill/3660,"112th Congress (2011-2012)","A bill to extend the payroll tax holiday and to amend the Internal Revenue Code of 1986 to provide a temporary payroll increase tax credit for certain employees.","Casey, Robert P., Jr. [Sen.-D-PA] (Introduced 12/05/2012)",Democratic,12/05/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/05/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Congressional oversight","Employment taxes","Fraud offenses and financial crimes","Income tax credits","Small business","Social security and elderly assistance","Tax administration and collection, taxpayers",Taxation,"Wages and earnings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.1330,,,,,,,,,,,,CRS,,"07/06/2011 Read twice and referred to the Committee on Finance.",,,,,,,,,,,," <p>Middle Class &amp; Small Business Tax Cut Act of 2012 - Amends the Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010 to extend through 2013 the reductions in employment and self-employment tax rates.</p> <p>Amends the Internal Revenue Code to allow nongovernmental employers a credit against employment tax liability equal to 10% of the increase in any quarterly payroll over a payroll in a corresponding quarter in the previous calendar year. Limits the allowable amount of such credit to $500,000 for all quarters. </p> <p>Directs the Commissioner of Internal Revenue to: (1) notify all employers required to withhold employment taxes of the enactment and applicability of the payroll increase tax credit, and (2) report to Congress on enforcement measures taken to prevent and penalize fraud related to such tax credit.</p>",,,,,,
"S. 3659",https://www.congress.gov/bill/112th-congress/senate-bill/3659,"112th Congress (2011-2012)","A bill to repeal certain changes to contracts with Medicare Quality Improvement Organizations, and for other purposes.","Conrad, Kent [Sen.-D-ND] (Introduced 12/05/2012)",Democratic,12/05/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/05/2012,"Wyden, Ron [Sen.-D-OR]","Reed, Jack [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Health,"Health care coverage and access","Health care quality","Health programs administration and funding",Medicare,"Public contracts and procurement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5942,,,,,,,,,,,,CRS,,"06/26/2012 Referred to the Subcommittee on Health.",,,,,,,,,,,," <p>Quality Improvement Organization Program Restoration Act - Amends the Trade Adjustment Assistance Extension Act of 2011 to repeal its revisions to requirements for contracts with Medicare Quality Improvement Organizations (QIOs).</p> <p>Amends title XI of the Social Security Act to specify expenditures or funding for: (1) 3-year QIO contracts for contract periods beginning on or after August 1, 2014, and ending on or before July 31, 2021, but with a certain reduction in aggregate funds payable after October 1, 2014; and (2) contracts with utilization and quality control peer review organizations for any contract period beginning on or after August 1, 2014.</p>",,,,,,
"S. 3655",https://www.congress.gov/bill/112th-congress/senate-bill/3655,"112th Congress (2011-2012)","A bill to provide enhanced disaster unemployment assistance to States affected by Hurricane Sandy and Tropical Storm Sandy of 2012, and for other purposes.","Lautenberg, Frank R. [Sen.-D-NJ] (Introduced 12/04/2012)",Democratic,12/04/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/04/2012,"Lieberman, Joseph I. [Sen.-ID-CT]","Blumenthal, Richard [Sen.-D-CT]","Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Appropriations,"Disaster relief and insurance","Floods and storm protection","Labor and Employment","Natural disasters",Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Superstorm Sandy Unemployment Relief Act of 2012 - Directs the President, in the case of an individual eligible to receive unemployment assistance under the Robert T. Stafford Disaster Relief and Emergency Assistance Act as a result of the disaster declaration made for Hurricane Sandy after October 20, 2012, to make such assistance available for 39 weeks after the date of the declaration (currently limited to 26 weeks).</p> <p>Requires the payments to a state to equal 100% of the amount of unemployment compensation paid under state law to affected individuals in each affected state or any area within it.</p> <p> Makes payments available until July 23, 2013.</p> <p>Makes appropriations necessary to carry out this Act.</p>",,,,,,
