"Downloaded on",03/04/2025,"18:44:01 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22112%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3713",https://www.congress.gov/bill/112th-congress/senate-bill/3713,"112th Congress (2011-2012)","A bill to make technical corrections to the Dodd-Frank Wall Street Reform and Consumer Protection Act.","Shelby, Richard C. [Sen.-R-AL] (Introduced 12/28/2012)",Republican,12/28/2012,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/28/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative law and regulatory procedures","Banking and financial institutions regulation","Consumer credit","Finance and Financial Sector","Financial services and investments","Government studies and investigations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p> Dodd-Frank Wall Street Reform and Consumer Protection Technical Corrections Act of 2012 - Makes technical corrections to the Dodd-Frank Wall Street Reform and Consumer Protection Act, including certain Acts within it as well as other specified Acts, regarding definitions affecting regulation of advisers to hedge funds.</p>  <p>Extends for one year the deadline for issuance of any rule or regulation, conduct of any study, or submission of any report required by the Dodd-Frank Wall Street Reform and Consumer Protection Act, except any rules already finalized.</p>",,,,,,
"S. 3709",https://www.congress.gov/bill/112th-congress/senate-bill/3709,"112th Congress (2011-2012)","A bill to require a Government Accountability Office examination of transactions between large financial institutions and the Federal Government, and for other purposes.","Vitter, David [Sen.-R-LA] (Introduced 12/21/2012)",Republican,12/21/2012,"House - Financial Services","Referred to the House Committee on Financial Services.",12/27/2012,"Brown, Sherrod [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Bank accounts, deposits, capital","Banking and financial institutions regulation","Congressional oversight","Finance and Financial Sector","Financial crises and stabilization","Government lending and loan guarantees","Housing finance and home ownership","Insurance industry and regulation",Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>(Sec. 1) Directs the Comptroller General to study any bank holding company having more than $500 billion in consolidated assets (covered institution) with respect to:</p> <ul> <li>favorable pricing of its debt relative to its risk profile resulting from the perception it will receive federal support in the event of any financial stress;</li> <li>any favorable funding or economic treatment resulting from an increase in its credit rating as a result of express, implied, or perceived federal support;</li> <li>any economic benefit resulting from the ownership of, or affiliation with, an insured depository institution;</li> <li>any economic benefit resulting from its status as a bank holding company, including access to federal deposit insurance and the discount window of the Board of Governors of the Federal Reserve System (Federal Reserve Board) before enactment of this Act;</li> <li>any economic benefit received through extraordinary federal actions taken, such as specified actions by the Department of the Treasury, the Federal Reserve Board, and the Federal Deposit Insurance Corporation (FDIC);</li> <li>any extraordinary assistance provided to American Insurance Group (AIG), but ultimately received by one of the covered institutions; and</li> <li>any government actions that resulted in the payment or nonpayment of credit default swap contracts entered into by a covered institution.</li> </ul> <p>Defines &quot;economic benefit&quot; as the difference between actual loan terms offered, debt or equity prices, or asset values and a reasonable estimate of what such terms, prices, or values might have been as determined by examining actual values of comparable transactions in the private markets or by estimating the values of comparable transactions priced to properly reflect associated risk.</p> <p>(Sec. 2) Requires the resulting report to Congress to redact any proprietary, sensitive, or confidential information in any release subsequently made electronically available to the public. </p>",,,,,,
"S. 3708",https://www.congress.gov/bill/112th-congress/senate-bill/3708,"112th Congress (2011-2012)","A bill to encourage reporting of child abuse.","Kyl, Jon [Sen.-R-AZ] (Introduced 12/21/2012)",Republican,12/21/2012,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S8365)",12/21/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Child safety and welfare","Crime and Law Enforcement","Crime prevention","Crime victims","Criminal justice information and records","Domestic violence and child abuse","Government trust funds","Judicial procedure and administration","Legal fees and court costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Stop Abuse For Every Child Act of 2012 or the SAFE Child Act - Amends the federal criminal code to require the court to impose an additional special assessment equal to three times the amount assessed under current law on persons convicted of specified offenses (other than individuals convicted of an offense against the United States). </p> <p>Establishes a Surcharge Fund, to be administered by the Secretary of Health and Human Services (HHS), into which such assessments shall be deposited and from which the Secretary shall make a competitive grant every three years to a private nonprofit organization to operate a national child abuse hotline, encourage reporting of child abuse, and conduct public education on child abuse. Requires unobligated funds to be transferred to the Crime Victims Fund.</p>",,,,,,
"S. 3704",https://www.congress.gov/bill/112th-congress/senate-bill/3704,"112th Congress (2011-2012)","A bill to clarify the authorized uses of funds in the Crime Victims Fund.","Kyl, Jon [Sen.-R-AZ] (Introduced 12/20/2012)",Republican,12/20/2012,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S8304)",12/20/2012,"Feinstein, Dianne [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Crime and Law Enforcement","Crime victims","Government trust funds","Judicial procedure and administration","Law enforcement administration and funding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/21/2012 Placed on Senate Legislative Calendar under General Orders. Calendar No. 435.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Victims of Crime Act of 1984 to permit sums in the Crime Victims Fund that are not used for child abuse prevention and treatment grants to be used only to improve services for the benefit of crime victims in the federal criminal justice system and for a Victim Notification System.</p>",,,,,,
"S. 3701",https://www.congress.gov/bill/112th-congress/senate-bill/3701,"112th Congress (2011-2012)","A bill to designate the Wovoka Wilderness and provide for certain land conveyances in Lyon County, Nevada, and for other purposes.","Heller, Dean [Sen.-R-NV] (Introduced 12/20/2012)",Republican,12/20/2012,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",12/20/2012,"Reid, Harry [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Land transfers",Nevada,"Public Lands and Natural Resources","Water use and supply","Wilderness and natural areas, wildlife refuges, wild rivers, habitats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Lyon County Economic Development and Conservation Act - Directs the Secretary of the Interior to convey to the city of Yerington, Nevada, identified federal land in Lyon and Mineral Counties.</p> <p>Designates identified federal land in Nevada managed by the Forest Service, to be known as the Wovoka Wilderness, as wilderness and as a component of the National Wilderness Preservation System. </p> <p>Sets forth provisions for the management of the Wovoka Wilderness, including regarding livestock grazing, overflights, wildfire, insects, and diseases, water rights, and fish and wildlife. </p>",,,,,,
"S. 3698",https://www.congress.gov/bill/112th-congress/senate-bill/3698,"112th Congress (2011-2012)","FOR VETS Act of 2012","Collins, Susan M. [Sen.-R-ME] (Introduced 12/19/2012)",Republican,12/19/2012,"House - Oversight and Government Reform","Referred to the House Committee on Oversight and Government Reform.",12/20/2012,"Leahy, Patrick J. [Sen.-D-VT]","Akaka, Daniel K. [Sen.-D-HI]","Brown, Scott P. [Sen.-R-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Government buildings, facilities, and property","Government Operations and Politics","State and local government operations","Veterans' organizations and recognition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/12/2012 Referred to the House Committee on Oversight and Government Reform.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Formerly Owned Resources for Veterans to Express Thanks for Service Act of 2012 or FOR VETS Act of 2012 - Authorizes the transfer of federal surplus property to a state agency for distribution through donation within the state for purposes of education or public health for organizations whose membership comprises substantially veterans and whose representatives are recognized by the Secretary of Veterans Affairs (VA) in the preparation, presentation, and prosecution of claims under laws administered by the Secretary.</p>",,,,,,
"S. 3690",https://www.congress.gov/bill/112th-congress/senate-bill/3690,"112th Congress (2011-2012)","A bill to require the Government Accountability Office to include in its annual report to Congress a list of the most common grounds for sustaining protests relating to bids for contracts.","Toomey, Patrick [Sen.-R-PA] (Introduced 12/19/2012)",Republican,12/19/2012,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative remedies","Congressional oversight","Government Operations and Politics","Public contracts and procurement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Government Contracting Improvement Act of 2012 - Directs the Comptroller General to include in the annual report to Congress on the Government Accountability Office (GAO) a list of the most common grounds for sustaining protests relating to bids for contracts during the year. </p>",,,,,,
"S. 3679",https://www.congress.gov/bill/112th-congress/senate-bill/3679,"112th Congress (2011-2012)","A bill to provide for Indian trust asset management reform, and for other purposes.","Crapo, Mike [Sen.-R-ID] (Introduced 12/13/2012)",Republican,12/13/2012,"Senate - Indian Affairs","Read twice and referred to the Committee on Indian Affairs.",12/13/2012,"Risch, James E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Administrative law and regulatory procedures","Administrative remedies","Alternative dispute resolution, mediation, arbitration","Department of the Interior","Executive agency funding and structure","Federal officials","Federal-Indian relations","Government employee pay, benefits, personnel management","Government information and archives","Indian lands and resources rights","Judicial review and appeals","Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/10/2012 Referred to the Subcommittee Indian and Alaska Native Affairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Indian Trust Asset Reform Act - Reaffirms the federal government's fiduciary responsibilities to Indians. </p> <p>States that: (1) the most exacting common law fiduciary standards governing private trustees also govern the federal government when it manages Indian Trust Assets, and (2) those standards are not limited to the express terms of statutes and regulations.</p> <p>Indian Trust Asset Management Demonstration Project Act of 2012 - Directs the Secretary of the Interior to establish an eight-year Indian trust asset management demonstration project that allows Indian tribes to propose, for the Secretary's approval, Indian trust asset management plans.</p> <p>Allows participating Indian tribes that contract or compact trust management functions or activities under the Indian Self-Determination and Education Assistance Act to develop and carry out trust asset management systems, practices, and procedures that differ from the Secretary's. </p> <p>Requires each plan to: (1) be consistent with all tribal laws and all federal treaties, statutes, executive orders, and court decisions applicable to the trust assets and their management; (2) establish procedures for nonbinding mediation or resolution of any plan-related disputes between the Indian tribe and the federal government; (3) include an annual evaluation by the Indian tribe and affected federal agencies of the plan's implementation; and (4) identify any federal regulations that the plan will supersede.</p> <p>Prohibits the approval of any plan that does not: (1) protect trust assets from loss, waste, and unlawful alienation; and (2) promote the interests of the trust asset's beneficial owner.</p> <p>Establishes, in the Department of the Interior, an Under Secretary for Indian Affairs who is to report directly to the Secretary and assume the functions of the Assistant Secretary for Indian Affairs and the Office of Special Trustee for American Indians.</p> <p>Requires the Office of the Under Secretary to carry out additional duties relating to the management of Indian trust assets and resources through an Office of Trust Reform Implementation and Oversight.</p> <p>Requires the Under Secretary to give a hiring preference to Indians.</p>",,,,,,
"S. 3678",https://www.congress.gov/bill/112th-congress/senate-bill/3678,"112th Congress (2011-2012)","A bill to help ensure the fiscal solvency of the FHA mortgage insurance programs of the Secretary of Housing and Urban Development, and for other purposes.","Toomey, Patrick [Sen.-R-PA] (Introduced 12/13/2012)",Republican,12/13/2012,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/13/2012,"Warner, Mark R. [Sen.-D-VA]","Hagan, Kay R. [Sen.-D-NC]","Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Accounting and auditing","Congressional oversight","Department of Housing and Urban Development","Executive agency funding and structure","Federal officials","Fraud offenses and financial crimes","Government National Mortgage Association (Ginnie Mae)","Government corporations and government-sponsored enterprises","Government liability","Government studies and investigations","Housing and Community Development","Housing finance and home ownership",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/12/2012 Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>FHA Emergency Fiscal Solvency Act of 2012 - Amends the National Housing Act (NHA) to direct the Secretary of Housing and Urban Development (HUD) (who currently is authorized) to establish and collect additional annual premium payments for the first 11 years of the term of an insured mortgage in an amount between 0.55% and 2% of the remaining insured principal balance (with certain adjustments) for certain periods. Increases from 1.55% to 2.05% the 30-year annual premium for an insured mortgage whose original principal obligation exceeds 95% of the remaining principal balance.</p> <p>Revises conditions for the Secretary's exercise of authority to require indemnification for an insurance loss claim paid on a mortgage insured by a mortgagee to which the Secretary delegated insuring authority. Extends the Secretary's authority to require such an indemnification to a mortgage executed by a mortgagee approved under the direct endorsement program. Revises the conditions invoking indemnification authority to cover a circumstance where the mortgagee knew, or should have known, of a serious or material violation of the pertinent mortgage requirements, regardless of whether the violation caused the mortgage default. Makes similar revisions to the Secretary's indemnification authority in the circumstance where fraud or misrepresentation was involved in connection with the origination or underwriting and the mortgagee knew or should have known about it.</p> <p>Directs the Secretary to establish a process for mortgagees to appeal indemnification determinations.</p> <p>Directs the Secretary to establish a program to: (1) review the cause of each early period delinquency on a mortgage that is an obligation of the Mutual Mortgage Insurance Fund (Fund); (2) require indemnification of the Secretary for a loss associated with any such delinquency that results from a material violation of any guideline established or promulgated under NHA; and (3) report publicly a summary of the results of all early period reviewed delinquencies, any indemnifications required, and the financial impact on the Fund of any such indemnifications.</p> <p>Requires semiannual independent studies and reports during periods of capital depletion of the Fund. </p> <p>Directs the Secretary to analyze the cost and feasibility of an independent quarterly actuarial study of the Fund. </p> <p>Authorizes the Secretary to terminate the approval of the mortgagee to originate or underwrite single family mortgages for more than one area or on a nationwide basis, if the mortgagee has an excessive rate of early defaults and claims. </p> <p>Revises the criteria for the eligibility of a mortgage for Federal Housing Administration (FHA) insurance to authorize the participation of certain persons or entities approved by the Secretary in the origination of single family mortgages and/or home equity conversion mortgages for elderly homeowners.</p> <p>Directs the Secretary to require each mortgagee, as a condition for approval to originate or underwrite mortgages on HUD-insured single family or multifamily housing, to notify the Secretary of the action taken, and the reasons for it, if the mortgagee: (1) engages in the purchase of mortgages insured by the Secretary and originated by other mortgagees, or in the purchase of the servicing rights to such mortgages; and (2) at any time takes action to terminate or discontinue such purchases from another mortgagee based on any determination or evidence of fraud or material misrepresentation in connection with the origination of such mortgages.</p> <p>Includes among the information the Secretary of HUD is required to collect regarding early defaults on insured mortgages all data on the number of claims paid to each servicing mortgagee during each calendar quarter occurring during the applicable collection period.</p> <p>Establishes within FHA a Deputy Assistant Secretary for Risk Management and Regulatory Affairs, who shall be responsible for all matters relating to: (1) managing and mitigating risk to HUD mortgage insurance funds, and (2) ensuring the performances of HUD-insured mortgages.</p> <p>Amends the Department of Housing and Urban Development Act to establish within HUD a Chief Risk Officer for the Government National Mortgage Association (Ginnie Mae).</p> <p>Directs the Secretary to: (1) examine mortgage servicer compliance with the loan servicing, loss mitigation, and insurance claim submission guidelines of the FHA mortgage insurance programs; (2) estimate the annual costs to the Fund, since 2008, resulting from any failures by mortgage servicers to comply with such guidelines; and (3) develop an emergency capital plan for the restoration of the Fund's fiscal solvency.</p> <p>Directs the Comptroller General to provide for third party review of: (1) the financial safety and soundness of HUD mortgage insurance programs and funds, and (2) the extent of their loan loss reserves and capital adequacy.</p> <p>Directs the Secretary to review and revise all standards and requirements relating to disclosure of information on the mortgage insurance programs and funds.</p> <p>Directs the Secretary to examine all the mortgage insurance and any other FHA programs to: (1) identify the level of use and need for such programs; (2) any such programs that are unused or underused; and (3) methods for streamlining, consolidating, simplifying, increasing the efficiency of, and reducing the number of such programs.</p> ",,,,,,
"S. 3675",https://www.congress.gov/bill/112th-congress/senate-bill/3675,"112th Congress (2011-2012)","A bill to expand the HUBZone program for communities affected by base realignment and closure, and for other purposes.","Collins, Susan M. [Sen.-R-ME] (Introduced 12/12/2012)",Republican,12/12/2012,"Senate - Small Business and Entrepreneurship","Read twice and referred to the Committee on Small Business and Entrepreneurship.",12/12/2012,"Snowe, Olympia J. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Census and government statistics",Commerce,"Economic development","Military facilities and property","Public contracts and procurement","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>HUBZone Expansion Act of 2012 - Amends the Small Business Act to include as a base closure area for purposes of the HUBZONE (historically underutilized business zone) program of the Small Business Administration (SBA) a military installation's municipality, county, census tract, or contiguous census tract having a total population of no more than 50,000, as determined by the most recent census.</p>",,,,,,
