"Downloaded on",03/04/2025,"18:45:05 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22113%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3017",https://www.congress.gov/bill/113th-congress/senate-bill/3017,"113th Congress (2013-2014)","A bill to provide a categorical exclusion under the National Environmental Policy Act of 1969 to allow the Director of the Bureau of Land Management and the Chief of the Forest Service to remove Pinyon-Juniper trees to conserve and restore the habitat of the greater sage-grouse.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 12/12/2014)",Republican,12/12/2014,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",12/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Birds,"Environmental assessment, monitoring, research","Environmental Protection","Forests, forestry, trees","Wildlife conservation and habitat protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Sage-Grouse Habitat Conservation and Restoration Act of 2014 - Provides a categorical 			 exclusion under the National Environmental 			 Policy Act of 1969 (NEPA) for a vegetation management project by the 			 Bureau of Land 			 Management (BLM) or the Forest Service involving removal or 			 treatment of 			 any Pinyon or Juniper tree to conserve or restore the 			 habitat of the greater sage-grouse.</p> <p>(Under NEPA a categorical exclusion is a category of actions which do not individually or cumulatively have a significant effect on the human environment and which have been found to have no such effect in procedures adopted by a federal agency in implementing environmental regulations and for which, therefore, neither an Environmental Assessment nor an Environmental Impact Statement is required.)</p>",,,,,,
"S. 3015",https://www.congress.gov/bill/113th-congress/senate-bill/3015,"113th Congress (2013-2014)","A bill to establish a rule of construction clarifying the limitations on executive authority to provide certain forms of immigration relief.","Paul, Rand [Sen.-R-KY] (Introduced 12/12/2014)",Republican,12/12/2014,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/12/2014,"Ayotte, Kelly [Sen.-R-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Border security and unlawful immigration","Congressional-executive branch relations",Immigration,"Immigration status and procedures","Presidents and presidential powers, Vice Presidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/09/2014 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 626.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Preventing Executive Overreach on Immigration Act of 2014 - Prohibits the executive branch of the government from: </p> <ul> <li>exempting or deferring from removal, by executive order, regulation, or any other means, categories of aliens considered under the immigration laws to be unlawfully present in the United States; </li> <li>treating such aliens as if they were lawfully present or had a lawful immigration status;</li> <li>or treating them other than as unauthorized aliens. </li> </ul> <p>States that such prohibition shall not apply: </p> <ul> <li>to the extent prohibited by the Constitution; </li> <li>upon the request of federal, state, or local law enforcement agencies for purposes of maintaining aliens in the United States to be tried for crimes or to be trial witnesses; or</li> <li> for humanitarian purposes where the aliens are at imminent risk of serious bodily harm or death. </li> </ul> <p>Declares that any executive branch action intending to circumvent the objectives of this Act shall be null and void and without legal effect.</p> <p>States that this Act shall take effect as if enacted on November 20, 2014, and shall apply to requests (whether the request is original or for reopening of a previously denied request) submitted on or after that date for: (1) work authorization; or (2) exemption from, or deferral of, removal.</p>",,,,,,
"S. 3014",https://www.congress.gov/bill/113th-congress/senate-bill/3014,"113th Congress (2013-2014)","A bill to extend and modify a pilot program on assisted living services for veterans with traumatic brain injury, and for other purposes.","Ayotte, Kelly [Sen.-R-NH] (Introduced 12/12/2014)",Republican,12/12/2014,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",12/12/2014,"Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Congressional oversight","Disability and paralysis","Emergency medical services and trauma care","Health programs administration and funding","Housing for the elderly and disabled","Neurological disorders","Veterans' loans, housing, homeless programs","Veterans' medical care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/18/2014 Became Public Law No: 113-257.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Veterans Traumatic Brain Injury Care Improvement Act of 2014 - Amends the National Defense Authorization Act for Fiscal Year 2008 to alter the reporting requirements under the pilot program to assess the effectiveness of providing assistance to eligible veterans with traumatic brain injury to enhance their rehabilitation, quality of life, and community integration.</p> <p>Directs the Secretary of Veterans Affairs (VA) to submit reports to the congressional veterans committees on the pilot program for each quarter occurring between January 1, 2015, and September 30, 2017. Requires each quarterly report to include for the preceding quarter: </p> <ul> <li>the number of individuals who participated in the pilot program,</li> <li>the number of individuals who successfully completed the program,</li> <li>the degree to which pilot program participants and their family members were satisfied with the program, and</li> <li>the interim findings and conclusions of the Secretary regarding the success of the program and recommendations for improving it.</li></ul> <p>Requires the Secretary to include in the report the Secretary submits to the congressional veterans committees after the completion of the pilot program: </p> <ul> <li> an evaluation of the pilot program in light of the VA's independent living programs, including an assessment of whether&nbsp; the pilot program should be incorporated into such independent living programs; and </li> <li> recommendations for improving the pilot program.</li></ul> <p>Replaces references to ""assisted living"" with the term ""community-based brain injury residential rehabilitative care,"" including rehabilitation services within the meaning of such care.</p> <p>Requires this Act and its amendments to be carried out using funds already available for such purposes. </p>",,,,,,
"S. 3011",https://www.congress.gov/bill/113th-congress/senate-bill/3011,"113th Congress (2013-2014)","A bill to provide for the establishment of a process for the review of rules and sets of rules, and for other purposes.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 12/12/2014)",Republican,12/12/2014,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",12/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative law and regulatory procedures","Advisory bodies","Competitiveness, trade promotion, trade deficits","Congressional oversight","Economic performance and conditions","Government information and archives","Government Operations and Politics","Government studies and investigations","Judicial review and appeals","Legislative rules and procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/12/2014 Reported by the Committee on Judiciary. H. Rept. 113-675, Part I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Searching for and Cutting Regulations that are Unnecessarily Burdensome Act of 2014 or the SCRUB Act of 2014 - Establishes the Retrospective Regulatory Review Commission to review the Code of Federal Regulations (CFR) to identify, using specified criteria, rules and sets of rules that collectively implement a regulatory program&nbsp;that should be repealed to lower the cost of regulation to the economy, giving priority to major rules that: (1) have been in effect more than 15 years, (2) impose paperwork burdens that could be reduced substantially without significantly diminishing regulatory effectiveness,&nbsp;(3) impose disproportionately high costs on small business entities, and (4) could be strengthened in their effectiveness while reducing regulatory costs.&nbsp;Requires the Commission to establish a public website to make regulatory information accessible to the public at no cost. </p> <p>Requires a federal agency that makes a new rule to: (1)&nbsp;repeal rules identified by the Commission to offset the cost to the economy of&nbsp;such new rule (cut-go procedures), and (2) include in the final issuance of such rule a plan for reviewing the rule not later than 10 years after it is promulgated. Requires the Administrator of the Office of Information and Regulatory Affairs of the Office of Management and Budget (OMB) to review and certify the accuracy of agency determinations of the cost of new rules.</p> <p>Makes agency compliance with the requirements of this Act subject to judicial review.</p>",,,,,,
"S. 3006",https://www.congress.gov/bill/113th-congress/senate-bill/3006,"113th Congress (2013-2014)","A bill to require the Secretary of Veterans Affairs to use existing authorities to furnish health care at non-Department of Veterans Affairs facilities to veterans who live more than 40 miles driving distance from the closest medical facility of the Department that furnishes the care sought by the veteran.","Moran, Jerry [Sen.-R-KS] (Introduced 12/11/2014)",Republican,12/11/2014,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",12/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Health care coverage and access","Health facilities and institutions","Home and outpatient care","Hospital care","Veterans' medical care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Directs the Secretary of Veterans Affairs (VA) to use the Secretary's existing authority to furnish health care to veterans at non-VA facilities to provide health care at non-VA facilities to veterans who reside more than 40 miles driving distance from the closest VA medical facility providing the care they seek.</p>",,,,,,
"S. 3004",https://www.congress.gov/bill/113th-congress/senate-bill/3004,"113th Congress (2013-2014)","A bill to promote the development of meaningful treatments for patients.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 12/11/2014)",Republican,12/11/2014,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/11/2014,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Administrative law and regulatory procedures","Department of Health and Human Services","Drug safety, medical device, and laboratory regulation","Drug therapy","Food and Drug Administration (FDA)",Health,"Intellectual property","Prescription drugs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Dormant Therapies Act of 2014 - Requires the Department of Health and Human Services (HHS) to designate medicines being, or intended to be, investigated to address unmet medical needs as dormant therapies. Gives a dormant therapy a 15-year protection period during which no drug can be approved by relying on the approval of the dormant therapy absent a right of reference from the holder of the approved application for the dormant therapy.</p> <p>Requires the sponsor of a potential dormant therapy to have a clinical plan to investigate the medicine and intend to file an application for approval or licensure of the medicine as a new drug or biological product. Prohibits the active moiety of the medicine from being the same as an active moiety in a drug or highly similar to one in a biological product for which an application has been submitted.</p> <p>Requires the sponsor of a potential dormant therapy to list their patents that apply to the medicine and waive rights to those patents at the end of the dormant therapy protection period if the medicine is approved.</p> <p>Allows a sponsor to withdraw a dormant therapy designation request unless the medicine has been approved or licensed.</p> <p>Entitles the sponsor of a dormant therapy to extend patents that apply to the medicine to the end of the protection period.</p> <p>Prohibits a dormant therapy from receiving specified protections that apply to pediatric, infectious disease, or rare disease or condition medicines.</p> Directs HHS to require a sponsor to certify that the clinical plan for a dormant therapy has been completed and that approval was based on investigations in the clinical plan.",,,,,,
"S. 3003",https://www.congress.gov/bill/113th-congress/senate-bill/3003,"113th Congress (2013-2014)","A bill to protect the Social Security Disability Insurance program and provide other support for working disabled Americans, and for other purposes.","Coburn, Tom [Sen.-R-OK] (Introduced 12/11/2014)",Republican,12/11/2014,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative law and regulatory procedures","Administrative remedies","Congressional oversight","Disability and paralysis","Disability assistance","Economic performance and conditions","Employee hiring","Employment and training programs","Employment taxes","Executive agency funding and structure","Fraud offenses and financial crimes","Government employee pay, benefits, personnel management","Government information and archives","Government studies and investigations","Government trust funds","Judicial procedure and administration","Lawyers and legal services","Legal fees and court costs","Licensing and registrations","Medical tests and diagnostic methods","Social Security Administration","Social security and elderly assistance","Social Welfare","Tax administration and collection, taxpayers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Protecting Social Security Disability Act of 2014 - Amends title II (Old, Age and Survivors Disability Insurance) (OASDI) of the Social Security Act (SSAct) to revise the Disability Insurance program to declare any individual who is entitled to both an old-age insurance benefit and a disability insurance benefit for a month to be entitled only to the old-age insurance benefit for that month, except those whose medical improvement is not expected.</p> <p>Directs the Commissioner of Social Security to establish a system for classifying any individual who is determined to be entitled to disability insurance benefits or to monthly OASDI benefits in a specified manner on the basis of the expectation of medical improvement. </p> <p>Revises continuing disability review standards. </p> <p>Time-limits disability benefits for certain individuals. </p> <p>Prohibits age from being considered a vocational factor for any individual who has not attained the age 12 years below the retirement age.</p>   <p>Amends the Internal Revenue Code to require all W-2s to be submitted electronically, with a hardship exception for certain small businesses.</p> <p>Amends SSAct title II to: (1) eliminate the reconsideration review level for an initial adverse determination of an application for disability insurance benefits, and (2) require any such determination to be reviewed before an administrative law judge (ALJ).</p> <p>Modifies the deadline for the submission of medical evidence.</p>  <p>Directs the Commissioner to establish: (1) disability hearing attorney positions within the Office of Appellate Operations of the Social Security Administration (SSA), as well as (2) procedural rules for hearings.</p> <p>Requires attorneys to certify to the Commissioner that they have never been disbarred or suspended from any court or relinquished a license in the face of a misconduct investigation.</p> <p>Subjects ALJs to the Code of Conduct for United States Judges.</p> <p>Directs the Commissioner to ensure that all ALJs within the Office of Disability Adjudication and Review receive training on how to evaluate medical evidence appropriately.</p> <p>Requires the Commissioner to establish rules and regulations relating to the fees payable to representatives of individuals claiming entitlement to disability insurance benefits, in particular to prohibit SSA reimbursement of a representative for travel expenses.</p> <p>Requires the Inspector General to review the practices of a sample of the highest-earning claimant representatives to ensure compliance with SSA policies. </p> <p>Directs the Division of Quality of the SSA Office of Appellate Operations to: (1) review a sample of determinations by outlier ALJs that individuals are entitled to disability insurance benefits, and (2) identify any determinations not supported by the evidence.</p>  <p>Requires any amounts made available by the SSA for Social Security program integrity spending to be included in a separate account within the federal budget and funded in a separate account in the appropriate annual appropriations bill.</p> <p>Requires the Commissioner to consult the National Directory of New Hires when determining whether an individual is making above the substantial gainful activity limits.</p> <p>Amends SSA title XI to eliminate the Ticket to Work and Self-Sufficiency Program.</p> <p>Directs the Commissioner to: (1) establish a Work Incentive Benefit System under which an eligible individual entitled to a disability insurance benefit may elect to return to employment and receive an adjusted disability insurance benefit amount, and (2) conduct a demonstration project designed to examine the effectiveness of providing targeted early-intervention support to eligible individuals.</p> <p>Prohibits an eligible individual who elects to participate in such demonstration project from being eligible for disability assistance for as long as the individual receives assistance through the demonstration project.</p> <p>Directs the Commissioner to study whether reducing the rate at which an employer is taxed with respect to OASDI in exchange for the employer's offering its employees private disability insurance, and other disability supports, would be an effective means of reducing the rate at which such employees enter the disability insurance program.</p>",,,,,,
"S. 3000",https://www.congress.gov/bill/113th-congress/senate-bill/3000,"113th Congress (2013-2014)","A bill to establish the Hurricane Sand Dunes National Recreation Area in the State of Utah, and for other purposes.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 12/11/2014)",Republican,12/11/2014,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",12/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Land transfers","Motor vehicles","Parks, recreation areas, trails","Public Lands and Natural Resources",Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Hurricane Sand Dunes National Recreation Area Act of 2014 - Establishes the Hurricane Sand Dunes National Recreation Area in Utah to provide for the enhancement of recreational uses and the use of off-highway vehicles.</p> <p>Provides for the conveyance of federal lands in Washington County in an equal-value exchange for certain state lands identified on a Bureau of Land Management (BLM) map for the area dated November 14, 2014.</p>",,,,,,
"S. 2998",https://www.congress.gov/bill/113th-congress/senate-bill/2998,"113th Congress (2013-2014)","A bill to allow for the portability of funds under title I of the Elementary and Secondary Education Act of 1965.","Vitter, David [Sen.-R-LA] (Introduced 12/11/2014)",Republican,12/11/2014,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",12/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Education,"Education of the disadvantaged","Education programs funding","Elementary and secondary education","Poverty and welfare assistance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/17/2014 Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Expanding School Choice Act - Amends part A of title I of the Elementary and Secondary Education Act of 1965 to allow states to allocate school improvement grant funds among their local educational agencies (LEAs) on the basis of the number of children aged 5 through 17 whose family income lies below the federal poverty level and who are enrolled in the public and state-accredited private schools within each LEA's geographic jurisdiction.</p>",,,,,,
"S. 2997",https://www.congress.gov/bill/113th-congress/senate-bill/2997,"113th Congress (2013-2014)","A bill to amend the Internal Revenue Code of 1986 to increase the exclusion for employer-provided dependent care assistance.","Burr, Richard [Sen.-R-NC] (Introduced 12/10/2014)",Republican,12/10/2014,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/10/2014,"Gillibrand, Kirsten E. [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Adult day care","Child care and development","Employee benefits and pensions","Income tax exclusion","Inflation and prices",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Child and Dependent Care FSA Enhancement Act - Amends the Internal Revenue Code to increase to $7,500 the amount of employer-provided dependent care assistance that an employee may exclude from gross income. Allows an annual inflation adjustment to such increased amount after 2015. </p>",,,,,,
