"Downloaded on",03/05/2025,"13:47:57 EST"
"Search URL",https://www.congress.gov/advanced-search?raw=%5B%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22congress%22%2C%22operator%22%3A%22multi%22%2C%22value%22%3A%5B%22118%22%2C%22117%22%2C%22116%22%5D%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22chamber%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Senate%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22sponsor-party%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Democratic%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22notContains%22%2C%22value%22%3A%22Health%2C+Education%2C+Labor+and+Pensions%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22notContains%22%2C%22value%22%3A%22Finance%22%7D%7D%5D%7D%5D&q=%7B%22type%22%3A%22bills%22%2C%22congress%22%3A%5B%22117%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 5353",https://www.congress.gov/bill/117th-congress/senate-bill/5353,"117th Congress (2021-2022)","Refugee Protection Act of 2022","Leahy, Patrick J. [Sen.-D-VT] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,H.R.9685,H.R.1333,H.R.2237,H.R.7867,H.R.9671,S.901,S.1135,S.1891,S.5330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/22/2022 Referred to the Committee on the Judiciary, and in addition to the Committees on Ways and Means, the Budget, Foreign Affairs, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.","04/22/2021 Received in the Senate and Read twice and referred to the Committee on the Judiciary.","10/19/2021 Referred to the Subcommittee on Immigration and Citizenship.","11/01/2022 Referred to the Subcommittee on Immigration and Citizenship.","12/22/2022 Referred to the Committee on the Judiciary, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.","03/23/2021 Read twice and referred to the Committee on the Judiciary.","04/15/2021 Read twice and referred to the Committee on the Judiciary.","05/27/2021 Read twice and referred to the Committee on the Judiciary.","12/21/2022 Read twice and referred to the Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>Refugee Protection Act of 2022</strong></p> <p>This bill modifies provisions related to asylum seekers and addresses related issues. </p> <p>For example, the bill (1) eliminates the statutory time limit for applying for asylum (currently one year after arriving in the United States), (2) establishes stateless protected status for individuals who are not considered a national by any country under that country&rsquo;s law, and (3) requires the goal for refugee admissions for any given fiscal year to be no fewer than 125,000.</p>",,,,,,
"S. 5343",https://www.congress.gov/bill/117th-congress/senate-bill/5343,"117th Congress (2021-2022)","Cruise Passenger Protection Act of 2022","Blumenthal, Richard [Sen.-D-CT] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",12/21/2022,"Markey, Edward J. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"04/07/2022 Read twice and referred to the Committee on Commerce, Science, and Transportation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Cruise Passenger Protection Act</b> <b>of 2022</b></p> <p>This bill revises provisions related to passenger vessel security and safety.</p> <p>The bill directs the Department of Transportation (DOT) to develop standards for cruise ship owners to provide passengers with a conspicuous and unambiguous summary of key terms of passage contracts before they are binding. Vessel owners must provide each passenger with a summary meeting those standards and include the summary in promotional literature. The bill prescribes civil and criminal penalties for violations. </p> <p>DOT must (1) establish a hotline for passenger complaints, (2) determine whether any of the enumerated rights in the international cruise line passenger bill of rights (adopted by the members of the Cruise Lines International Association) are enforceable under federal law, and (3) establish an advisory committee for passenger vessel consumer protection.</p> <p>Vessel owners must ensure that a vessel is staffed with sea marshals and medical staff.</p> <p>DOT must</p> <ul> <li>designate a director of victim support services,</li> <li>establish a 24-hour telephone number for crime victims,</li> <li>develop a written summary of rights for crime victims,</li> <li>maintain a statistical compilation of reported incidents, and</li> <li>study the feasibility of having an individual on board each vessel to provide victim support and related services.</li> </ul> <p>The Department of Homeland Security may withhold or revoke the clearance of, and the Coast Guard may deny entry into the United States to, any vessel owner who commits an act or omission for which a penalty is imposed under this bill or fails to pay the penalty.</p>",,,,,,
"S. 5342",https://www.congress.gov/bill/117th-congress/senate-bill/5342,"117th Congress (2021-2022)","Preserving Homes and Communities Act of 2022","Reed, Jack [Sen.-D-RI] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (Sponsor introductory remarks on measure: CR S9780-9781)",12/21/2022,"Brown, Sherrod [Sen.-D-OH]","Wyden, Ron [Sen.-D-OR]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Preserving Homes and Communities Act of 2022 </b></p> <p>This bill establishes requirements for the sale by the Department of Housing and Urban Development of non-performing single-family residential mortgages that are insured under the National Housing Act. </p>",,,,,,
"S. 5337",https://www.congress.gov/bill/117th-congress/senate-bill/5337,"117th Congress (2021-2022)","A bill to amend title 38, United States Code, to expand eligibility for supportive services for very low-income veteran families to include former members of the reserve components of the Armed Forces, and for other purposes.","Booker, Cory A. [Sen.-D-NJ] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>This bill makes eligible under the Supportive Services for Veteran Families program former members of a reserve component of the Armed Forces who have retired or separated from service after serving a term of enlistment. This includes families in which the head of household or spouse of the head of household is a former member of a reserve component who has retired or separated from service after serving a term of enlistment.</p>",,,,,,
"S. 5335",https://www.congress.gov/bill/117th-congress/senate-bill/5335,"117th Congress (2021-2022)","Redistricting Reform Act of 2022","Klobuchar, Amy [Sen.-D-MN] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.5746,S.2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"01/19/2022 Motion to proceed to consideration of the motion to reconsider the vote by which cloture on the motion to concur in the House amendment to the Senate amendment to H.R. 5746 (Record Vote No. 9) withdrawn in Senate.","10/20/2021 Motion by Senator Schumer to reconsider the vote by which cloture on the motion to proceed to S. 2747 was not invoked (Record Vote No. 420) entered in Senate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Redistricting Reform Act of 2022</b></p> <p>This bill outlines criteria for congressional redistricting and generally prohibits mid-decade redistricting.</p>",,,,,,
"S. 5332",https://www.congress.gov/bill/117th-congress/senate-bill/5332,"117th Congress (2021-2022)","Election Security Act of 2022","Klobuchar, Amy [Sen.-D-MN] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Rules and Administration","Read twice and referred to the Committee on Rules and Administration.",12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.5746,S.2093,S.2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"01/19/2022 Motion to proceed to consideration of the motion to reconsider the vote by which cloture on the motion to concur in the House amendment to the Senate amendment to H.R. 5746 (Record Vote No. 9) withdrawn in Senate.","09/15/2021 Cloture motion on the motion to proceed to the measure withdrawn by unanimous consent in Senate. (CR S6516-6517)","10/20/2021 Motion by Senator Schumer to reconsider the vote by which cloture on the motion to proceed to S. 2747 was not invoked (Record Vote No. 420) entered in Senate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Election Security Act of 2022</b></p> <p>This bill addresses election security through grant programs and requirements for voting systems and paper ballots. Among other provisions, the bill (1) establishes requirements for voting systems, including that systems use individual, durable, voter-verified paper ballots; (2) directs the Election Assistance Commission to award grants to states for specified activities, including replacing voting systems and improving the security of the systems; and (3) requires states and jurisdictions to carry out postelection audits for all federal elections.</p>",,,,,,
"S. 5331",https://www.congress.gov/bill/117th-congress/senate-bill/5331,"117th Congress (2021-2022)","Campaign Finance Transparency Act","Klobuchar, Amy [Sen.-D-MN] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Rules and Administration","Read twice and referred to the Committee on Rules and Administration.",12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,H.R.1,H.R.1414,H.R.5746,H.R.9623,S.1,S.416,S.2093,S.2747,S.5315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/11/2021 Received in the Senate.","02/26/2021 Referred to the House Committee on House Administration.","01/19/2022 Motion to proceed to consideration of the motion to reconsider the vote by which cloture on the motion to concur in the House amendment to the Senate amendment to H.R. 5746 (Record Vote No. 9) withdrawn in Senate.","12/20/2022 Referred to the Committee on the Judiciary, and in addition to the Committees on Oversight and Reform, House Administration, Ways and Means, Financial Services, Intelligence (Permanent Select), Rules, Foreign Affairs, Armed Services, and the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.","08/11/2021 Placed on Senate Legislative Calendar under General Orders. Calendar No. 123.","02/24/2021 Read twice and referred to the Committee on Rules and Administration.","09/15/2021 Cloture motion on the motion to proceed to the measure withdrawn by unanimous consent in Senate. (CR S6516-6517)","10/20/2021 Motion by Senator Schumer to reconsider the vote by which cloture on the motion to proceed to S. 2747 was not invoked (Record Vote No. 420) entered in Senate.","12/20/2022 Read twice and referred to the Committee on Finance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Campaign Finance Transparency Act</b></p> <p>This bill revises provisions regarding the Federal Election Commission (FEC), including to (1) modify the process for the FEC to initiate an investigation, (2) extend permanently the FEC's administrative penalty authority, and (3) provide statutory authority for limitations on ex parte communications as applied to FEC members and employees.</p>",,,,,,
"S. 5330",https://www.congress.gov/bill/117th-congress/senate-bill/5330,"117th Congress (2021-2022)","Stateless Protection Act of 2022","Cardin, Benjamin L. [Sen.-D-MD] (Introduced 12/21/2022)",Democratic,12/21/2022,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.9685,S.5353,H.R.9671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/22/2022 Referred to the Committee on the Judiciary, and in addition to the Committees on Ways and Means, the Budget, Foreign Affairs, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.","12/21/2022 Read twice and referred to the Committee on the Judiciary.","12/22/2022 Referred to the Committee on the Judiciary, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>Stateless Protection Act of 2022</strong></p> <p>This bill provides protections for stateless persons (a person who is not considered a national of any state by that state's law). For example, the bill establishes stateless protected status, which shall provide protections against deportation and other benefits to certain stateless persons present in the United States who meet certain criteria.</p>",,,,,,
"S. 5329",https://www.congress.gov/bill/117th-congress/senate-bill/5329,"117th Congress (2021-2022)","A bill to amend the Bill Emerson Good Samaritan Food Donation Act to improve the program, and for other purposes.","Blumenthal, Richard [Sen.-D-CT] (Introduced 12/20/2022)",Democratic,12/20/2022,,"Became Public Law No: 117-362.",01/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food","Charitable contributions","Food assistance and relief","Food industry and services","Food supply, safety, and labeling","Retail and wholesale trades","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.6521,S.3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"01/28/2022 Referred to the House Committee on Science, Space, and Technology.","11/30/2021 Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>This act expands liability protections for the donation of food and grocery products.</p> <p>Specifically, the act expands the liability protections to include donations of an apparently fit grocery product or apparently wholesome food</p> <ul> <li>for which the recipient is charged a <i>good Samaritan reduced</i> price that is no greater than the cost of handling, administering, harvesting, processing, packaging, transporting, and distributing the food or product; or</li> <li>that is donated directly to a needy individual at zero cost by a retail grocer, wholesaler, agricultural producer, agricultural processor, agricultural distributor, restaurant, caterer, school food authority, or institution of higher education.</li> </ul>",,,,,,
"S. 5328",https://www.congress.gov/bill/117th-congress/senate-bill/5328,"117th Congress (2021-2022)","A bill to amend the Farm Security and Rural Investment Act of 2002 to extend terminal lakes assistance.","Cortez Masto, Catherine [Sen.-D-NV] (Introduced 12/20/2022)",Democratic,12/20/2022,,"Became Public Law No: 117-361.",01/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food","Intergovernmental relations",Farmland,"Agricultural conservation and pollution","Lakes and rivers","Wildlife conservation and habitat protection","Land transfers",Watersheds,Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"08/02/2022 Received in the Senate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>This act extends through October 1, 2025, authority to provide terminal lakes assistance.</p>",,,,,,
