"Downloaded on",03/04/2025,"18:22:53 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%2294%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3898",https://www.congress.gov/bill/94th-congress/senate-bill/3898,"94th Congress (1975-1976)","A bill for the relief of Francisco Ronquillo and Ruben Leonardo Ronquillo.","McClure, James A. [Sen.-R-ID] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",10/01/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Francisco Ronquillo and Ruben Leonardo Ronquillo.",,,,,,
"S. 3894",https://www.congress.gov/bill/94th-congress/senate-bill/3894,"94th Congress (1975-1976)","A bill to amend the Federal Water Pollution Control Act, as amended.","Baker, Howard H., Jr. [Sen.-R-TN] (Introduced 10/01/1976)",Republican,10/01/1976,,"Public law 94-558.",10/19/1976,"Buckley, James L. [Sen.-R-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Environmental Protection","Federally-assisted loans",Pollution,"Pollution control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Federal Water Pollution Control Act to authorize the Administrator of the Environmental Protection Agency to guarantee loans to States and localities for advanced construction of eligible treatment works facilities.",,,,,,
"S. 3890",https://www.congress.gov/bill/94th-congress/senate-bill/3890,"94th Congress (1975-1976)","A bill for the relief of Herta Schleifer and her daughter, Renate Schleifer.","Curtis, Carl T. [Sen.-R-NE] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",10/01/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Herta Schleifer and her daughter, Renate Schleifer.",,,,,,
"S. 3885",https://www.congress.gov/bill/94th-congress/senate-bill/3885,"94th Congress (1975-1976)","A bill for the relief of Ms. Kim Joy Gemmill.","Baker, Howard H., Jr. [Sen.-R-TN] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",10/01/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Ms. Kim Joy Gemmill.",,,,,,
"S. 3884",https://www.congress.gov/bill/94th-congress/senate-bill/3884,"94th Congress (1975-1976)","A bill to authorize the Federal Insurance Administrator to issue charters to corporations for carrying on the business of insurance, to provide for the guarantee of the insurance obligations of such corporations, and for other purposes.","Brooke, Edward W. [Sen.-R-MA] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",10/01/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce",Corporations,"Department of Housing and Urban Development","Finance and Financial Sector","Government Operations and Politics",Insurance,"Insurance companies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Federal Insurance Act - Establishes a Federal Insurance Administration within the Department of Housing and Urban Development to be headed by an Administrator: (1) authorized to issue Federal charters for carrying on the business of insurance to corporations deemed to be eligible based on the capital and surplus of such corporations and other organizational criteria required by the Administrator, and contingent upon majority stockholder or policyholder approval, such charters preempting and terminating any State charter except for purposes of corporate existence; and (2) required to prescribe rules and regulations governing the conduct of the insurers, including the payment of a guaranty fee, maintenance of reserves, control of assets, performance of obligations, production of official records, and corporate reorganization schemes, and to establish an ""early warning system"" for detection of financial instability of such corporations. Exempts such insurers from any State laws involving reserves, assumption of obligations in the event of insolvency of other persons, regulation of investments and fixing of rates.  Limits the State tax liability of such insurers to an amount no greater than the tax imposed upon an equal amount of gross or net premiums of the least taxed insurer organized under the laws of any State. Specifies the types of assets in which such insurers are permitted to invest capital and surplus or guaranty funds, and limits the percent of the total policyholder obligation permitted to be invested in certain assets. <p>Grants the Administrator supervisory powers over persons participating in the conduct of affairs of such insurer, including authority to: (1) issue and serve upon such person or insurer notice of charges of violation of this Act or rules promulgated thereunder, such notice to contain a statement of relevant facts and the time of hearing on whether a cease and desist order should issue; (2) issue a temporary cease and desist order in certain circumstances; and (3) suspend or prohibit from further participation in the affairs of the insurer any officer, director, or participating person if such action is deemed necessary for protection of the corporation or the interests of its policyholders. <p>Confers jurisdiction over all proceedings under this Act to the United States district courts and courts of appeals of the United States in the district or circuit in which the principal place of business of the insurer is located or, in some cases, in the District of Columbia.  Authorizes the Administrator to make loans to federally chartered insurers to facilitate a merger between two such insurers or a sale of assets or assumption of liabilities of a financially unsound insurer by another insurer for the purpose of averting a loss to the Federal Insurance Fund.  Permits the Administrator to institute proceedings to revoke such a charter and dissolve such insurer upon a determination that such insurer cannot pay claims when due.  Guarantees that any insurance obligation incurred by a federally chartered insurer shall, upon default, be met by proceeds in the Federal Insurance Fund, established by this Act and paid into by such insurers. <p>Prohibits the Administrator from approving mergers or consolidations or any surrender or amendment of a Federal charter if such action would have an adverse impact on the insurance industry. Requires the Administrator to consult with the Attorney General before approving any merger or reorganization, except in cases of imminent insolvency or default. <p>Transfers to the Federal Insurance Administration all functions, powers, and duties conferred upon the Secretary of Housing and Urban Development pursuant to title XII of the National Housing Act (the Urban Property Protection and Reinsurance Act of 1968), title XIII of the Housing and Urban Development Act of 1968 (the National Flood Insurance Act of 1968), the Flood Disaster Protection Act of 1973, and the Federal Flood Insurance Act of 1956.",,,,,,
"S. 3883",https://www.congress.gov/bill/94th-congress/senate-bill/3883,"94th Congress (1975-1976)","A bill to amend the Railroad Retirement Act of 1974 to provide for payment of annuity to an individual who has completed 30 years of service, without regard to such individual's age.","Stafford, Robert T. [Sen.-R-VT] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",10/01/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Labor and Employment","Railroad employees","Railroad retirement plans",Railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Railroad Retirement Act of 1974 to make individuals who have completed 30 years of services eligible for an annuity regardless of such individuals' age.",,,,,,
"S. 3880",https://www.congress.gov/bill/94th-congress/senate-bill/3880,"94th Congress (1975-1976)","A bill to amend the Federal Deposit Insurance Act to establish a Federal Banking Appeals Board.","Tower, John G. [Sen.-R-TX] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",10/01/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Federal Reserve System","Finance and Financial Sector","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Federal Deposit Insurance Act to establish the Federal Banking Appeals Board which shall be composed of two members appointed by the President and one member appointed by the President with the advice and consent of the Senate.  Specifies three areas of competence and experience which shall be embodied in the Board.  Designates the terms of membership and the salaries of the members. <p>Empowers the Board to:  (1) conduct hearings; (2) hear appeals taken by any insured bank from any decision, order, instruction, or requirement of the appropriate Federal banking agency of the insured bank; and (3) issue such orders as it deems appropriate where it determines that any decision, order, instruction, or requirement is in excess of statutory jurisdiction, authority or limitations or motivated by bias, prejudice, or interest. <p>States that this Act in no way limits the right to judicial review of any person adversely affected by an action of any appropriate Federal banking agency or of the Board.",,,,,,
"S. 3876",https://www.congress.gov/bill/94th-congress/senate-bill/3876,"94th Congress (1975-1976)","A bill to provide for the implementation of a full employment policy through the establishment of a Federal Employment System.","Javits, Jacob K. [Sen.-R-NY] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",10/01/1976,"Griffin, Robert P. [Sen.-R-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Advisory bodies","Executive reorganization","Full employment policies","Government Operations and Politics","Labor and Employment",Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Federal Employment System Act - Establishes the Federal Full Employment Board as an independent agency in the executive branch.  Directs the Board to: (1) recommend to the President and the Congress by January 20 of each year a legislative program to help achieve full employment and alternative means of attaining that objective; (2) request the President to direct the implementation of federally funded programs directly or indirectly affecting employment; (3) review and make recommendations with respect to governmental policies in terms of the impact of such policies upon achieving full employment and to decisions made by private and public employers; (4) undertake national and regional manpower and employment planning including taking affirmative action to encourage participation and cooperation of employers and trade unions to improve such planning; (5) assess the activities of relevant Federal agencies for the purpose of developing an improved labor market exchange system; (6) hold nationwide and regional conferences designed to encourage the support of management and labor in meeting the objective of full employment; and (7) analyze and make recommendations with respect to the extent to which the Federal budget may assist in reaching full employment. <p>Establishes ten regional full employment councils, to be located in designated cities.  Includes among the functions of the regional councils (1) making policy recommendations to the Federal Full Employment Board, (2) making general assessments and analyses of long- and short-range labor shortages and surpluses in regional labor markets, (3) encouraging greater coordination between education and training institutions and industrial and labor organizations, and (4) disseminating specified materials and publishing an annual nontechnical report for the people of the region on conditions in local labor markets.",,,,,,
"S. 3875",https://www.congress.gov/bill/94th-congress/senate-bill/3875,"94th Congress (1975-1976)","A bill entitled ""The Truth in Lending Simplification Act of 1976.""","Garn, E. J. (Jake) [Sen.-R-UT] (Introduced 10/01/1976)",Republican,10/01/1976,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",10/01/1976,"Tower, John G. [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agriculture and Food",Commerce,"Consumer credit","Consumer protection",Credit,"Credit cards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Truth in Lending Simplification Act - Amends the Truth in Lending Act to exempt transactions involving extensions of credit for agricultural purposes.  Redefines the term ""open end credit plan"" for purposes of such Act.  Eliminates specified items from the computation of the finance charge with respect to any transaction. <p>Removes the filing dates for specified annual reports.  Provides for an annual revision of credit forms when there has been a change in disclosure requirements, by statute or otherwise, except when the Board of Governors of the Federal Reserve System takes interim action necessary to prevent unfair or deceptive disclosure practices. <p>States that no right of rescission exists with respect to any transaction wherein:  (1) a first lien is created or retained against any real property which is used as the residence of the person to whom credit is extended to finance the acquisition of that property; or (2) a consumer credit transaction includes an agency of a State as the obligor.  Eliminates the requirements of such Act which requires the periodic statement to include the annual percentage rate and the payment date. <p>Removes specified disclosure requirements which were mandatory before the opening of any account under an open end consumer credit plan.  Requires annual, instead of semi-annual, transmission of statements pertaining (1) to procedures for correction of error in billing and (2) to the rights of credit card customers. Excuses creditors who fail to identify each extension of credit in such statements if the creditor responds to any inquiry for clarification pertaining to errors in billing.  Eliminates such items as cash price, downpayments, and default from the disclosure statement required in connection with each consumer credit sale not under an open end credit plan.  Requires more complete disclosure of the types of security held by the creditor at the time of such statement or at a future date in the property which is subject to the extension of credit and in property which is acquired with the proceeds of the extension of credit. <p>Provides that no civil liability shall be incurred under the Truth in Lending Act where the creditor is in substantial compliance with its provisions. <p>Eliminates specified items from disclosure requirements with respect to the advertising of credit. <p>Redefines the term ""billing errors"" to include failures to transmit the statements required in connection with open end credit plans to the last known address of the obligor.",,,,,,
"S. 3872",https://www.congress.gov/bill/94th-congress/senate-bill/3872,"94th Congress (1975-1976)","A bill for the relief of Lawrence Fox.","Stevens, Ted [Sen.-R-AK] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/29/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Lawrence Fox.",,,,,,
