"Downloaded on",03/04/2025,"18:23:45 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2295%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3629",https://www.congress.gov/bill/95th-congress/senate-bill/3629,"95th Congress (1977-1978)","A Bill to amend title 5, United States Code, to improve and systematize the procedures for the promulgation of rules and for establishing a uniform procedure for congressional review of executive branch rules which may have a harmful impact on the public, may be contrary to law, or may be inconsistent with congressional intent; to expand opportunities for public participation in Federal agency rulemaking; to establish a Joint Committee on Administrative Rules; and for other purposes.","Schmitt, Harrison H. [Sen.-R-NM] (Introduced 10/14/1978)",Republican,10/14/1978,"Senate - Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",10/14/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative procedure",Congress,"Congressional joint committees","Congressional oversight","Cost effectiveness","Economic impact statements","Economics and Public Finance","Government Operations and Politics","Government paperwork","Government records, documents, and information","Government regulation","Independent regulatory commissions",Law,"Legal fees",,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Regulatory Reduction and Congressional Control Act - <b>Title I:  Congressional Review of Agency Rulemaking</b> - Requires each Federal agency upon promulgating a rule to prepare, publish, and submit to Congress and the General Accounting Office (GAO):  (1) a statement of the need of the rule;  (2) a preliminary analysis of the economic impact of the rule;  (3) an economic impact statement disclosing the costs and benefits expected to result from the rule;  (4) estimates of the paperwork requirements imposed by the rule;  and (5) estimates of the effects of the rule on the operation, workload, and efficiency of the Federal courts. <p>Makes it the responsibility of the Administrator of General Services to enforce prompt publication of such material. <p>States that any such rule shall not become effective if it is disapproved within 60 days by one House of Congress and no action is taken on the disapproval resolution by the other House. <p>Provides that either House of Congress may, by resolution, require any agency to reconsider and resubmit any rule to which this Act applies. Requires that such proposed rule be repromulgated anew in accordance with all the provisions of this Act unless it is reconsidered and resubmitted to Congress within 180 days after the adoption of the resolution requiring such reconsideration. <p>Directs the GAO to:  (1) develop the methods of preparing the preliminary analysis and economic impact statement;  and (3) determine whether the benefits of a rule exceed the costs and report its findings to Congress. <p><b>Title II:  Joint Committee on Administrative Rules Establishment</b> - Establishes, as a joint committee of Congress, the Joint Committee on Administrative Rules to review proposed and existing agency rules.  Directs the committee to report to Congress a resolution of disapproval of a proposed rule or a resolution for reconsideration of an existing rule if estimated costs of the rule exceed its expected benefits, the rule conflicts with or duplicates another rule, or the rule is inconsistent with congressional intent.",,,,,,
"S. 3627",https://www.congress.gov/bill/95th-congress/senate-bill/3627,"95th Congress (1977-1978)","A Bill entitled the ""Science and Technology Research and Development Utilization Policy Act"".","Schmitt, Harrison H. [Sen.-R-NM] (Introduced 10/14/1978)",Republican,10/14/1978,"Senate - Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",10/14/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Awards, medals, prizes","Civil service employment",Claims,"Department of Commerce","Federal advisory bodies","Federal employees","Federal employees and officials","Government contractors","Government Operations and Politics","Government procurement","Government property",Inventions,Licenses,"National Aeronautics and Space Administration","Patent licenses",Patents,"Patents, Trademarks, and Copyrights","Research and development","Research and development contracts","Science and technology","Science, Technology, Communications","Scientists in government","Technological innovations","Technology transfer",,,,,,,,,,,,,,,0,,,,,,,,,"<p><b>Title I:  Policy</b> - Declares the purpose of this Act to be:  (1) to establish and maintain a Federal policy for the use and management of the results of federally sponsored science and technology research and development programs; and (2) to monitor the impact of such programs on innovation and technology development. <p><b>Title II:  Allocation of Rights-Government Contractors</b> - Requires each Federal agency head to acquire on behalf of the United States, title to any invention made or conceived in the course of any contract if it is determined that:  (1) the Government intends to take steps to achieve practical applications of any such inventions; (2) the contract's principal purpose is to develop products, processes, or methods intended for general public use; (3) the contractor's services are for the operation of a Government-owned research or production facility; (4) Government retention of title is necessary for the adequate protection of the public health, safety, or welfare; (5) the Government has been the principal developer in a particular field of science and technology, and acquisition of exclusive rights at the time of contracting might confer on the contractor a preferred or dominant position; (6) the work performed under the contract is of a classified nature; or (7) the commercial interests of the contractor are not sufficiently established. <p>Authorizes an agency head to waive all or any part of the right of the United States to an invention if it is in the interest of the Government and the general public.  Reserves to the contractor the option of acquiring title to any invention in all other situations. <p>Provides that if a contractor has acquired title to an invention the Federal agency may, in the interest of public safety or specified economic needs, require the contractor to grant a nonexclusive, partially exclusive, or exclusive license to a responsible applicant. <p><b>Title III:  Allocation of Rights-Federal Employees</b> - Directs the Government to obtain entire right, title, and interest in and to any invention made by a Federal employee if the agency head determines that the invention was conceived in the normal course of employment duties, unless the Government's interest in such invention is negligible. Provides for a review by the Federal Science and Technology Research and Development Utilization Review Board, if requested, for determination as the right of title.  Authorizes incentive awards to Federal employee-inventors for any inventions of significant value. <p><b>Title IV:  Federal Technology Utilization Program</b> - Directs the Secretary of Commerce, in cooperation with other Federal agencies, to establish a program to assure the utilization and protection of patents or other rights in Government-owned inventions.  Directs each Federal agency to develop and implement programs for the transfer of Government-owned innovative technology for application and use in industry, agriculture, medicine, transportation, and other critical sectors of the economy. <p><b>Title V:  Federal Review Board</b> - Establishes a Federal Science and Technology Research and Development Utilization Review Board to coordinate, direct, and review Federal policy concerning the ownership of inventions resulting from federally sponsored research and development. <p><b>Title VI:  Miscellaneous</b> - Repeals certain existing statutory authorizations to conform to the provisions of this Act. <p>Amends the National Aeronautics and Space Act of 1958 to direct the Administrator of the National Aeronautics and Space Administration to establish an Inventions and Contributions Board to hear, and make findings and recommendations with respect to, every proposal for any waiver of patent rights held by the Administrator. <p>Authorizes appropriations necessary to carry out the provisions of this Act.",,,,,,
"S. 3625",https://www.congress.gov/bill/95th-congress/senate-bill/3625,"95th Congress (1977-1978)","A Bill to provide for the establishment, ownership, operation and regulation of a commercial earth resources information service, utilizing satellites and other technologies, and for other purposes.","Schmitt, Harrison H. [Sen.-R-NM] (Introduced 10/14/1978)",Republican,10/14/1978,"Senate - Commerce, Science, and Transportation","Referred to Senate Committee on Commerce, Science, and Transportation.",10/14/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Communication satellites",Corporations,"Earth resources satellites","Earth science research","Federal Communications Commission",Geology,"Government Operations and Politics","Government records, documents, and information","Information services","National Aeronautics and Space Administration","Research and development","Science and technology",Space,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Earth Resources Information Satellite Act - <b>Title I:  Short Title, Declaration of Policy and Definitions</b> - Declares that it is the policy of the United States to establish a commercial earth resources information service to disseminate timely, continuous and reliable earth resources information. <p><b>Title II:  Implementation of Policy</b> - Directs the President to: (1) aid in the planning, development, and review of the information service; (2) coordinate Government agency activities in the field of earth resources information; and (3) take necessary steps to insure that every Federal entity utilizes the information service.  Directs the National Aeronautics and Space Administration to advise the Federal Communications Commission on technical aspects of the information service and to assist and cooperate with the Earth Resources Information Satellite Corporation established by this Act in developing the information service.  Specifies the duties of the Federal Communications Commission with respect to the information service, including the insurance of fair competition and standards of quality in the earth resources information service. <p><b>Title III:  Creation of an Earth Resources Information Satellite Corporation</b> - Establishes an Earth Resources Information Satellite Corporation for profit which is not an agency or establishment of the United States.  Authorizes the Corporation to plan, initiate, construct, own, manage and operate a commercial earth resources information service.  Enumerates other functions of the Corporation, including ownership and operation of earth resources satellites, receiving stations and information distribution centers. <p><b>Title IV:  Miscellaneous</b> - Directs the Corporation to notify the Department of State when entering into business negotiations with any international or foreign entity. <p>Prohibits any person, other than through official channels, from selling or disclosing to any other person any earth resources information which is compiled by the Corporation. <p>Prescribes sanctions, including injunctive relief, for actions by the Corporation which are inconsistent with the policies set forth in this Act. <p>Directs the President to transmit to Congress each January a description of activities and accomplishments for the preceding year.  Requires the Corporation to make annual reports to the President and Congress concerning its operations, activities, and accomplishments.",,,,,,
"S. 3624",https://www.congress.gov/bill/95th-congress/senate-bill/3624,"95th Congress (1977-1978)","A Bill to amend the Federal Reserve Act to terminate the authority of the Secretary of the Treasury to require the delivery of gold to the Treasurer of the United States.","Helms, Jesse [Sen.-R-NC] (Introduced 10/14/1978)",Republican,10/14/1978,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",10/14/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Economics and Public Finance",Gold,"Gold reserves","Gold standard",Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Federal Reserve Act to terminate the authority of the Secretary of the Treasury to require the delivery of all gold coins, gold bullion, and gold certificates held in the private sector to the Treasurer of the United States.",,,,,,
"S. 3621",https://www.congress.gov/bill/95th-congress/senate-bill/3621,"95th Congress (1977-1978)","A bill to assure greater safety for bicycles parked at Federal office buildings.","Stafford, Robert T. [Sen.-R-VT] (Introduced 10/14/1978)",Republican,10/14/1978,"Senate - Environment and Public Works","Referred to Senate Committee on Environment and Public Works.",10/14/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bicycles,Commuting,"Federal office buildings","General Services Administration","Government Operations and Politics","Parking facilities","Transportation and Travel","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Requires the Administrator of the General Services Administration to provide safe bicycle parking facilities at all buildings under control of the Administrator within one year after the date of enactment of this Act.",,,,,,
"S. 3616",https://www.congress.gov/bill/95th-congress/senate-bill/3616,"95th Congress (1977-1978)","A Bill to permit the Secretary of the Interior to use the chemical compound sodium monofloracetate for the purpose of controlling the population of coyotes on public lands, and for other purposes","Hatch, Orrin G. [Sen.-R-UT] (Introduced 10/13/1978)",Republican,10/13/1978,"Senate - Energy and Natural Resources","Referred to Senate Committee on Energy and Natural Resources.",10/13/1978,"Garn, E. J. (Jake) [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Animals,"Animals and Animal Protection",Chemicals,Coyotes,"Predator control","Public Lands and Natural Resources","Wildlife management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the Secretary of the Interior to purchase and use the chemical compound sodium monofloracetate to control the coyote population on public lands.  Allows the manufacture, interstate shipping, or selling of such compound if it is for the use of the Secretary of the Interior.",,,,,,
"S. 3612",https://www.congress.gov/bill/95th-congress/senate-bill/3612,"95th Congress (1977-1978)","A Bill to amend the Indian Financing Act of 1974, as amended.","Bartlett, Dewey F. [Sen.-R-OK] (Introduced 10/13/1978)",Republican,10/13/1978,"Senate - Indian Affairs (Select)","Referred to Senate Select Committee on Indian Affairs.",10/13/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Authorization,"Credit unions","Economic assistance","Economic development","Economics and Public Finance","Federal aid to Indians","Federal-Indian relations","Federally-guaranteed loans","Finance and Financial Sector","Government and business","Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Indian Financing Act Amendments - Amends the Indian Financing Act of 1974 to include any individual Indians among those for whom the Secretary of the Interior is authorized to guarantee economic development loans. Permits the guarantee under such Act of certain loans made by credit unions without capital stock which are organized and operated for mutual purposes and without profit.  Includes under such Act credit unions among those financial institutions which may make loans without regard to the limitations and restrictions of Federal statutes.  Pledges the full faith and credit of the United States to the fulfillment of loans made under the Indian Loan Guaranty and Insurance Fund and authorized for deposit in the fund such sums as may be necessary for losses incurred in guaranteeing such loans. Authorizes the Secretary to contract to pay and to pay debt service subsidies on loans which are guaranteed or insured under the Indian Financing Act of 1974 and limits the aggregate of such subsidies in any one fiscal year to $10,000,000. Authorizes appropriations not to exceed $10,000,000 per annum in fiscal year 1980 and each fiscal year thereafter for payment of interest and debt service subsidies. <p>Removes funds previously obligated for interest subsidy payments under the Indian Financing Act of 1974 and restores such funds to the unobligated balance of the Indian Loan Guaranty and Insurance Fund.  Extends the authorization of appropriations under such Act through fiscal year 1981. <p>Requires that the annual report to Congress pertaining to the irrigation of Indian lands show all adjustments or eliminations of charges and debts during the preceding fiscal year, and confirms the effectiveness of such adjustments and eliminations made during fiscal year 1977 and earlier years which were duly reported to the Congress.",,,,,,
"S. 3608",https://www.congress.gov/bill/95th-congress/senate-bill/3608,"95th Congress (1977-1978)","A Bill for the relief of Maxine Ann Fricioni.","Heinz, John [Sen.-R-PA] (Introduced 10/13/1978)",Republican,10/13/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",10/13/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the issuance of a visa to an individual and admission for permanent residence in the United States, under the Immigration and Nationality Act.",,,,,,
"S. 3607",https://www.congress.gov/bill/95th-congress/senate-bill/3607,"95th Congress (1977-1978)","A Bill for the relief of Sang Sun Russo.","Heinz, John [Sen.-R-PA] (Introduced 10/13/1978)",Republican,10/13/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",10/13/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the issuance of a visa to an individual and admission for permanent residence in the United States, under the Immigration and Nationality Act.",,,,,,
"S. 3604",https://www.congress.gov/bill/95th-congress/senate-bill/3604,"95th Congress (1977-1978)","A Bill for the relief of Romulo Cayetano and his wife Erlinda Cayetano.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 10/13/1978)",Republican,10/13/1978,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",10/13/1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Declares two individuals lawfully admitted to the United States for permanent residence, under the Immigration and Nationality Act.",,,,,,
