"Downloaded on",03/04/2025,"18:24:24 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2296%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3264",https://www.congress.gov/bill/96th-congress/senate-bill/3264,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to allow a deduction for home-care services provided by a taxpayer to members of the family.","Jepsen, Roger W. [Sen.-R-IA] (Introduced 12/12/1980)",Republican,12/12/1980,"Senate - Finance","Referred to Senate Committee on Finance.",12/12/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Geriatrics,Health,"Home care services","Home repair and improvement","Income tax","Social Welfare","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to allow an income tax deduction for home health care expenditures for: (1) medical care for elderly family members, or services enabling such individuals to live in the taxpayer's principal residence rather than an institution; and (2) the construction, reconstruction, or renovation of such residence to remove barriers which would prevent such individuals from living in such residence.",,,,,,
"S. 3257",https://www.congress.gov/bill/96th-congress/senate-bill/3257,"96th Congress (1979-1980)","A bill for the relief of Joon Ho Lim.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 12/05/1980)",Republican,12/05/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",12/05/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3247",https://www.congress.gov/bill/96th-congress/senate-bill/3247,"96th Congress (1979-1980)","A bill to declare and recognize the vital importance of ports and harbors to this country's economy and national defense, and the world's economy and energy self-sufficiency, and to authorize expeditious construction of essential river and harbor improvements in order to promote domestic commerce and U.S. export capabilities for coal and other commodities.","Warner, John [Sen.-R-VA] (Introduced 12/05/1980)",Republican,12/05/1980,"Senate - Environment and Public Works","Referred to Senate Committee on Environment and Public Works.",12/05/1980,"Heinz, John [Sen.-R-PA]","Heflin, Howell [Sen.-D-AL]","Johnston, J. Bennett [Sen.-D-LA]","Stennis, John C. [Sen.-D-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Alabama,"Environmental assessment","Environmental Protection",Harbors,Louisiana,Navigation,"River regulation","Ships and shipping","Transportation and Public Works",Virginia,"Water and Water Resources Development",Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Ports and Navigation Improvement Act of 1980 - Directs the Secretary of the Army, acting through the Chief of Engineers, to undertake, on an expedited and priority basis, navigation improvements to: (1) Norfolk Harbor and Channels, Virginia; (2) Mobile Harbor, Alabama, and (3) Deep-draft access to the Ports of New Orleans and Baton Rouge, Louisiana. <p>Requires the Chief of Engineers, within one year of the date of enactment of this Act, to submit to Congress a final environmental impact statement for each such project demonstrating compliance with the National Environmental Policy Act of 1969, the Clean Water Act, the Fish and Wildlife Coordination Act, and other statutory requirements as determined to be pertinent by the Chief of Engineers. States that in the event that Congress does not disapprove such final environmental impact statement by concurrent resolution, within a 60 calendar day period of receipt, it shall constitute a finding and determination by Congress that the policies, purposes, and requirements of said statutes have been satisfied in connection with the navigation improvement. <p>Authorizes the Chief of Engineers to develop, improve and maintain the Nation's rivers, harbors, and other waterways, at such depths and dimensions and with such facilities, determined to be economically justified and engineeringly feasible, and otherwise sufficient to insure the safe and efficient conduct of defense transportation or foreign and domestic commerce. Requires the Chief of Engineers, prior to initiation of any such work, to submit to Congress a final environmental impact statement for such improvements. Requires each such statement to be submitted to Congress within one year of the date of the completion of the draft environmental impact statement.  Declares that the absence of Congressional disapproval shall constitute a finding and determination by Congress that all environmental statutes have been satisfied in connection with the navigation improvement. <p>Declares that environmental impact statements for such projects and improvements authorized by this Act, findings and determinations by Congress, and actions to carry out such projects and improvements shall not be suject to judicial review except that: (1) claims alleging the invalidity of this Act may be brought within 60 days following its enactment; (2) claims alleging the inadequacy of a final environmental impact statement transmitted to Congress pursuant to provisions of this Act may be brought with 60 days following the date of a finding and determination by Congress; and (3) claims alleging that an action to carry out projects and improvements authorized by this Act will deny rights under the Constitution, or that such action is beyond the scope of authority conferred by this Act, may be brought within 60 days following the date of such action.",,,,,,
"S. 3245",https://www.congress.gov/bill/96th-congress/senate-bill/3245,"96th Congress (1979-1980)","A bill to modify federal restrictions with regard to discrimination in clinical investigations involving prisoners as subjects.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 12/04/1980)",Republican,12/04/1980,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",12/04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food","Civil Rights and Liberties, Minority Issues","Corrections and Correctional Institutions","Drug safety and regulation","Drugs and narcotics","Food and Food Industry","Government regulation","Pharmaceutical research",Prisoners,"Research and development","Rights of institutionalized persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Nullifies the regulations entitled ""Protection of Human Subjects:  Prisoners Used as Subjects of Research"", promulgated by the Commissioner of Food and Drugs (21 Code of Federal Regulations part 50).",,,,,,
"S. 3244",https://www.congress.gov/bill/96th-congress/senate-bill/3244,"96th Congress (1979-1980)","A bill to amend the Older Americans Act of 1965 to provide special emphasis for employment opportunities for the elderly with skills relating to home repair, to provide for demonstration projects under which private business is encouraged to employ the elderly for the installation of security devices in their residences, and for other purposes.","Jepsen, Roger W. [Sen.-R-IA] (Introduced 12/04/1980)",Republican,12/04/1980,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",12/04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Crime prevention","Crimes against the elderly","Employer incentives","Home repair and improvement","Housing for the aged","Labor and Employment","Older workers","Social Welfare","Housing and Housing Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Older Americans Amendments of 1980 - Amends the Older Americans Act of 1965 to direct the Commissioner of the Administration on Aging to give special consideration through the grants to States program to projects for the installation of security devices or structural modifications to prevent unlawful entry into residences of elderly individuals. <p>Permits the Secretary of Health and Human Services to make grants to employers to pay part of the cost of developing and implementing model projects utilizing the talent of older individuals in the area of home repairs.",,,,,,
"S. 3243",https://www.congress.gov/bill/96th-congress/senate-bill/3243,"96th Congress (1979-1980)","A bill to amend the Home Energy Assistance Act of 1980 to assure that double payments for home energy assistance are not made on behalf of tenants in housing projects assisted by Federal, State, or local governments, and for other purposes.","Jepsen, Roger W. [Sen.-R-IA] (Introduced 12/04/1980)",Republican,12/04/1980,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",12/04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Energy,"Energy prices",Fuel,"Housing and Housing Finance","Intergovernmental relations","Low-income housing","Public Welfare and Charities","Public assistance programs","Public housing","Residential utility cost relief programs",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Home Energy Assistance Act of 1980 to require that a State home energy assistance plan include procedures to prevent the payment of such assistance for tenants in housing projects who already receive such assistance under any other Federal, State, or local law.",,,,,,
"S. 3242",https://www.congress.gov/bill/96th-congress/senate-bill/3242,"96th Congress (1979-1980)","A bill to amend the older Americans Act of 1965 to assure that nutrition projects under that Act may include  meals in a congregate setting or home delivered meals, or both, and for other purposes.","Jepsen, Roger W. [Sen.-R-IA] (Introduced 12/04/1980)",Republican,12/04/1980,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",12/04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Food and Food Industry","Home care services","Nutrition policy","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Older Americans Amendments of 1980 - Amends the Older Americans Act of 1965 to require each State plan to provide for either congregate setting or home delivered meals based upon a determination of need.",,,,,,
"S. 3241",https://www.congress.gov/bill/96th-congress/senate-bill/3241,"96th Congress (1979-1980)","A bill for the relief of Emanuel F. Lenkersdorf.","Jepsen, Roger W. [Sen.-R-IA] (Introduced 12/04/1980)",Republican,12/04/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",12/04/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3238",https://www.congress.gov/bill/96th-congress/senate-bill/3238,"96th Congress (1979-1980)","A bill to encourage film corporations to donate certain historical film to educational organizations by increasing the limit on the charitable contribution deduction of such corporations.","Thurmond, Strom [Sen.-R-SC] (Introduced 12/03/1980)",Republican,12/03/1980,"Senate - Finance","Referred to Senate Committee on Finance.",12/03/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Arts, Culture, Religion","Charitable contributions",Corporations,"Corporations and Stocks","Income tax","Motion pictures","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8137,,,,Senate,,"09/17/1980 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Internal Revenue Code to increase the charitable contribution deduction of a film corporation which donates to a charitable organization historical motion picture film and library materials directly related to such film to 30 percent of such corporation's taxable income.",,,,,,
"S. 3237",https://www.congress.gov/bill/96th-congress/senate-bill/3237,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code to provide for inflation adjustments.","Durenberger, Dave [Sen.-R-MN] (Introduced 12/03/1980)",Republican,12/03/1980,"Senate - Finance","Referred to Senate Committee on Finance.",12/03/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce","Capital gains tax","Congressional budget","Corporation taxes",Corporations,"Corporations and Stocks","Cost of living adjustments","Depreciation and amortization","Economics and Public Finance","Federal budgets","Gross national product","Income tax","Indexing (Economic policy)",Inflation,"Personal income tax","Tax deductions","Tax exemption","Tax rates",Taxation,"Withholding tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p><b>Title I:</b>  Amends the Internal Revenue Code to require an annual cost-of-living adjustment, based on the Consumer Price Index (CPI), to the individual income tax rates, the personal exemption amount, and the withholding tables. <p><b>Title II:</b>  Requires annual inflation adjustments (based on gross national product deflator adjustments) to corporate income tax rates. <p><b>Title III:</b>  Requires inflation adjustments (based on the CPI) to specified capital assets for purposes of determining gain or loss. <p><b>Title IV:</b>  Eliminates the declining balance and sum-of-the-years digits methods of computing allowable depreciation expenses.  Limits deductions for such depreciation to amounts determined by a replacement cost straight line method, as formulated by this Act, or by any other consistent method which does not yield an amount which exceeds the total amount allowed under the property's useful life.  Revises the formula for the adjusted basis for determining property gain. <p><b>Title V:</b>  Declares that it is the sense of the Senate that the Committee on the Budget shall report a fiscal year 1982 Federal budget which: (1) is balanced in accordance with the adopted Congressional Budget; and (2) reserves any surplus for tax reductions, particularly such reductions as may be necessary to reduce Federal outlays for fiscal year 1982 to 21 percent of the gross national product.",,,,,,
