"Downloaded on",03/05/2025,"13:27:53 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2297%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3121",https://www.congress.gov/bill/97th-congress/senate-bill/3121,"97th Congress (1981-1982)","A bill entitled the ""Joint Research and Development Ventures Act.""","Hart, Gary W. [Sen.-D-CO] (Introduced 12/20/1982)",Democratic,12/20/1982,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",12/20/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Antitrust law","Antitrust policy","Business and commerce",Commerce,"Courts and Civil Procedure","Freedom of information","Government and business","Government records, documents, and information",Inventions,"Lawyers and legal services","Legal fees",Licenses,"Patent licenses",Patents,"Patents, Trademarks, and Copyrights","Research and development","Science and technology","Science, Technology, Communications","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Joint Research and Development Ventures Act - Allows U.S. firms to conduct cooperative research and development programs by establishing qualified joint research and development ventures which shall be exempt from the antitrust laws. <p>Includes as a U.S. firm any entity controlled by foreign firms or citizens if their nation provides U.S. firms and citizens equivalent access to research and development efforts in that nation. <p>States the requirements for qualified ventures, including:  (1) the use of identical terms for the same levels of participation by firms; (2) the identification of each research and development program to be conducted, and the contributions required, for a firm's participation in each program; and (3) a finding by the Department of Commerce that the participation of any firm that accounts for a large specified percentage of worldwide industry sales of a product is critical to the program's success, is in the national interest, and will not directly affect future production of such product; and (4) the notification of the Attorney General and the Department of Commerce of the formation of a venture, the parties to the venture, the programs to be conducted, the participants in the programs, and agreements under the venture. <p>Limits a venture's activities to conducting one or more research and development programs (including programs in which universities participate) which are projected to be completed within ten years after their inception. Declares that a participant in a venture shall not be subject to restrictions on its own research and development activities or its exploitation of inventions resulting from the venture's findings. <p>Vests authority for the management of a venture in a management board composed of one representative of each venture participant and at least three U.S. citizens representing nonparticipants. Directs each board to establish criteria for the selection of research and development programs, the admission or withdrawal of participants, and the licensing of venture technology.  Specifies information to be considered by the board in establishing such criteria. <p>Declares that the venture shall retain title to all inventions, patents, and know-how. Entitles any firm that is a participant in a program when an invention is discovered to irrevocable, nonexclusive, and equivalent licenses to all patents and know-how. Provides for rewarding participants according to the risks each assumed.  Requires licenses to be made available to nonparticipant firms after the participants have held their licenses for three years.  Directs the venture to collect any royalties on behalf of the participants.  Permits the venture to retain part of the royalties as may be agreed to by the participants. <p>Requires a venture to update its notice of formation annually if necessary. <p>Grants qualified ventures, participants, and employees thereof immunity from Federal and State antitrust laws.  Directs a court to award a defendant the costs of defending against a claim brought under the antitrust laws against a venture if the venture meets the requirements of this Act or the alleged conduct does not violate antitrust laws. <p>Provides for the investigation of ventures by the Attorney General.  Directs the Attorney General to:  (1) notify a venture of the actions, if any, it must take to meet the requirements of this Act; and (2) commence a court action to dissolve a venture that fails to take such actions.  Permits an aggrieved party to appeal an adverse court determination.  Exempts from disclosure under the Freedom of Information Act any information generated under such investigation or court action.  Declares that a determination by the Attorney General, or by the district court, or by the court of appeals shall not be admissible as evidence in an administrative or judicial proceeding in support of any claim under the antitrust laws.",,,,,,
"S. 3119",https://www.congress.gov/bill/97th-congress/senate-bill/3119,"97th Congress (1981-1982)","A bill to extend until October 1, 1988, the authority for advances to the migratory bird conservation fund.","Pryor, David H. [Sen.-D-AR] (Introduced 12/19/1982)",Democratic,12/19/1982,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",12/19/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Animals and Animal Protection",Authorization,Birds,"Department of the Treasury","Economics and Public Finance","Environmental Protection","Government trust funds","Migratory bird conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6411,,,,,CRS,Senate,,"05/25/1982 Subcommittee Hearings Held.",,,,"<p>Extends through September 30, 1988, (currently, September 30, 1983) the authority for advances to the migratory bird conservation fund.",,,,,,
"S. 3114",https://www.congress.gov/bill/97th-congress/senate-bill/3114,"97th Congress (1981-1982)","A bill to amend the Act of March 3, 1869, incorporating the Masonic Mutual Relief Association of the District of Columbia, now known as Acacia Mutual Life Insurance Company, and Acts amendatory thereto.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 12/17/1982)",Democratic,12/17/1982,"House - Judiciary","Referred to Subcommittee on Administrative Law and Governmental Relations.",12/20/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce","Corporations and Stocks","Federal incorporation","Government Operations and Politics",Insurance,"Life insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Revises provisions governing the meetings, officers, and board of directors of the Acacia Mutual Life Insurance Company, a federally-chartered corporation.",,,,,,
"S. 3112",https://www.congress.gov/bill/97th-congress/senate-bill/3112,"97th Congress (1981-1982)","A bill to establish an Art Bank.","Pell, Claiborne [Sen.-D-RI] (Introduced 12/17/1982)",Democratic,12/17/1982,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",12/17/1982,"Stafford, Robert T. [Sen.-R-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Art,"Art and state","Arts, Culture, Religion","Executive reorganization","Government Operations and Politics","National Foundation on the Arts and the Humanities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>National Art Bank Act of 1983 - Establishes within the National Endowment for the Arts an Art Bank headed by a Director chosen by the Chairman of the Endowment. <p>Authorizes the Director to:  (1) appoint ad hoc juries of artists and art experts to assist in the selection of visual works of art;  (2) select works of art with such juries' assistance;  (3) provide for their safety; (4) make them available for loan to Federal supervisory authorities and to museums;  (5) require those who receive fellowships in the visual arts from the Endowment to donate one of their works to the Art Bank;  and (6) sponsor exhibitions. <p>Requires the Director, when selecting work for purchase, to consider the quality of the work and the need to encourage unknown and geographically disparate artists. <p>Authorizes appropriations for FY 1984-1986.",,,,,,
"S. 3111",https://www.congress.gov/bill/97th-congress/senate-bill/3111,"97th Congress (1981-1982)","A bill to amend title 5 of the United States Code to prohibit ambassadors and ministers from making political contributions and taking part in political campaigns.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 12/17/1982)",Democratic,12/17/1982,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",12/17/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Campaign funds","Department of State",Diplomats,"Federal employees and officials","Foreign service","Government employees' political activities","International Affairs","Political activities",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Hatch Act to prohibit ambassadors and ministers from making political contributions and taking part in political campaigns.",,,,,,
"S. 3110",https://www.congress.gov/bill/97th-congress/senate-bill/3110,"97th Congress (1981-1982)","A bill to establish a Reconstruction Finance Corporation.","Hollings, Ernest F. [Sen.-D-SC] (Introduced 12/17/1982)",Democratic,12/17/1982,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",12/17/1982,"Pryor, David H. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Business and commerce",Commerce,"Corporations and Stocks","Federally-assisted loans","Government and business","Government corporations","Government Operations and Politics",Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Reconstruction Finance Corporation Act of 1982 - Establishes the Reconstruction Finance Corporation (RFC). <p>Sets forth the composition of the Board of Directors of the RFC. <p>Sets forth the general powers of the RFC. <p>Authorizes the RFC to provide assistance, in the forms and under the terms and conditions set forth in this Act, to any eligible business concern. Defines ""business concern"" as any individual, corporation, company, association, firm, partnership, society, or other concern that is engaged in the manufacture or production of goods and services in the United States. <p>Makes a business concern eligible for assistance when the Board of Directors has certified that the concern is likely to become insolvent, that its closure would adversely and severely affect the economy of the United States or any sizable region thereof, and that credit is not otherwise available to the concern on terms and conditions that are conducive to its survival. <p>Sets forth the conditions under which the RFC may make loans to any eligible business concern, or guarantee the payment, in whole or in part, of interest, principal, or both, on loans made by non-Federal lenders. <p>Authorizes the RFC to extend aid, under the terms and conditions set forth in this Act, to any eligible municipality. Declares that a municipality is eligible for aid if the Board has certified that the municipality is effectively unable to bring all of its expenditures, other than capital items, into balance with its revenues and to obtain credit in the public credit markets or elsewhere in amounts and terms sufficient to meet the municipality's financing needs. <p>Sets forth the conditions under which the RFC may, in the discretion of its Board, lend money to any eligible municipality, or guarantee the payment, in whole or in part, of interest, principal, or both, on loans made by non-Federal lenders to such municipality. <p>Limits the aggregate amount of assistance provided under this Act to any one business concern and its subsidiary or affiliated business entities, or any one municipality.  Sets forth the terms and conditions for loans and loan guarantees under this Act. <p>Prohibits any fee or commission from being paid by any applicant for a loan or a guarantee under this Act or in connection with any such application or any loan or a guarantee made under this Act. <p>Prohibits any of the loans guaranteed under this Act from being eligible for purchase by sale or issuance to the Federal Financing Bank or any other Federal agency or department or concern owned in whole or in part by the United States. <p>Provides for the capitalization of the RFC. <p>Sets forth provisions concerning: (1) the deposit of RFC moneys not otherwise employed; (2) the issuance of notes, debentures, and bonds; and (3) the sales of RFC obligations to the Treasury and public-debt transactions. <p>Exempts any and all obligations issued by the RFC both as to principal and interest from all taxation (except surtaxes, estate, inheritance, and gift taxes). <p>Exempts the RFC, including its franchise, its capital, reserves, and surplus, and its income from all taxation, except that any real property of the RFC shall be subject to State and local real property tax. <p>Permits the RFC, when designated for that purpose by the Secretary: 1) to be a depository of public money; (2) to be employed as a  financial agent of the government; and (3) to perform all such reasonable duties as may be required of it. <p>Authorizes various Federal agencies to cooperate with the RFC in order to carry out the provisions of this Act. <p>Requires the RFC to make and publish a quarterly report, the first of which shall be made not later than January 1, 1984, of its operations to Congress.  Sets forth the information to be included in such report. <p>Provides for audits of the financial transactions of the RFC. <p>Sets forth criminal provisions concerning: (1) willful misrepresentations to the RFC; (2) counterfeiting and other mishandling of RFC obligations; (3) defrauding the RFC, its auditors, or the public; and (4) use of the words ""Reconstruction Finance Corporation"" by others. <p>Authorizes appropriations as necessary to carry out the provisions of this Act.",,,,,,
"S. 3109",https://www.congress.gov/bill/97th-congress/senate-bill/3109,"97th Congress (1981-1982)","A bill to improve federal criminal sentencing by imprisoning dangerous and violent offenders and by diverting non-violent offenders from imprisonment to restitution of community programs.","Nunn, Sam [Sen.-D-GA] (Introduced 12/17/1982)",Democratic,12/17/1982,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",12/17/1982,"Armstrong, William L. [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Corrections,"Corrections and Correctional Institutions","Crime and Law Enforcement","Criminal procedure and sentencing","Department of the Treasury","Government trust funds","Rehabilitation of criminals","Sentences (Criminal procedure)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Sentencing Improvement Act of 1982 - Amends the Federal criminal code to declare that imprisonment is an appropriate sanction for offenders who demonstrate by their offense or by their criminal history that they present a danger to society.  States that imprisonment is inappropriate where the court finds that the offense does not involve the threat or use of force, endanger national security or threaten or cause serious physical harm to others. <p>Requires a court, when imprisonment, fine, and probation are inappropriate, to direct the defendant to make restitution or perform community service.  Entitles the ascertainable victim to receive restitution, or if no victim is known, allows the defendant to contribute to the Treasury an amount not exceeding the value of his or her gain from the commission of the crime.  Authorizes the Treasurer of the United States to hold such moneys in a Victim Fund. <p>Defines the nature of the sentence of community service.  Allows the defendant to perform a specified number of hours of free service to governmental, charitable, or volunteer agencies. <p>Allows for the modification or waiver of payment or performance of an alternative sentence upon petition by the defendant or a victim. <p>Establishes a list of considerations the court must make in determining restitution or community service, such as:  (1) the amount of the victim's loss; (2) the defendant's ability to pay; and (3) the defendant's criminal history.",,,,,,
"S. 3108",https://www.congress.gov/bill/97th-congress/senate-bill/3108,"97th Congress (1981-1982)","A bill to clarify the eligibility of small agricultural cooperatives for assistance under section 7(b)(2) of the Small Business Act.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 12/16/1982)",Democratic,12/16/1982,"Senate - Small Business","Read twice and referred to the Committee on Small Business.",12/16/1982,"Tower, John G. [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agricultural cooperatives","Agricultural societies","Agriculture and Rural Affairs","Business and commerce",Commerce,"Disaster relief","Disasters and Disaster Relief","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Small Business Act to define ""small agricultural cooperative"", for purposes of eligibility for disaster loans under such Act, as an association:  (1) acting pursuant to the Agriculture Marketing Act; (2) whose receipts do not exceed the size standard established for other agricultural small business concerns; and (3) whose board members or governing members each qualify as a small business concern.",,,,,,
"S. 3105",https://www.congress.gov/bill/97th-congress/senate-bill/3105,"97th Congress (1981-1982)","A bill to modify the judicial districts of West Virginia, and for other purposes.","Byrd, Robert C. [Sen.-D-WV] (Introduced 12/16/1982)",Democratic,12/16/1982,,"Became Public Law No: 97-471.",01/14/1983,"Randolph, Jennings [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Courts and Civil Procedure","District courts",Law,"West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3081,,,,,CRS,,,"12/20/1982 Other Measure S.3105 Passed House in Lieu.",,,,"<p>Transfers Wood and Wirt Counties to the Southern Judicial District of West Virginia and Braxton, Pocahontas, and Webster Counties to the Northern Judicial District of West Virginia. <p>Provides that Parkersburg shall be a location for the District Court for the Southern District of West Virginia (currently, Parkersburg is a location for the District Court for the Northern District of West Virginia).",,,,,,
"S. 3102",https://www.congress.gov/bill/97th-congress/senate-bill/3102,"97th Congress (1981-1982)","A bill to amend title 28 of the United States Code to set up a regime of repose for certain archeological and ethnological material and cultural property.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 12/14/1982)",Democratic,12/14/1982,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",12/14/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Arts, Culture, Religion","Cultural relations","International Affairs","International relations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Cultural Property Repose Act of 1982 - Prohibits a foreign state from bringing an action in any U.S. or State court to recover possession of or obtain damages related to any archaeological or ethnological material or any article of cultural property which has been in the United States for five years. <p>Applies such prohibition to pending court proceedings.",,,,,,
