"Downloaded on",03/05/2025,"13:27:26 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2298%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3096",https://www.congress.gov/bill/98th-congress/senate-bill/3096,"98th Congress (1983-1984)","A bill to amend section 412 of the Federal Food, Drug, and Cosmetic Act, relating to the regulation of infant formula.","Metzenbaum, Howard M. [Sen.-D-OH] (Introduced 10/12/1984)",Democratic,10/12/1984,"Senate - Labor and Human Resources","Committee on Labor and Human Resources requested executive comment from Health and Human Services Department, OMB.",10/23/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Child health","Child nutrition","Children and youth","Consumer protection","Food adulteration and inspection","Food and Food Industry",Health,"Infant formulas","Product safety",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Infant Formula Amendments of 1984 - Amends the Federal Food, Drug, and Cosmetic Act to require the Secretary of Health and Human Services to establish uniform infant formula quality control regulations. <p>Requires manufacturers to test each batch of formula for required nutrients and nutrient levels prior to sale and periodically thereafter.",,,,,,
"S. 3092",https://www.congress.gov/bill/98th-congress/senate-bill/3092,"98th Congress (1983-1984)","A bill to establish a special magistrate with jurisdiction over Federal offenses within Indian country and to authorize tribal and local police officers to enforce Federal laws within their respective jurisdictions, and for other purposes.","Melcher, John [Sen.-D-MT] (Introduced 10/11/1984)",Democratic,10/11/1984,"Senate - Indian Affairs (Permanent Select)","Committee on Indian Affairs. Hearings held at Great Falls, Mt. Hearings printed:  S.Hrg. 98-1282.",01/03/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Courts and Civil Procedure","Crime and Law Enforcement","Federal-Indian relations","Indian courts","Judicial officers","Law enforcement officers","Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Indian Reservation Special Magistrate and Law Enforcement Act of 1984 - Amends the judicial code to provide for the Presidential appointment of special magistrates to serve on Indian reservations and specified Indian areas which are under Federal criminal jurisdiction.  Sets forth the qualification and compensation of such magistrates.  Specifies their jurisdiction and powers. <p>Prescribes procedural guidelines for defendants appearing before such special magistrates. <p>Authorizes certain law enforcement officers, including tribal police and Bureau of Indian Affairs police, to execute orders issued by the special magistrate in criminal cases within Indian country. <p>Provides special magistrates with periodic training conducted by the Federal Judicial Center. <p>Authorizes appropriations.",,,,,,
"S. 3087",https://www.congress.gov/bill/98th-congress/senate-bill/3087,"98th Congress (1983-1984)","A bill for the relief of Sukhjit Kuldip Singh Saund.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 10/11/1984)",Democratic,10/11/1984,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/11/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3084",https://www.congress.gov/bill/98th-congress/senate-bill/3084,"98th Congress (1983-1984)","A bill to amend part A of title IV of the Social Security Act to provide for grants to States for programs to assist pregnant teenagers and teenage mothers who might otherwise become long-term recipients of aid to families with dependant children.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 10/10/1984)",Democratic,10/10/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department, Health and Human Services Department.",10/16/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Aid to dependent children","Children and youth","Domestic Relations and Families",Dropouts,Education,"Educational policy","Employment and training programs",Families,"Government paperwork","Government records, documents, and information",Illegitimacy,"Information services","Labor and Employment","Social Welfare","Teenage pregnancy","Unmarried mothers","Vocational guidance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Amends part A (Aid to Families with Dependent Children) of title IV of the Social Security Act to direct the Secretary of Health and Human Services to make grants to States to assist in carrying out programs which:  (1) prevent long-term dependency upon AFDC; (2) permit pregnant teenagers and teenage mothers to remain in school; (3) provide job counseling, employment readiness, job placement, and academic and vocational education services to pregnant teenagers and teenage mothers; and (4) integrate and coordinate services otherwise available to pregnant teenagers and teenage mothers. Sets forth:  (1) requirements a State must meet in order to receive a grant; and (2) reporting requirements. <p>Directs the Secretary to establish a systematic reporting system capable of yielding comprehensive data on which service figures and program evaluations shall be based.  Requires the Secretary to report annually to Congress. <p>Authorizes appropriations.",,,,,,
"S. 3082",https://www.congress.gov/bill/98th-congress/senate-bill/3082,"98th Congress (1983-1984)","A bill to provide financial assistance to institutions of higher education for partnership programs with business concerns for basic research in new technology.","Biden, Joseph R., Jr. [Sen.-D-DE] (Introduced 10/10/1984)",Democratic,10/10/1984,"Senate - Labor and Human Resources","Committee on Labor and Human Resources requested executive comment from Health and Human Services Department, National Science Foundation, GAO, OMB.",10/23/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce",Education,"Federal aid to research","Government and business","Higher education","Research and development","Research centers","Research grants","Science and technology","Science, Technology, Communications","Technology policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Partnerships in Research Act - Authorizes the National Science Foundation to make grants to institutions of higher education to pay the Federal share of the costs of basic research projects designed to enhance new technologies. <p>Authorizes appropriations for FY 1985 through 1987 for such purpose. <p>Allows an institution of higher education to use payments received under this Act in any fiscal year for such purpose. <p>Requires the Director of the Foundation, for purposes of this Act, to prepare and publish in each fiscal year in the Federal Register a list of new technologies. <p>Sets forth application requirements for such grants.  Requires that the non-Federal share of project costs be furnished by businesses. <p>Directs the Foundation to establish criteria for approval of applications and to adopt approval procedures designed to assure equitable distribution of such grants among the States and among types of institutions of higher education making applications. <p>Directs the Foundation to pay a Federal share not to exceed 50 percent of project cost for each fiscal year.  Allows the non-Federal share to be in cash or in kind. Limits to not more than two percent the portion of appropriations under this Act in any fiscal year which may be paid to any single institution of higher education.",,,,,,
"S. 3081",https://www.congress.gov/bill/98th-congress/senate-bill/3081,"98th Congress (1983-1984)","A bill to provide greater protection from civil liability for Federal law enforcement and investigative officers.","Biden, Joseph R., Jr. [Sen.-D-DE] (Introduced 10/10/1984)",Democratic,10/10/1984,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/10/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative responsibility","Civil service employment","Constitutional law","Courts and Civil Procedure",Damages,"District courts","Federal employees","Federal employees and officials","Government liability","Government Operations and Politics",Jurisdiction,"Liability (Law)",Torts,"Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Law Enforcement and Investigative Officers Civil Liability Protection Act of 1984 - Amends the Federal judicial code to grant certain Federal district courts exclusive jurisdiction of civil claims against the United States for certain injuries or losses caused by an investigative or law enforcement officer while acting within the scope of employment but in violation of the Constitution. <p>Empowers the head of each Federal agency to determine claims for money damages against the United States for such injuries or loss. <p>Increases from $25,000 to $50,000 the maximum amount which an agency head may award without prior written approval of the Attorney General. <p>Makes the United States liable for injuries or loss caused by an investigative or law enforcement officer while acting within the scope of employment but in violation of the Constitution.  Provides criteria for the measure of damages based upon certain circumstances and the conduct of the offending officer.  Requires that claims for such injuries must first be presented and denied by the appropriate Federal agency before the claims may be brought against the United States. <p>Makes the remedies provided under this Act exclusive of any other civil action.  Deems such remedies an equally effective substitute for recoveries sought under the Constitution against the Federal employee in an individual capacity. <p>Requires substitution of the United States as the party defendant upon certification by the Attorney General that the defendant Federal employee was acting within the scope of employment. <p>Subjects Federal employees to administrative investigation or disciplinary action if their actions in violation of the Constitution result in a judgment against the United States or a settlement paid by the United States. <p>States that Federal torts claims procedure shall not apply to:  (1) non-Constitutional claims; and (2) Constitutional claims arising from the activities of certain Federal instrumentalities. <p>Retains the right of a plaintiff to a jury trial where a civil action is brought against a Federal employee in his individual capacity.",,,,,,
"S. 3071",https://www.congress.gov/bill/98th-congress/senate-bill/3071,"98th Congress (1983-1984)","A bill to establish the Agency for Technology Innovation.","Tsongas, Paul E. [Sen.-D-MA] (Introduced 10/05/1984)",Democratic,10/05/1984,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",10/05/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Department of Commerce","Department of Energy","Educational technology",Energy,"Energy conservation","Executive reorganization","Federal-local relations","Government Operations and Politics","Government records, documents, and information",Grants-in-aid,"Industrial engineering","Information services",Inventions,"Local and Municipal Government","Manpower training programs","Manufacturing industries","National Science Foundation",Patents,"Product development","Research and development","Research centers","Science and technology","Science, Technology, Communications","Scientific education","Small Business Administration","Small business","Technical education","Technological innovations","Technology transfer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Agency for Technological Innovation Act of 1984 - <b>Title I:  General Provisions</b> - Sets forth the findings and purposes of this Act. <p><b>Title II</b> - Establishes the Agency for Technological Innovation, composed of:  (1) the Office of Innovation Policy; (2) the Office of Program Evaluation and Development; (3) the National Innovation Board; (4) the Interagency Coordinating Council on Innovation; (5) the Directorate for Human and Organizational Resources; (6) the Directorate for Enterprise Development; (7) the Directorate for Production Research and Development; and (8) the Directorate for Information and Technology Transfer.  Requires the Agency to be headed by a Director. <p>Requires the Director, through the Assistant Director of Innovation Policy, to:  (1) conduct research, studies, and analyses  relating to technological innovation; (2) publish the results of such research, etc. in appropriate publications; and (3) report to Congress on current technological innovation issues by January 1 of each year. <p>Requires the Director, through the Office of Program Evaluation and Development, to:  (1) develop and assess programs supported and conducted by the Agency; and (2) conduct research on the process of technological innovation. <p>Requires the National Innovation Board to provide advice and assistance to the Director concerning the policies and programs of the Agency.  Provides organizational rules and authorities for the Board. <p>Requires the Interagency Coordinating Council on Innovation to prepare and transmit to the Director every three months a report concerning its activities, together with certain recommendations. <p>Provides that the Directorate for Human and Organizational Resources shall be composed of:  (1) the Division of Technical Education; (2) the Division of Manpower Training; and (3) the Division of Managerial Innovation.  Outlines certain responsibilities of the Director within each such Division, including the evaluation of certain programs and the making of appropriate grants for technical training and educational programs. <p>Requires the Directorate for Enterprise Development to be composed of:  (1) the Division of Cooperative Research and Development; (2) the Division of State and Local Initiatives; (3) the Division of Small Business Innovation; and (4) the Division of Capital Resources for Innovation.  Requires the Director to:  (1) study the development and formation of new enterprises; (2) make grants toward the development of cooperative enterprises; and (3) promote successful models for the development of new enterprises.  Outlines certain responsibilities of the Director within each such Division, including evaluating and assessing of certain programs, making appropriate grants, coordinating research programs, and providing certain technical assistance. <p>Provides that the Directorate for Production Research and Development shall be composed of:  (1) the Division of Manufacturing Technology; (2) the Division of Process Technology; and (3) the Division of Sociotechnical Design.  Requires the Director to:  (1) study and evaluate the state of the American manufacturing and process technologies; (2) provide guidance and financial assistance to appropriate learning institutions for curriculum development and equipment acquisition in order to improve such technologies; and (3) make appropriate grants toward the development of such technologies.  Outlines certain responsibilities of the Director within each such Division, including the support of studies and research in manufacturing and process technologies and technological innovation impacts. <p>Provides that the Directorate for Information and Technology Transfer shall be composed of:  (1) the Division of Mission-Oriented Transfer; and (2) the Division of Information Systems.  Requires the Director to disseminate information concerning, and to promote the successful use of, new products and technology.  Outlines certain responsibilities of the Director within each such Division, including the identification and promotion of products, processes, inventions, and patents representing new technology, and the establishment, operation, and promotion of centers for technical information relating to technological innovation. <p><b>Title III:  Transfers</b> - Transfers to the Director all functions of the National Science Foundation with respect to or administered through: (1) the Division of Policy Research and Analysis of the Foundation; and (2) the Division of Industrial Science and Technological Innovation of the Foundation. Transfers also to the Director all functions of the National Science Foundation relating to:  (1) the enhancement of scientific and technological resources of State and local governments; and (2) the study and evaluation of programs providing technical training to entry level employees and the impact of such programs on promoting the adjustment of such employees to technological innovation. <p>Transfers to the Director all functions of the Secretary of Commerce with respect to or administered through:  (1) the Assistant Secretary of Commerce for Productivity, Technology, and Innovation; (2) the Director of the National Technical Information Service; and (3) the Director of the Center for the Utilization of Federal Technology. <p>Transfers to the Director all functions of the following:  (1) the Secretary of Commerce relating to identification, promotion, and licensing of inventions developed by Federal agencies; (2) the Secretary of Energy relating to the identification and promotion of exemplary inventions relating to the development, production, and conservation of energy; and (3) the Administrator of the Small Business Administration relating to the small business innovation research program under the Small Business Act. <p><b>Title IV: Administrative Provisions</b>  - Outlines administrative authorities of the Director in carrying out functions under such Act.  Requires the Director to submit an annual report on Agency activities to the President for transmission to Congress. <p><b>Title V: - Transitional, Savings, and Conforming Provisions</b> - Provides for the transfer and allocations of appropriations and personnel.  Terminates the office of an agency when all such office's functions have been transferred by this Act. Provides savings provisions for all proceedings and actions already in effect when this Act takes effect.  Makes conforming amendments. <p><b>Title VI: Miscellaneous</b> - Sets forth the effective date of the Act, provides for the interim appointment of officers, and authorizes appropriations for FY 1985 through 1989.",,,,,,
"S. 3067",https://www.congress.gov/bill/98th-congress/senate-bill/3067,"98th Congress (1983-1984)","A bill to amend title 18 of the United States Code to provide for Federal assistance to state registration of habitual sex offenders, and for other purposes.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 10/04/1984)",Democratic,10/04/1984,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/04/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Child abuse","Child molesting","Children and youth","Corrections and Correctional Institutions","Crime and Law Enforcement","Crime prevention","Criminal justice information","Government Operations and Politics","Government records, documents, and information",Parole,"Sex crimes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6346,,,,,,,,,CRS,Senate,"10/01/1984 Referred to House Committee on The Judiciary.",,"<p>Child Molester Registration Act of 1984 - Amends the Federal criminal code to provide that any person subject to special parole who fails to register as required by State law shall be fined not more than $5,000 or imprisoned for not more than two years. <p>Defines ""special parole"" as a condition of parole imposed by a State court upon a person convicted of an offense involving sexually motivated violence that such person register his presence with a local authority.",,,,,,
"S. 3058",https://www.congress.gov/bill/98th-congress/senate-bill/3058,"98th Congress (1983-1984)","A bill for the relief of Ray M. Reed.","Byrd, Robert C. [Sen.-D-WV] (Introduced 10/04/1984)",Democratic,10/04/1984,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/04/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Private Legislation","Veterans' benefits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Deems a named individual to have suffered a disabling injury solely as the result of hospitalization and medical treatment arising from alleged negligent treatment at the Memphis Veterans Administration Hospital, for purposes of determining veterans' disability compensation eligibility.  Directs the Administrator of Veterans Affairs to pay such compensation. <p>Directs the Secretary of the Treasury to pay such individual a specified sum in full satisfaction of all claims against the United States for nonmedical damages arising from such injury.",,,,,,
"S. 3055",https://www.congress.gov/bill/98th-congress/senate-bill/3055,"98th Congress (1983-1984)","A bill to authorize the establishment of the Lewis and Clark National Historic Site in the State of Montana.","Melcher, John [Sen.-D-MT] (Introduced 10/03/1984)",Democratic,10/03/1984,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",10/03/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Historic sites",Montana,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Authorizes the Secretary of the Interior to:  (1) establish the Lewis and Clark National Historic Site in Montana; and (2) enter into cooperative and management agreements with the State of Montana for rescue, firefighting, and law enforcement services with respect to such site.  Specifies those lands which the Secretary is authorized to acquire for the establishment of such site. <p>Provides that such lands shall revert to the State of Montana if the Secretary uses such lands for any purpose other than as authorized under this Act. <p>Authorizes appropriations for FY 1986 and 1987, including specified sums for the construction of a visitor center.",,,,,,
