"Downloaded on",03/05/2025,"13:27:00 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2299%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2954",https://www.congress.gov/bill/99th-congress/senate-bill/2954,"99th Congress (1985-1986)","A bill to amend the Tax Reform Act of 1986 by repealing a certain transition rule.","Bumpers, Dale [Sen.-D-AR] (Introduced 10/18/1986)",Democratic,10/18/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/18/1986,"Pryor, David H. [Sen.-D-AR]","Roth Jr., William V. [Sen.-R-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Aircraft,"Aircraft industry",Aviation,Florida,Georgia,"Income tax","Investment tax credit",Kansas,"Tax credits","Tax reform",Taxation,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Tax Reform Act of 1986 to repeal certain transitional rules allowing the investment tax credit to remain in effect for the purchase of certain aircraft manufactured in Kansas, Florida, Georgia, or Texas.",,,,,,
"S. 2952",https://www.congress.gov/bill/99th-congress/senate-bill/2952,"99th Congress (1985-1986)","A bill to provide for the protection of Native American rights for the remains of their dead and sacred artifacts, and for the creation of Native American cultural museums.","Melcher, John [Sen.-D-MT] (Introduced 10/18/1986)",Democratic,10/18/1986,"Senate - Indian Affairs (Permanent Select)","Read twice and referred to the Committee on Indian Affairs.",10/18/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative procedure","Advisory bodies",Archaeology,Art,"Art objects","Arts, Culture, Religion","Congress and Members of Congress","Congressional agencies","Cultural centers","Federal advisory bodies","Federal aid to museums","Federal-Indian relations",Hawaii,Hawaiians,"Historic sites",Libraries,"Library of Congress",Museums,"Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Native American Cultural Preservation Act - Establishes the Native American Museum Advisory Board.  Identifies the functions of the Board to be:  (1) the resolution of certain disputes (regarding sacred artifacts or remains) between any museum and an Indian tribe or Native Hawaiian organization; (2) the provision of advice to the Native American Center of the Smithsonian Institution; and (3) the provision of advice to the Advisory Council on Historic Preservation with respect to Native American cultural and historical preservation.  Authorizes appropriations. <p>Permits the governing body of an Indian tribe or Native Hawaiian organization or museum administrator to file a petition with the Board requesting the mediation of disputes between a museum and an Indian tribe or Native Hawaiian organization relating to:  (1) the skeletal remains of a Native American or a Native Hawaiian; or (2) sacred artifacts of such tribe or Native Hawaiian organization.  Sets forth specified requirements with respect to such petition and Board determinations. Requires the Board to publish such determinations in the Federal Register and provide written notice of such determinations to the head of each Federal agency which such Board believes to be providing Federal funds to:  (1) a museum, Indian tribe, or Native Hawaiian organization that is the subject of such determination; or (2) program which provides benefits to such entities. Provides that Board determinations are final and not reviewable in any court. <p>Establishes, within the Library of Congress, the Native American Center.  Identifies the functions of the Center to be: (1) the preparation, and coordination with museums, of a provenance of all Native American skeletal remains, sacred artifacts, and other artifacts relating to Native American history or culture, that have been collected through Federal funds; (2) the sale of educational materials on the collections of the Smithsonian that relate to Native American culture; and (3) the provision of advice and technical assistance to Indian tribes and Native Hawaiian organizations in the establishment of model museums and the historical preservation of Native American skeletal remains and sacred artifacts.  Sets forth specified requirements with respect to the administration of the Center. <p>Directs the President to include with his budget a separate statement which specifies the amount of funds requested for the Center for each fiscal year.  Authorizes appropriations. <p>Amends the Archaeological Resources Protection Act of 1979 to make conforming amendments.",,,,,,
"S. 2949",https://www.congress.gov/bill/99th-congress/senate-bill/2949,"99th Congress (1985-1986)","A bill to authorize the Secretary of Health and Human Services to make grants to States to support family caregivers information and education demonstration programs.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 10/17/1986)",Democratic,10/17/1986,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",10/17/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Disabled,"Domestic Relations and Families",Families,"Family policy","Federal aid to handicapped services","Old age assistance","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Family Caregivers Advocacy, Resource and Education Demonstration Program Act of 1986 - Directs the Secretary of Health and Human Services, through the Assistant Secretary for Human Development Services, to make grants to States to support Family Caregivers Advocacy, Resource and Education (Family CARE) demonstration programs. <p>Requires such a program to provide and coordinate, throughout the State, advocacy, education, information dissemination, and referral services for elderly and disabled individuals and members of their families who care for them.  Specifies other requirements of such a program. <p>Sets forth application requirements for a grant. Requires the Secretary to make grants for FY 1988 within six months after enactment of this Act.  Sets the term of a grant at one year, renewable for two more consecutive one-year periods. Requires the Secretary to make grants to between five and eight States, assuring appropriate distribution among different geographic areas and urban and rural populations. <p>Requires each State receiving a grant to provide for the evaluation of its program. <p>Requires the Secretary to submit interim and final reports to the Congress on grant activities. <p>Authorizes appropriations for FY 1988 through 1990.",,,,,,
"S. 2948",https://www.congress.gov/bill/99th-congress/senate-bill/2948,"99th Congress (1985-1986)","A bill to authorize the President to promote posthumously the late Lieutenant Colonel Ellison S. Onizuka to the grade of Colonel.","Matsunaga, Spark M. [Sen.-D-HI] (Introduced 10/17/1986)",Democratic,10/17/1986,,"Became Public Law No: 99-597.",11/03/1986,"Inouye, Daniel K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security",Astronautics,Astronauts,"Military personnel","Military promotions","Officer personnel","Private Legislation",Space,"Space shuttles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the President to promote posthumously, to the grade of colonel, Lieutenant Colonel Ellison S. Onizuka, U.S. Air Force, who died while serving as a crew member on the space shuttle Challenger.",,,,,,
"S. 2946",https://www.congress.gov/bill/99th-congress/senate-bill/2946,"99th Congress (1985-1986)","A bill to permit national banks to buy and sell platinum.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 10/17/1986)",Democratic,10/17/1986,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",10/17/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Finance and Financial Sector","Mineral industries","Mines and mineral resources","National banks",Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes national banks to buy snd sell platinum.",,,,,,
"S. 2945",https://www.congress.gov/bill/99th-congress/senate-bill/2945,"99th Congress (1985-1986)","A bill to provide for rehiring certain former air traffic controllers.","Lautenberg, Frank R. [Sen.-D-NJ] (Introduced 10/17/1986)",Democratic,10/17/1986,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",10/17/1986,"Dodd, Christopher J. [Sen.-D-CT]","Simon, Paul [Sen.-D-IL]","Bradley, Bill [Sen.-D-NJ]","Cranston, Alan [Sen.-D-CA]","Kerry, John F. [Sen.-D-MA]","Metzenbaum, Howard M. [Sen.-D-OH]","Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Air traffic","Air traffic controllers",Aviation,"Civil service employment","Department of Transportation","Federal Aviation Administration","Federal employees","Federal employees and officials","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Authorizes the Office of Personnel Management to appoint or reinstate certain former air traffic controllers whose appointments were terminated due to the air traffic controllers strike of August 1981.",,,,,,
"S. 2942",https://www.congress.gov/bill/99th-congress/senate-bill/2942,"99th Congress (1985-1986)","A bill to authorize and direct the Secretary of Interior to retain the American Museum of Immigration at the base of the Statute of Liberty National Monument.","Bradley, Bill [Sen.-D-NJ] (Introduced 10/17/1986)",Democratic,10/17/1986,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",10/17/1986,"D'Amato, Alfonse [Sen.-R-NY]","Lautenberg, Frank R. [Sen.-D-NJ]","Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Arts, Culture, Religion",Immigration,"Monuments and memorials",Museums,"National monuments","New York City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Directs the Secretary of the Interior to retain the American Museum of Immigration at the base of the Statue of Liberty National Monument.",,,,,,
"S. 2940",https://www.congress.gov/bill/99th-congress/senate-bill/2940,"99th Congress (1985-1986)","A bill to provide for partial public financing of general elections for candidates in campaigns for the United States Senate, and other purposes.","Gore, Albert, Jr. [Sen.-D-TN] (Introduced 10/17/1986)",Democratic,10/17/1986,"Senate - Rules and Administration","Read twice and referred to the Committee on Rules.",10/17/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Campaign funds","Congressional elections","Economics and Public Finance","Government Operations and Politics","Government trust funds","Members of Congress (Senate)",Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Campaign Limitation and Public Financing Act - Amends the Federal Election Campaign Act of 1971 to provide for public financing of Senate general election campaigns for candidates who agree to abide by certain expenditure limitations. Sets forth conditions of eligibility for payments. Requires any candidate entitled to payments to deposit such funds at national or State banks in a separate checking account. <p>Requires candidates to file with the Federal Election Commission notification of any intent to make expenditures in excess of expenditure limitations. <p>Requires the Commission to certify to the Secretary of the Treasury the full amount to which an eligible candidate is entitled. <p>Increases the expenditure limitation of a candidate whose opponent does not abide by the limitation on expenditures. <p>Requires the Secretary to maintain in the Presidential Election Campaign Fund the Senate General Election Campaign Account for the deposit of funds for payments to eligible candidates. <p>Authorizes the Commission to examine and audit campaign accounts of eligible candidates to determine any excess payments.  Requires candidates to repay excess amounts to the Secretary. <p>Directs the Commission to report to the Senate Committee on Ethics after the close of each calendar year on actions taken under this Act. <p>Establishes the formula for determining expenditure limitations under this Act based upon State voting age populations. <p>Requires the Commission to study for one year, and report to the Congress on, the efficacy of programs under this Act. <p>Authorizes appropriations.",,,,,,
"S. 2939",https://www.congress.gov/bill/99th-congress/senate-bill/2939,"99th Congress (1985-1986)","A bill to amend the Motor Vehicle Information and Cost Savings Act to provide for the appropriate treatment of methanol.","Rockefeller, John D., IV [Sen.-D-WV] (Introduced 10/17/1986)",Democratic,10/17/1986,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",10/17/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Alcohol and Alcoholic Beverages","Alcohol as fuel","Automobile fuel consumption","Consumer protection",Labeling,Methanol,"Motor Vehicles and Driving","Motor vehicles",Standards,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Methanol Vehicle Promotion Act of 1986 - Amends the Motor Vehicle Information and Cost Savings Act to provide that for any ten consecutive model years between 1993 and 2005, a manufacturer of dual fuel automobiles shall receive a Corporate Average Fuel Economy increase according to prescribed formulas. <p>States that the fuel economy of methanol powered automobiles (or dual fuel automobiles) shall be based on the fuel content of the methanol mixture used to operate such automobiles. <p>Prescribes the content of fuel economy labeling for methanol powered and dual fuel automobiles. <p>Requires the Secretary of Transportation to report annually to the Congress, starting January 1993, regarding the effects of this Act: (1) upon methanol and gasoline consumption on an industrywide and manufacturer-specific basis; and (2) certain fuel economy standards on an industrywide and manufacturer-specific basis.",,,,,,
"S. 2937",https://www.congress.gov/bill/99th-congress/senate-bill/2937,"99th Congress (1985-1986)","A bill to amend the Food Security Act of 1985 to increase the number of acres placed in the conservation reserve program, and for other purposes.","Nunn, Sam [Sen.-D-GA] (Introduced 10/16/1986)",Democratic,10/16/1986,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture.",10/16/1986,"Cochran, Thad [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agricultural surpluses","Agriculture and Rural Affairs","Agriculture and Food","Conservation of natural resources","Environmental Protection",Groundwater,"Payment-in-kind program","Soil conservation","Soil erosion","Water and Water Resources Development","Water supply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Food Security Act of 1985 to expand the conservation reserve program to 65,000,000 acres through the 1990 crop year. Requires a report to the Congress on the inclusion of other lands. <p>Authorizes cash or in-kind conservation reserve incentives. Provides for commercial use of conservation reserve acreage under certain conditions. <p>Provides for a ground water pilot program.",,,,,,
