Results for U.S. Representative
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Aandahl,Fred,,,,04/09/1897,10/01/1954,2,U.S. Representative,Republican,ND,AL,01/03/1951,01/03/1953,Not specified,White,Bachelor's degree,Agriculture,Education,,,,Did not serve,,
Abbitt,Watkins,Moorman,,,05/21/1908,12/19/1951,2,U.S. Representative,Democrat,VA,4,02/17/1948,01/03/1973,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Abdnor,James,,,,02/13/1923,11/06/1952,2,U.S. Representative,Republican,SD,2,01/03/1973,01/03/1981,Methodist,White,Bachelor's degree,Agriculture,,,,,Army,,
Abele,Homer,E.,,,11/21/1916,05/12/2000,2,U.S. Representative,Republican,OH,10,01/09/1963,01/03/1965,Not specified,White,Bachelor's degree,Law,Public service/politics,,,,Air Corps,,
Abercrombie,Neil,,,,06/26/1938,,2,U.S. Representative,Democrat,HI,1,01/03/1991,02/28/2010,Not specified,White,Doctorate degree,Education,,,,,Did not serve,,
Abercrombie,Neil,,,,06/26/1938,,2,U.S. Representative,Democrat,HI,1,09/20/1986,01/03/1987,Not specified,White,Doctorate degree,Education,,,,,Did not serve,,
Abernethy,Thomas,Gerstle,,,05/16/1903,01/23/1953,2,U.S. Representative,Democrat,MS,4,01/03/1945,01/03/1953,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Abernethy,Thomas,Gerstle,,,05/16/1903,01/23/1953,2,U.S. Representative,Democrat,MS,1,01/03/1953,01/03/1973,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Abourezk,James,George,,,02/24/1931,,2,U.S. Representative,Democrat,SD,2,01/21/1971,01/03/1973,Eastern Orthodox,White,Professional degree,Law,,,,,Navy,,
Abraham,Ralph,,,,09/16/1954,,2,U.S. Representative,Republican,LA,5,01/03/2015,01/03/2021,Baptist,White,Doctorate degree,Medicine,,,,,Army,,
Abzug,Bella,S.,,,07/24/1920,03/31/1998,1,U.S. Representative,Democrat,NY,20,01/03/1973,01/03/1977,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Abzug,Bella,S.,,,07/24/1920,03/31/1998,1,U.S. Representative,Democrat,NY,19,01/21/1971,01/02/1973,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Ackerman,Gary,L.,,,11/19/1942,,2,U.S. Representative,Democrat,NY,7,01/01/1983,01/04/1993,Jewish,White,Bachelor's degree,Business or banking,Education,Journalism,,,Did not serve,,
Ackerman,Gary,L.,,,11/19/1942,,2,U.S. Representative,Democrat,NY,5,01/05/1993,01/03/2013,Jewish,White,Bachelor's degree,Business or banking,Education,Journalism,,,Did not serve,,
Adair,Edwin,Ross,,,12/14/1907,05/05/1983,2,U.S. Representative,Republican,IN,4,01/03/1951,01/03/1972,Methodist,White,Professional degree,Public service/politics,,,,,Army,,
Adams,Alma,,,,05/27/1946,,1,U.S. Representative,Democrat,NC,12,11/04/2014,01/03/2023,Baptist,African American,Doctorate degree,Education,,,,,Did not serve,,
Adams,Brockman,,,Brock,01/13/1927,09/10/2004,2,U.S. Representative,Democrat,WA,7,01/03/1965,01/22/1977,Episcopalian,White,Professional degree,Acting/entertainer,Education,Law,,,Navy,,
Adams,Sandy,,,,12/14/1956,,1,U.S. Representative,Republican,FL,24,01/03/2011,01/02/2013,Episcopalian,White,Bachelor's degree,Law Enforcement,,,,,U.S. Air Force,,
Adams,Sherman,,,,01/08/1899,10/27/1986,2,U.S. Representative,Republican,NH,2,01/03/1945,01/03/1947,Not specified,White,Bachelor's degree,Construction/building trades,,,,,,,
Addabbo,Joseph,Patrick,,,03/17/1925,04/10/1986,2,U.S. Representative,Democrat,NY,5,01/03/1961,01/03/1963,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Addabbo,Joseph,Patrick,,,03/17/1925,04/10/1986,2,U.S. Representative,Democrat,NY,6,01/03/1983,04/10/1986,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Addabbo,Joseph,Patrick,,,03/17/1925,04/10/1986,2,U.S. Representative,Democrat,NY,7,01/09/1963,01/03/1983,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,
Addonizio,Hugh,Joseph,,,01/31/1914,02/02/1981,2,U.S. Representative,Democrat,NJ,11,01/03/1949,06/30/1962,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Army,,
Aderholt,Robert,B.,,,07/22/1965,,2,U.S. Representative,Republican,AL,4,01/03/1997,01/03/2023,Protestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Adler,John,,,,08/23/1959,,2,U.S. Representative,Democrat,NJ,3,01/06/2009,01/03/2011,Jewish,White,Professional degree,Law,,,,,Did not serve,,
Aguilar,Pete,,,,06/19/1979,,2,U.S. Representative,Democrat,CA,31,01/20/2015,01/03/2023,Roman Catholic,Hispanic,Bachelor's degree,Public service/politics,,,,,Did not serve,,
Akaka,Daniel,Kahikina,,,09/11/1924,04/06/2018,2,U.S. Representative,Democrat,HI,2,01/04/1977,05/16/1990,Congregationalist,Asian American,Master's degree,Education,Public service/politics,,,,Army,,
Akin,W.,Todd,,,07/05/1947,,2,U.S. Representative,Republican,MO,2,01/03/2001,01/03/2013,Christian,White,Master's degree,Education,,,,,Did not serve,,
Albert,Carl,Bert,,,05/10/1908,02/04/2000,2,U.S. Representative,Democrat,OK,3,01/03/1947,01/03/1977,Methodist,White,Professional degree,Law,,,,,Army,,
Albosta,Donald,Joseph,,,12/05/1925,12/18/2014,2,U.S. Representative,Democrat,MI,10,01/15/1979,01/03/1985,Roman Catholic,Not specified,High School graduate,Agriculture,,,,,Navy,,
Alexander,Hugh,Quincy,,,08/07/1911,09/17/1989,2,U.S. Representative,Democrat,NC,9,01/03/1953,01/03/1963,Presbyterian,White,Professional degree,Law,,,,,Navy,,
Alexander,Rodney,,,,12/05/1946,,2,U.S. Representative,Democrat,LA,5,01/03/2003,08/08/2004,Baptist,White,High School graduate,Business or banking,Construction/building trades,,,,U.S. Air Force Reserve,,
Alexander,Rodney,,,,12/05/1946,,2,U.S. Representative,Republican,LA,5,08/08/2004,09/27/2013,Baptist,White,High School graduate,Business or banking,Construction/building trades,,,,U.S. Air Force Reserve,,
Alexander,William,Vollie,Jr.,Bill,01/16/1934,,2,U.S. Representative,Democrat,AR,1,01/03/1969,01/03/1993,Episcopalian,White,Professional degree,Law,,,,,Army,,
Alford,Thomas,Dale,,,01/28/1916,01/25/2000,2,U.S. Representative,Democrat,AR,5,01/07/1959,01/03/1963,Episcopalian,White,Professional degree,Education,Medicine,,,,Army,,
Alger,Bruce,Reynolds,,,06/12/1918,04/13/2015,2,U.S. Representative,Republican,TX,5,01/05/1955,01/03/1965,Disciples of Christ,White,Bachelor's degree,Construction/building trades,Real Estate,,,,Army Air Corps,,
Allard,Wayne,,,,12/02/1943,,2,U.S. Representative,Republican,CO,4,01/03/1991,01/03/1997,Protestant,White,Professional degree,Medicine,,,,,Did not serve,,
Allen,Asa,Leonard,,,01/05/1891,01/05/1969,2,U.S. Representative,Democrat,LA,8,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Education,Law,,,,Did not serve,,
Allen,Clifford,R.,,,01/06/1912,06/18/1978,2,U.S. Representative,Democrat,TN,5,01/01/1975,01/03/1979,Methodist,White,Professional degree,Law,Public service/politics,,,,Did not serve,,
Allen,George,F.,,,03/08/1952,,2,U.S. Representative,Republican,VA,7,11/05/1991,01/03/1993,Presbyterian,White,Bachelor's degree,Law,,,,,Did not serve,,
Allen,John,Joseph,Jr.,,11/27/1899,03/07/1995,2,U.S. Representative,Republican,CA,7,01/03/1947,01/03/1959,Not specified,White,Professional degree,Law,,,,,Navy,,
Allen,Leo,Elwood,,,10/05/1898,01/19/1973,2,U.S. Representative,Republican,IL,13,01/03/1945,01/02/1949,Presbyterian,White,Professional degree,Law,,,,,Army,,
Allen,Leo,Elwood,,,10/05/1898,01/19/1973,2,U.S. Representative,Republican,IL,16,01/03/1949,01/03/1961,Presbyterian,White,Professional degree,Law,,,,,Army,,
Allen,Rick,W.,,,11/11/1951,,2,U.S. Representative,Republican,GA,12,01/20/2015,01/03/2023,Methodist,White,Bachelor's degree,,,,,,,,
Allen,Thomas,,,Tom,04/16/1945,,2,U.S. Representative,Democrat,ME,1,01/07/1997,01/05/2009,Protestant,White,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,
Allred,Colin,,,,04/15/1983,,2,U.S. Representative,Democrat,TX,32,01/20/2019,01/03/2023,Methodist,African American,Professional degree,,,,,,,,
Almond,J.,Lindsay,Jr.,,06/15/1898,04/14/1986,2,U.S. Representative,Democrat,VA,6,02/04/1946,04/17/1948,Lutheran,White,Professional degree,Education,Law,,,,Student Army Training Corps,,
Altmire,Jason,,,,03/07/1968,,2,U.S. Representative,Democrat,PA,4,01/03/2007,01/03/2013,Roman Catholic,White,Master's degree,Business or banking,,,,,Did not serve,,
Amash,Justin,,,,04/18/1980,,2,U.S. Representative,Republican,MI,3,01/03/2011,07/03/2019,Eastern Orthodox,White,Professional degree,Law,,,,,Did not serve,,
Ambro,Jerome,A.,Jr.,,06/27/1928,03/04/1993,2,U.S. Representative,Democrat,NY,3,01/14/1975,01/03/1981,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Army,,
Ammerman,Joseph,Scofield,,,07/14/1924,10/14/1993,2,U.S. Representative,Democrat,PA,23,01/04/1977,01/03/1979,Methodist,White,Professional degree,Law,,,,,Army,,
