,icpsr,degree,clustering,pagerank,name,name_dw,party,state
0,660,346.4515975092943,0.002637349721233704,0.00507120610307368,L. BENTSEN,"BENTSEN, Lloyd Millard, Jr.",D,TX
1,1252,264.7549235675558,0.0020560051071014133,0.001757793704623526,Q. BURDICK,"BURDICK, Quentin Northrup",D,ND
2,1366,171.04643408527585,0.0016078021395456526,0.0021831350276291955,R. BYRD,"BYRD, Robert Carlyle",D,WV
3,1482,159.77824563577497,0.0018676536098160361,0.002743187834378452,H. CANNON,"CANNON, Howard Walter",D,NV
4,1721,122.13417326078148,0.001904841439555976,0.0024939218158878404,F. CHURCH,"CHURCH, Frank Forrester",D,ID
5,2822,46.53090376816317,0.0013041067368463528,0.0009481206525327149,J. EASTLAND,"EASTLAND, James Oliver",D,MS
6,3658,159.2842121595669,0.002109535855579514,0.0015973345805922617,B. GOLDWATER,"GOLDWATER, Barry Morris",R,AZ
7,4154,84.2356339929944,0.0018328593615429222,0.0017428608139515233,R. HARTKE,"HARTKE, Rupert Vance",D,IN
8,4728,174.82716941192848,0.002362718690588238,0.0025123304332420517,H. HUMPHREY,"HUMPHREY, Hubert Horatio, Jr.",D,MN
9,4812,1141.860545228803,0.002674732498585089,0.00954460880154957,D. INOUYE,"INOUYE, Daniel Ken",D,HI
10,4898,199.30048761314816,0.002861911823087853,0.0029536700352157164,J. JAVITS,"JAVITS, Jacob Koppel",R,NY
11,5767,88.7187992904779,0.0018967378363959635,0.0017779270788849007,R. LONG,"LONG, Russell Billiu",D,LA
12,5913,183.20774953677372,0.0025161038708909067,0.003890522716082507,W. MAGNUSON,"MAGNUSON, Warren Grant",D,WA
13,6256,163.59501145229348,0.002105316817016049,0.0021243097379665477,G. McGOVERN,"McGOVERN, George Stanley",D,SD
14,6442,75.73211476689806,0.0019109604010320352,0.0014486829598177652,L. METCALF,"METCALF, Lee Warren",D,MT
15,7638,204.04615499705722,0.002327581553581659,0.0031513910287365595,W. PROXMIRE,"PROXMIRE, William",D,WI
16,7722,204.2953886016169,0.002380810088643831,0.0020710971978656232,J. RANDOLPH,"RANDOLPH, Jennings",D,WV
17,7847,98.54152260648229,0.0019912779538707663,0.0016557755416739522,A. RIBICOFF,"RIBICOFF, Abraham Alexander",D,CT
18,8301,61.79090029319032,0.001344006039984342,0.0014800706194150704,H. SCOTT,"SCOTT, Hugh Doggett, Jr.",R,PA
19,8764,40.98060455349829,0.001286769108839687,0.0009102527916177124,J. SPARKMAN,"SPARKMAN, John Jackson",D,AL
20,9141,9.95120546120546,0.0006928658288083954,0.00041429905238218304,W. SYMINGTON,"SYMINGTON, William Stuart (Stuart)",D,MO
21,9174,69.49150990650219,0.001963012789215942,0.0014945166918742356,H. TALMADGE,"TALMADGE, Herman Eugene",D,GA
22,9369,717.008403082014,0.0026416321146587015,0.00787494975168995,J. THURMOND,"THURMOND, James Strom",R,SC
23,10147,167.85233333689686,0.0023073193316250225,0.002577737289839103,H. WILLIAMS,"WILLIAMS, Harrison Arlington, Jr.",D,NJ
24,10513,488.92504931854927,0.002387439706054287,0.007829342359580748,R. DOLE,"DOLE, Robert Joseph",R,KS
25,10535,268.4121042971177,0.002485165732507858,0.004221753391827419,C. MATHIAS,"MATHIAS, Charles McCurdy, Jr.",R,MD
26,10557,83.71154114248475,0.0015913565199340406,0.0013313974220307615,R. SCHWEIKER,"SCHWEIKER, Richard Schultz",R,PA
27,10562,208.28382585329456,0.002527272072367008,0.0023850801128880573,R. STAFFORD,"STAFFORD, Robert Theodore",R,VT
28,10569,100.43520605540496,0.002438794715554086,0.0008469600400261969,M. ANDREWS,"ANDREWS, Mark",R,ND
29,10605,377.41339664007796,0.002739617226731537,0.0023677131207090326,S. MATSUNAGA,"MATSUNAGA, Spark Masayuki",D,HI
30,10715,50.44606606286879,0.0013732536523704513,0.0013596474070012004,J. CULVER,"CULVER, John Chester",D,IA
31,10791,306.12368778982795,0.0032048028057887292,0.0032825554915299603,D. PRYOR,"PRYOR, David Hampton",D,AR
32,10800,121.01090500531618,0.0019616392824351086,0.0023888281440552824,B. BAYH,"BAYH, Birch Evans",D,IN
33,10808,1170.1235831734557,0.00328690530615275,0.01225486534576682,E. KENNEDY,"KENNEDY, Edward Moore (Ted)",D,MA
34,10810,65.16525766395702,0.00160785646437439,0.0012890297392103615,T. McINTYRE,"McINTYRE, Thomas James",D,NH
35,10816,144.01028941112432,0.002232050012778853,0.0031724693866243703,G. NELSON,"NELSON, Gaylord Anton",D,WI
36,10817,63.959860254984115,0.0017360987454429137,0.0011704488128410923,J. PEARSON,"PEARSON, James Blackwood",R,KS
37,10818,344.7166370261332,0.002885268339849667,0.0032430440742194375,C. PELL,"PELL, Claiborne de Borda",D,RI
38,10823,162.33526152214102,0.0020463526308673765,0.002076349356805927,J. TOWER,"TOWER, John Goodwin",R,TX
39,11029,252.3636812861464,0.00211979990379664,0.0030865421227540585,J. McCLURE,"McCLURE, James Albertus",R,ID
40,11043,396.5747856369187,0.003389553850579708,0.004135596185272817,D. RIEGLE,"RIEGLE, Donald Wayne, Jr.",D,MI
41,11044,347.5450126257208,0.002301067265776342,0.0057722991959363555,W. ROTH,"ROTH, William Victor, Jr.",R,DE
42,11200,90.48555674784676,0.0019919508913748447,0.0014092563769164599,H. BAKER,"BAKER, Howard Henry, Jr.",R,TN
43,11202,71.53996843220494,0.0015297906280343947,0.0009657193791239259,C. HANSEN,"HANSEN, Clifford Peter",R,WY
44,11204,489.1691107848198,0.002451394615519025,0.00423243545495269,E. HOLLINGS,"HOLLINGS, Ernest Frederick",D,SC
45,11205,183.24693513688575,0.0019704089058686547,0.003385669627654603,C. PERCY,"PERCY, Charles Harting",R,IL
46,12032,150.14118131662693,0.0021597806469188076,0.0019278674131631747,L. WEICKER,"WEICKER, Lowell Palmer, Jr.",R,CT
47,12039,208.0995943063234,0.0024727148411661745,0.002258229581794612,J. MELCHER,"MELCHER, John",D,MT
48,12100,55.03462551832486,0.001410548297201511,0.0010781626666489293,J. ALLEN,"ALLEN, James Browning",D,AL
